App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-geometry-api-java;TestAttributes;C:\Users\crist\.jnose_projects\test-smells-geometry-api-java\src\test\java\com\esri\core\geometry\TestAttributes.java;;349;5;187;0;0;0;0;0;0;137;0;0;0;0;0;5;0;0;39;0;0;0;0
test-smells-geometry-api-java;TestBuffer;C:\Users\crist\.jnose_projects\test-smells-geometry-api-java\src\test\java\com\esri\core\geometry\TestBuffer.java;;392;8;84;0;0;0;0;0;0;44;0;0;0;0;0;6;0;0;20;0;0;0;0
test-smells-geometry-api-java;TestCentroid;C:\Users\crist\.jnose_projects\test-smells-geometry-api-java\src\test\java\com\esri\core\geometry\TestCentroid.java;;115;7;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-geometry-api-java;TestClip;C:\Users\crist\.jnose_projects\test-smells-geometry-api-java\src\test\java\com\esri\core\geometry\TestClip.java;;417;13;28;0;0;0;0;0;1;30;0;0;0;0;0;5;0;0;2;1;0;0;0
test-smells-geometry-api-java;TestCommonMethods;C:\Users\crist\.jnose_projects\test-smells-geometry-api-java\src\test\java\com\esri\core\geometry\TestCommonMethods.java;;269;8;17;0;0;0;0;0;0;0;11;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-geometry-api-java;TestContains;C:\Users\crist\.jnose_projects\test-smells-geometry-api-java\src\test\java\com\esri\core\geometry\TestContains.java;;58;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-geometry-api-java;TestConvexHull;C:\Users\crist\.jnose_projects\test-smells-geometry-api-java\src\test\java\com\esri\core\geometry\TestConvexHull.java;C:\Users\crist\.jnose_projects\test-smells-geometry-api-java\src\main\java\com\esri\core\geometry\ConvexHull.java;1072;15;166;0;0;0;0;0;0;86;2;0;0;0;0;10;0;0;33;0;0;0;0
test-smells-geometry-api-java;TestCut;C:\Users\crist\.jnose_projects\test-smells-geometry-api-java\src\test\java\com\esri\core\geometry\TestCut.java;;544;22;61;0;0;0;0;1;0;60;0;0;0;0;0;6;0;0;9;0;0;0;0
test-smells-geometry-api-java;TestDifference;C:\Users\crist\.jnose_projects\test-smells-geometry-api-java\src\test\java\com\esri\core\geometry\TestDifference.java;;684;17;65;0;0;0;0;0;0;28;1;0;0;0;0;3;0;0;13;0;0;0;0
test-smells-geometry-api-java;TestDistance;C:\Users\crist\.jnose_projects\test-smells-geometry-api-java\src\test\java\com\esri\core\geometry\TestDistance.java;;180;11;2;0;0;0;0;0;0;7;1;0;0;0;0;1;0;0;1;0;0;0;0
