App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-spatial-framework-for-hadoop;TestEsriJsonSerDe;C:\Users\crist\.jnose_projects\test-smells-spatial-framework-for-hadoop\hive\src\test\java\com\esri\hadoop\hive\serde\TestEsriJsonSerDe.java;C:\Users\crist\.jnose_projects\test-smells-spatial-framework-for-hadoop\hive\src\main\java\com\esri\hadoop\hive\serde\EsriJsonSerDe.java;469;16;17;0;0;0;0;0;0;8;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-spatial-framework-for-hadoop;TestGeoJsonSerDe;C:\Users\crist\.jnose_projects\test-smells-spatial-framework-for-hadoop\hive\src\test\java\com\esri\hadoop\hive\serde\TestGeoJsonSerDe.java;C:\Users\crist\.jnose_projects\test-smells-spatial-framework-for-hadoop\hive\src\main\java\com\esri\hadoop\hive\serde\GeoJsonSerDe.java;319;13;7;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-spatial-framework-for-hadoop;TestStAsShape;C:\Users\crist\.jnose_projects\test-smells-spatial-framework-for-hadoop\hive\src\test\java\com\esri\hadoop\hive\TestStAsShape.java;;39;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spatial-framework-for-hadoop;TestStCentroid;C:\Users\crist\.jnose_projects\test-smells-spatial-framework-for-hadoop\hive\src\test\java\com\esri\hadoop\hive\TestStCentroid.java;;80;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spatial-framework-for-hadoop;TestStGeometryType;C:\Users\crist\.jnose_projects\test-smells-spatial-framework-for-hadoop\hive\src\test\java\com\esri\hadoop\hive\TestStGeometryType.java;;50;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-spatial-framework-for-hadoop;TestStGeomFromShape;C:\Users\crist\.jnose_projects\test-smells-spatial-framework-for-hadoop\hive\src\test\java\com\esri\hadoop\hive\TestStGeomFromShape.java;;207;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spatial-framework-for-hadoop;TestStLineString;C:\Users\crist\.jnose_projects\test-smells-spatial-framework-for-hadoop\hive\src\test\java\com\esri\hadoop\hive\TestStLineString.java;;52;1;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
test-smells-spatial-framework-for-hadoop;TestStMinX;C:\Users\crist\.jnose_projects\test-smells-spatial-framework-for-hadoop\hive\src\test\java\com\esri\hadoop\hive\TestStMinX.java;;33;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spatial-framework-for-hadoop;TestStMinY;C:\Users\crist\.jnose_projects\test-smells-spatial-framework-for-hadoop\hive\src\test\java\com\esri\hadoop\hive\TestStMinY.java;;25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spatial-framework-for-hadoop;TestStMultiPoint;C:\Users\crist\.jnose_projects\test-smells-spatial-framework-for-hadoop\hive\src\test\java\com\esri\hadoop\hive\TestStMultiPoint.java;;24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spatial-framework-for-hadoop;TestStMultiPolygon;C:\Users\crist\.jnose_projects\test-smells-spatial-framework-for-hadoop\hive\src\test\java\com\esri\hadoop\hive\TestStMultiPolygon.java;;88;12;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-spatial-framework-for-hadoop;TestStPoint;C:\Users\crist\.jnose_projects\test-smells-spatial-framework-for-hadoop\hive\src\test\java\com\esri\hadoop\hive\TestStPoint.java;;44;1;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-spatial-framework-for-hadoop;TestStX;C:\Users\crist\.jnose_projects\test-smells-spatial-framework-for-hadoop\hive\src\test\java\com\esri\hadoop\hive\TestStX.java;;27;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-spatial-framework-for-hadoop;TestStY;C:\Users\crist\.jnose_projects\test-smells-spatial-framework-for-hadoop\hive\src\test\java\com\esri\hadoop\hive\TestStY.java;;27;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
