App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-ibm-cos-sdk-java;StringToByteBufferAdapterTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\adapters\types\StringToByteBufferAdapterTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\adapters\types\StringToByteBufferAdapter.java;50;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-ibm-cos-sdk-java;StringToInputStreamAdapterTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\adapters\types\StringToInputStreamAdapterTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\adapters\types\StringToInputStreamAdapter.java;53;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-ibm-cos-sdk-java;AmazonWebServiceClientTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\AmazonWebServiceClientTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\AmazonWebServiceClient.java;111;7;6;5;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;1;0;0;6
test-smells-ibm-cos-sdk-java;AmazonWebServiceRequestTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\AmazonWebServiceRequestTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\AmazonWebServiceRequest.java;173;6;10;4;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
test-smells-ibm-cos-sdk-java;AbstractAWSSignerTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\auth\AbstractAWSSignerTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\auth\AbstractAWSSigner.java;33;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ibm-cos-sdk-java;AWS4SignerTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\auth\AWS4SignerTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\auth\AWS4Signer.java;225;13;4;4;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;3
test-smells-ibm-cos-sdk-java;AWSCredentialsProviderChainTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\auth\AWSCredentialsProviderChainTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\auth\AWSCredentialsProviderChain.java;104;3;12;2;0;0;0;0;0;14;0;0;0;0;0;0;0;0;1;0;0;0;4
test-smells-ibm-cos-sdk-java;AWSStaticCredentialsProviderTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\auth\AWSStaticCredentialsProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\auth\AWSStaticCredentialsProvider.java;63;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-ibm-cos-sdk-java;ContainerCredentialsProviderTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\auth\ContainerCredentialsProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\auth\ContainerCredentialsProvider.java;170;16;4;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;2
test-smells-ibm-cos-sdk-java;ContainerCredentialsRetryPolicyTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\auth\ContainerCredentialsRetryPolicyTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\auth\ContainerCredentialsRetryPolicy.java;64;7;3;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-ibm-cos-sdk-java;EC2CredentialsFetcherTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\auth\EC2CredentialsFetcherTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\auth\EC2CredentialsFetcher.java;212;15;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;6
test-smells-ibm-cos-sdk-java;InstanceProfileCredentialsProviderIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\auth\InstanceProfileCredentialsProviderIntegrationTest.java;;184;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-ibm-cos-sdk-java;JsonConfigFileTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\auth\json\JsonConfigFileTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\auth\json\JsonConfigFile.java;33;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ibm-cos-sdk-java;JsonCredentialsProviderTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\auth\json\JsonCredentialsProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\auth\json\JsonCredentialsProvider.java;155;8;12;3;3;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;2
test-smells-ibm-cos-sdk-java;JsonCredentialsTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\auth\json\JsonCredentialsTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\auth\JsonCredentials.java;86;4;3;3;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;2
test-smells-ibm-cos-sdk-java;PolicyReaderTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\auth\policy\PolicyReaderTest.java;;421;12;113;0;0;0;0;0;0;55;0;0;0;0;0;4;0;0;7;0;0;0;0
test-smells-ibm-cos-sdk-java;PolicyTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\auth\policy\PolicyTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\auth\policy\Policy.java;403;7;86;4;0;0;0;0;0;14;1;0;0;0;0;2;0;0;12;0;0;0;6
test-smells-ibm-cos-sdk-java;BasicProfileConfigLoaderTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\auth\profile\BasicProfileConfigLoaderTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\auth\profile\internal\BasicProfileConfigLoader.java;97;10;3;0;9;0;0;2;0;0;0;0;0;0;0;0;0;9;0;0;0;0;1
test-smells-ibm-cos-sdk-java;CredentialProfilesTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\auth\profile\CredentialProfilesTest.java;;290;20;12;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0
test-smells-ibm-cos-sdk-java;ProfileCredentialsProviderTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\auth\profile\ProfileCredentialsProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\auth\profile\ProfileCredentialsProvider.java;359;15;10;7;3;0;0;0;0;0;0;0;1;0;0;2;0;3;0;5;0;0;2
test-smells-ibm-cos-sdk-java;ProfilesConfigFileTest;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\test\java\com\ibm\cloud\objectstorage\auth\profile\ProfilesConfigFileTest.java;C:\Users\crist\.jnose_projects\test-smells-ibm-cos-sdk-java\ibm-cos-java-sdk-core\src\main\java\com\ibm\cloud\objectstorage\auth\profile\ProfilesConfigFile.java;34;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
