App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-ApplicationInsights-Java;ByteCodeUtilsTest;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\test\java\com\microsoft\applicationinsights\agent\internal\agent\ByteCodeUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\main\java\com\microsoft\applicationinsights\agent\internal\agent\ByteCodeUtils.java;99;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
test-smells-ApplicationInsights-Java;ClassInstrumentationDataTest;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\test\java\com\microsoft\applicationinsights\agent\internal\agent\ClassInstrumentationDataTest.java;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\main\java\com\microsoft\applicationinsights\agent\internal\agent\ClassInstrumentationData.java;116;9;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-ApplicationInsights-Java;extendedClass2;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\test\java\com\microsoft\applicationinsights\agent\internal\agent\CustomClassWriterTest.java;;51;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ApplicationInsights-Java;DefaultByteCodeTransformerTest;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\test\java\com\microsoft\applicationinsights\agent\internal\agent\DefaultByteCodeTransformerTest.java;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\main\java\com\microsoft\applicationinsights\agent\internal\agent\DefaultByteCodeTransformer.java;36;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ApplicationInsights-Java;EnterExitClassVisitorTest;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\test\java\com\microsoft\applicationinsights\agent\internal\agent\EnterExitClassVisitorTest.java;;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ApplicationInsights-Java;MethodInstrumentationDecisionTest;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\test\java\com\microsoft\applicationinsights\agent\internal\agent\MethodInstrumentationDecisionTest.java;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\main\java\com\microsoft\applicationinsights\agent\internal\agent\MethodInstrumentationDecision.java;43;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-ApplicationInsights-Java;MethodInstrumentationInfoTest;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\test\java\com\microsoft\applicationinsights\agent\internal\agent\MethodInstrumentationInfoTest.java;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\main\java\com\microsoft\applicationinsights\agent\internal\agent\MethodInstrumentationInfo.java;205;21;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4
test-smells-ApplicationInsights-Java;MethodInstrumentationRequestTest;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\test\java\com\microsoft\applicationinsights\agent\internal\agent\MethodInstrumentationRequestTest.java;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\main\java\com\microsoft\applicationinsights\agent\internal\agent\MethodInstrumentationRequest.java;83;9;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
test-smells-ApplicationInsights-Java;AgentConfigurationBuilderFactoryTest;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\test\java\com\microsoft\applicationinsights\agent\internal\config\AgentConfigurationBuilderFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\main\java\com\microsoft\applicationinsights\agent\internal\config\AgentConfigurationBuilderFactory.java;57;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-ApplicationInsights-Java;ConfigRuntimeExceptionDataBuilderTest;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\test\java\com\microsoft\applicationinsights\agent\internal\config\ConfigRuntimeExceptionDataBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-ApplicationInsights-Java\agent\src\main\java\com\microsoft\applicationinsights\agent\internal\config\ConfigRuntimeExceptionDataBuilder.java;183;8;9;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;1
