App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-mssql-jdbc;CallableStatementTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\AlwaysEncrypted\CallableStatementTest.java;;2702;111;0;0;0;0;0;16;0;28;64;0;0;0;0;19;0;0;1;32;0;0;0
test-smells-mssql-jdbc;JDBCEncryptionDecryptionTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\AlwaysEncrypted\JDBCEncryptionDecryptionTest.java;;1215;51;0;0;0;0;0;31;0;0;44;0;0;0;0;6;0;0;1;39;0;0;0
test-smells-mssql-jdbc;PrecisionScaleTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\AlwaysEncrypted\PrecisionScaleTest.java;;620;27;0;0;0;0;0;9;0;0;11;0;0;0;0;2;0;0;0;13;0;0;0
test-smells-mssql-jdbc;RegressionAlwaysEncryptedTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\AlwaysEncrypted\RegressionAlwaysEncryptedTest.java;;260;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-mssql-jdbc;BulkCopyAllTypesTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\bulkCopy\BulkCopyAllTypesTest.java;;94;6;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-mssql-jdbc;BulkCopyColumnMappingTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\bulkCopy\BulkCopyColumnMappingTest.java;;403;7;0;0;0;0;0;0;0;0;47;0;0;0;0;5;0;0;0;6;0;0;0
test-smells-mssql-jdbc;BulkCopyConnectionTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\bulkCopy\BulkCopyConnectionTest.java;;244;9;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-mssql-jdbc;BulkCopyCSVTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\bulkCopy\BulkCopyCSVTest.java;;229;14;0;0;0;0;0;3;0;0;7;0;0;0;0;1;0;0;0;4;0;0;0
test-smells-mssql-jdbc;BulkCopyISQLServerBulkRecordTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\bulkCopy\BulkCopyISQLServerBulkRecordTest.java;;208;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-mssql-jdbc;BulkCopyResultSetCursorTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\bulkCopy\BulkCopyResultSetCursorTest.java;;240;16;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0
test-smells-mssql-jdbc;BulkCopyRowSetTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\bulkCopy\BulkCopyRowSetTest.java;;83;4;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0
test-smells-mssql-jdbc;BulkCopyTimeoutTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\bulkCopy\BulkCopyTimeoutTest.java;;70;3;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-mssql-jdbc;ISQLServerBulkRecordIssuesTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\bulkCopy\ISQLServerBulkRecordIssuesTest.java;;436;12;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;6;0;0;0
test-smells-mssql-jdbc;BvtTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\bvt\BvtTest.java;;455;24;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;19;0;0;0
test-smells-mssql-jdbc;CallableMixedTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\callablestatement\CallableMixedTest.java;;82;1;5;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;3;1;0;0;0
test-smells-mssql-jdbc;CallableStatementTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\callablestatement\CallableStatementTest.java;;208;13;1;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;5;0;0;0
test-smells-mssql-jdbc;ConnectionDriverTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\connection\ConnectionDriverTest.java;;532;27;0;0;0;0;0;0;0;4;4;0;0;0;0;3;0;0;1;21;0;0;0
test-smells-mssql-jdbc;ConnectionWrapper43Test;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\connection\ConnectionWrapper43Test.java;;73;7;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-mssql-jdbc;DBMetadataTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\connection\DBMetadataTest.java;;57;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-mssql-jdbc;DriverVersionTest;C:\Users\crist\.jnose_projects\test-smells-mssql-jdbc\src\test\java\com\microsoft\sqlserver\jdbc\connection\DriverVersionTest.java;;105;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
