App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-team-explorer-everywhere;CLCHTTPClientFactoryTest;C:\Users\crist\.jnose_projects\test-smells-team-explorer-everywhere\source\com.microsoft.tfs.client.clc\tests\com\microsoft\tfs\client\clc\CLCHTTPClientFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-team-explorer-everywhere\source\com.microsoft.tfs.client.clc\src\com\microsoft\tfs\client\clc\CLCHTTPClientFactory.java;119;2;54;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0
test-smells-team-explorer-everywhere;TestOptionCollection;C:\Users\crist\.jnose_projects\test-smells-team-explorer-everywhere\source\com.microsoft.tfs.client.clc\tests\com\microsoft\tfs\client\clc\options\shared\TestOptionCollection.java;C:\Users\crist\.jnose_projects\test-smells-team-explorer-everywhere\source\com.microsoft.tfs.client.clc\src\com\microsoft\tfs\client\clc\options\shared\OptionCollection.java;127;1;48;1;0;0;0;0;0;9;1;0;0;0;0;1;0;0;8;1;0;0;0
test-smells-team-explorer-everywhere;TestSingleValueOption;C:\Users\crist\.jnose_projects\test-smells-team-explorer-everywhere\source\com.microsoft.tfs.client.clc\tests\com\microsoft\tfs\client\clc\vc\options\TestSingleValueOption.java;C:\Users\crist\.jnose_projects\test-smells-team-explorer-everywhere\source\com.microsoft.tfs.client.clc\src\com\microsoft\tfs\client\clc\options\SingleValueOption.java;205;3;33;3;0;0;0;0;0;2;0;0;0;0;0;3;0;0;9;5;0;0;2
test-smells-team-explorer-everywhere;TestURLValueOptions;C:\Users\crist\.jnose_projects\test-smells-team-explorer-everywhere\source\com.microsoft.tfs.client.clc\tests\com\microsoft\tfs\client\clc\vc\options\TestURLValueOptions.java;;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-team-explorer-everywhere;TestUsernamePasswordValueOption;C:\Users\crist\.jnose_projects\test-smells-team-explorer-everywhere\source\com.microsoft.tfs.client.clc\tests\com\microsoft\tfs\client\clc\vc\options\TestUsernamePasswordValueOption.java;C:\Users\crist\.jnose_projects\test-smells-team-explorer-everywhere\source\com.microsoft.tfs.client.clc\src\com\microsoft\tfs\client\clc\options\UsernamePasswordValueOption.java;152;1;51;1;0;0;0;0;0;4;0;0;0;0;0;1;0;0;13;1;0;0;0
test-smells-team-explorer-everywhere;ResourceFilterResultTest;C:\Users\crist\.jnose_projects\test-smells-team-explorer-everywhere\source\com.microsoft.tfs.client.common\tests\com\microsoft\tfs\client\common\framework\resources\ResourceFilterResultTest.java;C:\Users\crist\.jnose_projects\test-smells-team-explorer-everywhere\source\com.microsoft.tfs.client.common\src\com\microsoft\tfs\client\common\framework\resources\filter\ResourceFilterResult.java;103;7;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1
test-smells-team-explorer-everywhere;ServerItemPathTest;C:\Users\crist\.jnose_projects\test-smells-team-explorer-everywhere\source\com.microsoft.tfs.client.common\tests\com\microsoft\tfs\client\common\item\ServerItemPathTest.java;C:\Users\crist\.jnose_projects\test-smells-team-explorer-everywhere\source\com.microsoft.tfs.client.common\src\com\microsoft\tfs\client\common\item\ServerItemPath.java;180;15;70;13;0;0;0;0;0;19;0;0;1;0;0;0;0;0;0;1;0;0;9
test-smells-team-explorer-everywhere;LicenseTextTest;C:\Users\crist\.jnose_projects\test-smells-team-explorer-everywhere\source\com.microsoft.tfs.client.common\tests\com\microsoft\tfs\client\common\util\LicenseTextTest.java;;25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-team-explorer-everywhere;ProtocolHandlerArgumentsTest;C:\Users\crist\.jnose_projects\test-smells-team-explorer-everywhere\source\com.microsoft.tfs.client.common.ui\tests\com\microsoft\tfs\client\common\ui\protocolhandler\ProtocolHandlerArgumentsTest.java;;94;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-team-explorer-everywhere;ProtocolHandlerParserTest;C:\Users\crist\.jnose_projects\test-smells-team-explorer-everywhere\source\com.microsoft.tfs.client.common.ui\tests\com\microsoft\tfs\client\common\ui\protocolhandler\ProtocolHandlerParserTest.java;;83;3;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
