App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-cloud-espm-v2;AbstractTest;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\test\java\com\sap\espm\model\AbstractTest.java;;25;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-cloud-espm-v2;AllJPATests;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\test\java\com\sap\espm\model\AllJPATests.java;;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-cloud-espm-v2;CustomerReviewTest;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\test\java\com\sap\espm\model\CustomerReviewTest.java;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\main\java\com\sap\espm\model\CustomerReview.java;45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-cloud-espm-v2;CustomerTest;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\test\java\com\sap\espm\model\CustomerTest.java;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\main\java\com\sap\espm\model\Customer.java;187;7;0;1;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;6;0;0;1
test-smells-cloud-espm-v2;JPATest;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\test\java\com\sap\espm\model\JPATest.java;;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-cloud-espm-v2;ProductCategoryTest;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\test\java\com\sap\espm\model\ProductCategoryTest.java;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\main\java\com\sap\espm\model\ProductCategory.java;201;7;0;1;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;6;0;0;1
test-smells-cloud-espm-v2;ProductTest;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\test\java\com\sap\espm\model\ProductTest.java;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\main\java\com\sap\espm\model\Product.java;186;7;0;1;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;6;0;0;1
test-smells-cloud-espm-v2;SalesOrderHeaderTest;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\test\java\com\sap\espm\model\SalesOrderHeaderTest.java;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\main\java\com\sap\espm\model\SalesOrderHeader.java;134;5;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;4;0;0;0
test-smells-cloud-espm-v2;SalesOrderItemTest;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\test\java\com\sap\espm\model\SalesOrderItemTest.java;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\main\java\com\sap\espm\model\SalesOrderItem.java;168;6;0;1;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;5;0;0;1
test-smells-cloud-espm-v2;StockTest;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\test\java\com\sap\espm\model\StockTest.java;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\main\java\com\sap\espm\model\Stock.java;189;7;0;1;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;6;0;0;1
test-smells-cloud-espm-v2;SupplierTest;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\test\java\com\sap\espm\model\SupplierTest.java;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-jpa\src\main\java\com\sap\espm\model\Supplier.java;205;7;0;1;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;6;0;0;1
test-smells-cloud-espm-v2;AllODataTests;C:\Users\crist\.jnose_projects\test-smells-cloud-espm-v2\espm-cloud-web\src\test\java\com\sap\espm\model\web\AllODataTests.java;;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
