App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-RapidView;AppTest;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\examples\maven\src\test\java\acme\AppTest.java;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\examples\maven\src\main\java\acme\App.java;49;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-RapidView;AllTests;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\AllTests.java;;107;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-RapidView;BufferedStreamTest;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\BufferedStreamTest.java;;115;9;35;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;4;0;0;0;0
test-smells-RapidView;LuaJCCompatibilityTest;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\CompatibiltyTest.java;;115;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-RapidView;AbstractUnitTests;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\compiler\AbstractUnitTests.java;;123;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-RapidView;DumpLoadEndianIntTest;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\compiler\DumpLoadEndianIntTest.java;;137;16;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-RapidView;SimpleTests;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\compiler\SimpleTests.java;;96;13;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-RapidView;FragmentsTestCase;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\FragmentsTest.java;;612;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-RapidView;LuajavaAccessibleMembersTest;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\lib\jse\LuajavaAccessibleMembersTest.java;;68;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-RapidView;D;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\lib\jse\LuajavaClassMembersTest.java;;238;1;65;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;2;4;0;0;0
test-smells-RapidView;D;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\lib\jse\LuaJavaCoercionTest.java;;446;0;84;0;0;0;0;0;0;35;2;0;1;0;0;0;0;0;2;3;0;0;0
test-smells-RapidView;OsLibTest;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\lib\jse\OsLibTest.java;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\src\core\org\luaj\vm2\lib\OsLib.java;78;39;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
test-smells-RapidView;TestLauncherLoadStringFirst;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\LoadOrderTest.java;;70;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-RapidView;LuaOperationsTest;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\LuaOperationsTest.java;;176;33;11;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-RapidView;MathLibTest;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\MathLibTest.java;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\src\core\org\luaj\vm2\lib\MathLib.java;232;26;0;0;0;0;0;0;0;20;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-RapidView;MetatableTest;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\MetatableTest.java;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\src\core\org\luaj\vm2\Metatable.java;366;19;87;0;0;0;0;0;0;24;0;0;0;0;0;4;0;0;5;0;0;0;0
test-smells-RapidView;AbnormalFunction;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\OrphanedThreadTest.java;;178;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-RapidView;RequireClassTest;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\RequireClassTest.java;;89;8;3;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;5;6;0;0;0
test-smells-RapidView;WriterTest;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\script\ScriptEngineTests.java;;311;4;32;0;0;0;0;0;0;15;0;0;0;0;0;1;0;0;2;1;0;0;0
test-smells-RapidView;ScriptDrivenTest;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\ScriptDrivenTest.java;;257;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-RapidView;StringTest;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\StringTest.java;;381;20;136;0;0;0;0;0;0;97;1;0;0;0;0;4;0;0;5;0;0;0;0
test-smells-RapidView;TableHashTest;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\TableHashTest.java;;320;8;98;0;0;0;0;0;0;33;13;0;0;0;0;6;0;0;28;0;0;0;0
test-smells-RapidView;TableTest;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\TableTest.java;;419;26;41;0;0;0;0;0;0;39;25;0;0;0;0;3;0;0;5;0;0;0;0
test-smells-RapidView;MyData;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\TypeTest.java;;1246;1;544;0;0;0;0;0;0;62;0;0;0;0;0;1;0;0;7;2;0;0;0
test-smells-RapidView;UnaryBinaryOperatorsTest;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\UnaryBinaryOperatorsTest.java;;1149;44;459;0;0;0;0;0;2;118;9;0;1;0;0;7;0;0;43;16;0;0;0
test-smells-RapidView;UTF8StreamTest;C:\Users\crist\.jnose_projects\test-smells-RapidView\luaj_virtual_machine\test\junit\org\luaj\vm2\UTF8StreamTest.java;;41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
