App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-alexa-skills-kit-sdk-for-java;StandardSkillBuilderTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk\tst\com\amazon\ask\builder\StandardSkillBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk\src\com\amazon\ask\builder\StandardSkillBuilder.java;124;12;2;6;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2
test-smells-alexa-skills-kit-sdk-for-java;ApacheHttpApiClientTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-apache-client\tst\com\amazon\ask\services\ApacheHttpApiClientTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-apache-client\src\com\amazon\ask\services\ApacheHttpApiClient.java;191;17;18;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-alexa-skills-kit-sdk-for-java;AttributesManagerTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\tst\com\amazon\ask\attributes\AttributesManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\src\com\amazon\ask\attributes\AttributesManager.java;246;20;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
test-smells-alexa-skills-kit-sdk-for-java;SkillBuilderTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\tst\com\amazon\ask\builder\SkillBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\src\com\amazon\ask\builder\SkillBuilder.java;167;16;2;10;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;4
test-smells-alexa-skills-kit-sdk-for-java;SkillConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\tst\com\amazon\ask\builder\SkillConfigurationTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\src\com\amazon\ask\builder\SkillConfiguration.java;102;10;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-alexa-skills-kit-sdk-for-java;DefaultRequestDispatcherTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\tst\com\amazon\ask\dispatcher\DefaultRequestDispatcherTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\src\com\amazon\ask\dispatcher\impl\DefaultRequestDispatcher.java;449;30;5;6;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;8;0;0;2
test-smells-alexa-skills-kit-sdk-for-java;DefaultExceptionMapperTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\tst\com\amazon\ask\dispatcher\exception\DefaultExceptionMapperTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\src\com\amazon\ask\dispatcher\exception\impl\DefaultExceptionMapper.java;58;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-alexa-skills-kit-sdk-for-java;HandlerInputTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\tst\com\amazon\ask\dispatcher\request\handler\HandlerInputTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\src\com\amazon\ask\dispatcher\request\handler\HandlerInput.java;41;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-alexa-skills-kit-sdk-for-java;DefaultRequestMapperTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\tst\com\amazon\ask\dispatcher\request\mapper\DefaultRequestMapperTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\src\com\amazon\ask\dispatcher\request\mapper\impl\DefaultRequestMapper.java;135;7;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-alexa-skills-kit-sdk-for-java;DefaultHandlerAdapterTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\tst\com\amazon\ask\handler\DefaultHandlerAdapterTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\src\com\amazon\ask\dispatcher\request\handler\impl\DefaultHandlerAdapter.java;52;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-alexa-skills-kit-sdk-for-java;PredicatesTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\tst\com\amazon\ask\request\PredicatesTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\src\com\amazon\ask\request\Predicates.java;300;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
test-smells-alexa-skills-kit-sdk-for-java;RequestHelperTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\tst\com\amazon\ask\request\RequestHelperTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\src\com\amazon\ask\request\RequestHelper.java;182;30;0;18;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
test-smells-alexa-skills-kit-sdk-for-java;ViewportUtilsTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\tst\com\amazon\ask\request\ViewportUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\src\com\amazon\ask\request\viewport\ViewportUtils.java;219;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-alexa-skills-kit-sdk-for-java;ResponseBuilderTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\tst\com\amazon\ask\response\ResponseBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\src\com\amazon\ask\response\ResponseBuilder.java;628;26;3;23;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;7
test-smells-alexa-skills-kit-sdk-for-java;TextContentHelperTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\tst\com\amazon\ask\response\TextContentHelperTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\src\com\amazon\ask\response\TextContentHelper.java;65;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
test-smells-alexa-skills-kit-sdk-for-java;SkillTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\tst\com\amazon\ask\SkillTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\src\com\amazon\ask\Skill.java;141;10;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1
test-smells-alexa-skills-kit-sdk-for-java;JacksonSerializerTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\tst\com\amazon\ask\util\JacksonSerializerTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\src\com\amazon\ask\util\JacksonSerializer.java;134;16;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
test-smells-alexa-skills-kit-sdk-for-java;UserAgentUtilsTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\tst\com\amazon\ask\util\UserAgentUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\src\com\amazon\ask\util\UserAgentUtils.java;48;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-alexa-skills-kit-sdk-for-java;DynamoDbPersistenceAdapterTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-dynamodb-persistence-adapter\tst\com\amazon\ask\attributes\persistence\impl\DynamoDbPersistenceAdapterTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-dynamodb-persistence-adapter\src\com\amazon\ask\attributes\persistence\impl\DynamoDbPersistenceAdapter.java;223;19;12;15;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;9
test-smells-alexa-skills-kit-sdk-for-java;PartitionKeyGeneratorsTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-dynamodb-persistence-adapter\tst\com\amazon\ask\attributes\persistence\impl\PartitionKeyGeneratorsTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-dynamodb-persistence-adapter\src\com\amazon\ask\attributes\persistence\impl\PartitionKeyGenerators.java;123;12;0;12;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-alexa-skills-kit-sdk-for-java;SkillStreamHandlerTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-lambda-support\tst\com\amazon\ask\SkillStreamHandlerTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-lambda-support\src\com\amazon\ask\SkillStreamHandler.java;121;14;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
test-smells-alexa-skills-kit-sdk-for-java;SkillConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-runtime\tst\com\amazon\ask\builder\SkillConfigurationTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-core\src\com\amazon\ask\builder\SkillConfiguration.java;66;6;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
test-smells-alexa-skills-kit-sdk-for-java;BaseRequestDispatcherTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-runtime\tst\com\amazon\ask\request\dispatcher\BaseRequestDispatcherTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-runtime\src\com\amazon\ask\request\dispatcher\impl\BaseRequestDispatcher.java;504;31;9;8;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;8;0;0;7
test-smells-alexa-skills-kit-sdk-for-java;BaseExceptionMapperTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-runtime\tst\com\amazon\ask\request\exception\BaseExceptionMapperTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-runtime\src\com\amazon\ask\request\exception\mapper\impl\BaseExceptionMapper.java;71;6;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4
test-smells-alexa-skills-kit-sdk-for-java;BaseGenericRequestHandlerChainTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-runtime\tst\com\amazon\ask\request\handler\chain\BaseGenericRequestHandlerChainTest.java;;70;8;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
test-smells-alexa-skills-kit-sdk-for-java;BaseRequestMapperTest;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-runtime\tst\com\amazon\ask\request\mapper\BaseRequestMapperTest.java;C:\Users\crist\.jnose_projects\test-smells-alexa-skills-kit-sdk-for-java\ask-sdk-runtime\src\com\amazon\ask\request\mapper\impl\BaseRequestMapper.java;88;5;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
