App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smell-canal;AbstractZkTest;C:\Users\crist\.jnose_projects\test-smell-canal\client\src\test\java\com\alibaba\otter\canal\client\running\AbstractZkTest.java;;18;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smell-canal;ClientRunningTest;C:\Users\crist\.jnose_projects\test-smell-canal\client\src\test\java\com\alibaba\otter\canal\client\running\ClientRunningTest.java;;136;7;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
test-smell-canal;ConfigLoadTest;C:\Users\crist\.jnose_projects\test-smell-canal\client-adapter\elasticsearch\src\test\java\com\alibaba\otter\canal\client\adapter\es\test\ConfigLoadTest.java;;39;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smell-canal;ESTest;C:\Users\crist\.jnose_projects\test-smell-canal\client-adapter\elasticsearch\src\test\java\com\alibaba\otter\canal\client\adapter\es\test\ESTest.java;;118;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smell-canal;SqlParseTest;C:\Users\crist\.jnose_projects\test-smell-canal\client-adapter\elasticsearch\src\test\java\com\alibaba\otter\canal\client\adapter\es\test\SqlParseTest.java;;48;1;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smell-canal;LabelSyncJoinSub2Test;C:\Users\crist\.jnose_projects\test-smell-canal\client-adapter\elasticsearch\src\test\java\com\alibaba\otter\canal\client\adapter\es\test\sync\LabelSyncJoinSub2Test.java;;130;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smell-canal;LabelSyncJoinSubTest;C:\Users\crist\.jnose_projects\test-smell-canal\client-adapter\elasticsearch\src\test\java\com\alibaba\otter\canal\client\adapter\es\test\sync\LabelSyncJoinSubTest.java;;130;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smell-canal;RoleSyncJoinOne2Test;C:\Users\crist\.jnose_projects\test-smell-canal\client-adapter\elasticsearch\src\test\java\com\alibaba\otter\canal\client\adapter\es\test\sync\RoleSyncJoinOne2Test.java;;95;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smell-canal;RoleSyncJoinOneTest;C:\Users\crist\.jnose_projects\test-smell-canal\client-adapter\elasticsearch\src\test\java\com\alibaba\otter\canal\client\adapter\es\test\sync\RoleSyncJoinOneTest.java;;191;6;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smell-canal;UserSyncJoinOneTest;C:\Users\crist\.jnose_projects\test-smell-canal\client-adapter\elasticsearch\src\test\java\com\alibaba\otter\canal\client\adapter\es\test\sync\UserSyncJoinOneTest.java;;96;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
