App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-jvm-sandbox;AdviceListenerTestCase;C:\Users\crist\.jnose_projects\test-smells-jvm-sandbox\sandbox-api\src\test\java\com\alibaba\jvm\sandbox\qatest\api\AdviceListenerTestCase.java;C:\Users\crist\.jnose_projects\test-smells-jvm-sandbox\sandbox-api\src\main\java\com\alibaba\jvm\sandbox\api\listener\ext\AdviceListener.java;99;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-jvm-sandbox;EventWatchBuilderTestCase;C:\Users\crist\.jnose_projects\test-smells-jvm-sandbox\sandbox-api\src\test\java\com\alibaba\jvm\sandbox\qatest\api\EventWatchBuilderTestCase.java;C:\Users\crist\.jnose_projects\test-smells-jvm-sandbox\sandbox-api\src\main\java\com\alibaba\jvm\sandbox\api\listener\ext\EventWatchBuilder.java;176;5;40;5;0;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;7
test-smells-jvm-sandbox;CalculatorImplByAdviceListenerTestCase;C:\Users\crist\.jnose_projects\test-smells-jvm-sandbox\sandbox-core\src\test\java\com\alibaba\jvm\sandbox\qatest\core\enhance\CalculatorImplByAdviceListenerTestCase.java;;821;32;6;0;0;0;0;0;6;16;0;0;0;0;0;2;0;0;0;7;0;0;0
test-smells-jvm-sandbox;CalculatorImplByEventListenerTestCase;C:\Users\crist\.jnose_projects\test-smells-jvm-sandbox\sandbox-core\src\test\java\com\alibaba\jvm\sandbox\qatest\core\enhance\CalculatorImplByEventListenerTestCase.java;;898;32;7;0;0;0;0;0;3;26;0;0;0;0;0;8;0;0;0;8;0;0;0
test-smells-jvm-sandbox;TestIssues109;C:\Users\crist\.jnose_projects\test-smells-jvm-sandbox\sandbox-core\src\test\java\com\alibaba\jvm\sandbox\qatest\core\issues\TestIssues109.java;;87;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-jvm-sandbox;TestIssues125;C:\Users\crist\.jnose_projects\test-smells-jvm-sandbox\sandbox-core\src\test\java\com\alibaba\jvm\sandbox\qatest\core\issues\TestIssues125.java;;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jvm-sandbox;TestIssues130;C:\Users\crist\.jnose_projects\test-smells-jvm-sandbox\sandbox-core\src\test\java\com\alibaba\jvm\sandbox\qatest\core\issues\TestIssues130.java;;91;3;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jvm-sandbox;TestIssues133;C:\Users\crist\.jnose_projects\test-smells-jvm-sandbox\sandbox-core\src\test\java\com\alibaba\jvm\sandbox\qatest\core\issues\TestIssues133.java;;20;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jvm-sandbox;InnerWorker;C:\Users\crist\.jnose_projects\test-smells-jvm-sandbox\sandbox-core\src\test\java\com\alibaba\jvm\sandbox\qatest\core\manager\CoreLoadedClassDataSourceTestCase.java;;285;4;31;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-jvm-sandbox;NormalOnLazyActiveModule;C:\Users\crist\.jnose_projects\test-smells-jvm-sandbox\sandbox-core\src\test\java\com\alibaba\jvm\sandbox\qatest\core\manager\CoreModuleManagerTestCase.java;;457;0;1;0;3;0;0;0;0;0;0;0;0;0;0;5;0;3;3;1;0;0;0
test-smells-jvm-sandbox;ClassStructureByChildClassTestCase;C:\Users\crist\.jnose_projects\test-smells-jvm-sandbox\sandbox-core\src\test\java\com\alibaba\jvm\sandbox\qatest\core\util\matcher\ClassStructureByChildClassTestCase.java;;361;13;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
