App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-artemis;CDIBootstrapProducerTest;C:\Users\crist\.jnose_projects\test-smells-artemis\artemis-cdi-client\src\test\java\org\apache\activemq\artemis\cdi\bootstrap\CDIBootstrapProducerTest.java;;61;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-artemis;CDIBootstrapTest;C:\Users\crist\.jnose_projects\test-smells-artemis\artemis-cdi-client\src\test\java\org\apache\activemq\artemis\cdi\bootstrap\CDIBootstrapTest.java;;73;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-artemis;ArtemisTest;C:\Users\crist\.jnose_projects\test-smells-artemis\artemis-cli\src\test\java\org\apache\activemq\cli\test\ArtemisTest.java;C:\Users\crist\.jnose_projects\test-smells-artemis\artemis-cli\src\main\java\org\apache\activemq\artemis\cli\Artemis.java;1325;34;71;8;17;0;0;5;0;40;7;0;0;0;0;9;0;17;13;11;0;0;2
test-smells-artemis;CliProducerTest;C:\Users\crist\.jnose_projects\test-smells-artemis\artemis-cli\src\test\java\org\apache\activemq\cli\test\CliProducerTest.java;;148;13;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-artemis;FileBrokerTest;C:\Users\crist\.jnose_projects\test-smells-artemis\artemis-cli\src\test\java\org\apache\activemq\cli\test\FileBrokerTest.java;C:\Users\crist\.jnose_projects\test-smells-artemis\artemis-cli\src\main\java\org\apache\activemq\artemis\integration\FileBroker.java;164;4;8;3;1;0;0;0;0;0;3;0;0;0;0;2;0;1;0;3;0;0;5
test-smells-artemis;HashUtilTest;C:\Users\crist\.jnose_projects\test-smells-artemis\artemis-cli\src\test\java\org\apache\activemq\cli\test\HashUtilTest.java;C:\Users\crist\.jnose_projects\test-smells-artemis\artemis-cli\src\main\java\org\apache\activemq\artemis\cli\commands\util\HashUtil.java;47;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-artemis;MessageSerializerTest;C:\Users\crist\.jnose_projects\test-smells-artemis\artemis-cli\src\test\java\org\apache\activemq\cli\test\MessageSerializerTest.java;C:\Users\crist\.jnose_projects\test-smells-artemis\artemis-cli\src\main\java\org\apache\activemq\artemis\cli\factory\serialize\MessageSerializer.java;421;25;3;0;8;0;0;0;0;6;5;0;1;0;0;0;0;8;0;1;0;0;0
test-smells-artemis;OptionsValidationTest;C:\Users\crist\.jnose_projects\test-smells-artemis\artemis-cli\src\test\java\org\apache\activemq\cli\test\OptionsValidationTest.java;;115;9;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0
test-smells-artemis;StreamClassPathTest;C:\Users\crist\.jnose_projects\test-smells-artemis\artemis-cli\src\test\java\org\apache\activemq\cli\test\StreamClassPathTest.java;;74;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-artemis;ActiveMQScheduledComponentTest;C:\Users\crist\.jnose_projects\test-smells-artemis\artemis-commons\src\test\java\org\apache\activemq\artemis\utils\ActiveMQScheduledComponentTest.java;C:\Users\crist\.jnose_projects\test-smells-artemis\artemis-commons\src\main\java\org\apache\activemq\artemis\core\server\ActiveMQScheduledComponent.java;209;11;2;6;0;0;0;0;0;6;0;0;2;0;0;1;0;0;1;3;0;0;6
