App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-activemq;AMQ4563Test;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\AMQ4563Test.java;;225;11;6;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-activemq;AmqpAndMqttTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\AmqpAndMqttTest.java;;137;10;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-activemq;AmqpAndStompInteropTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\AmqpAndStompInteropTest.java;;226;19;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-activemq;AmqpConnectTimeoutTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\AmqpConnectTimeoutTest.java;;170;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-activemq;AmqpTransformerTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\AmqpTransformerTest.java;;214;11;5;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0
test-smells-activemq;JMSClientAutoSslAuthTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\auto\JMSClientAutoSslAuthTest.java;;113;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-activemq;AmqpAnonymousSenderTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpAnonymousSenderTest.java;;73;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-activemq;AmqpBrokerReuqestedHearbeatsTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpBrokerReuqestedHearbeatsTest.java;;180;8;8;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-activemq;AmqpClientRequestsHeartbeatsTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpClientRequestsHeartbeatsTest.java;;122;6;5;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;1;0;0;0;0
test-smells-activemq;AmqpConfiguredMaxConnectionsTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpConfiguredMaxConnectionsTest.java;;93;5;4;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;1;1;0;0;0
test-smells-activemq;AmqpConnectionsTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpConnectionsTest.java;;336;13;20;0;0;0;0;0;0;13;1;0;0;0;0;4;0;0;3;4;0;0;0
test-smells-activemq;AmqpCorrelationIdPreservationTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpCorrelationIdPreservationTest.java;;197;17;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-activemq;AmqpCorruptedFrameHandlingTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpCorruptedFrameHandlingTest.java;;157;4;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0
test-smells-activemq;AmqpDeliveryAnnotationsTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpDeliveryAnnotationsTest.java;;96;6;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-activemq;AmqpDescribedTypePayloadTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpDescribedTypePayloadTest.java;;176;7;9;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;1;0;0;0;0
test-smells-activemq;AmqpDisabledInactivityMonitorTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpDisabledInactivityMonitorTest.java;;77;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-activemq;AmqpDurableReceiverTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpDurableReceiverTest.java;;501;14;97;0;0;0;0;0;0;66;1;0;0;0;0;8;0;0;21;1;0;0;0
test-smells-activemq;AmqpExpiredMessageTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpExpiredMessageTest.java;;269;7;21;0;0;0;0;0;0;14;0;0;0;0;0;5;0;0;0;0;0;0;0
test-smells-activemq;AmqpFlowControlTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpFlowControlTest.java;;111;2;4;0;0;0;0;0;0;3;3;0;0;0;0;1;0;0;2;0;0;0;0
test-smells-activemq;AmqpMaxFrameSizeTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpMaxFrameSizeTest.java;;119;8;1;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-activemq;AmqpMessageIdPreservationTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpMessageIdPreservationTest.java;;197;17;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-activemq;AmqpReceiverDrainTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpReceiverDrainTest.java;;248;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-activemq;AmqpReceiverTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpReceiverTest.java;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\client\AmqpReceiver.java;729;29;40;7;0;0;0;0;0;34;1;0;0;0;0;8;0;0;7;0;0;0;3
test-smells-activemq;AmqpSaslPlainTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpSaslPlainTest.java;;147;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-activemq;AmqpScheduledMessageTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpScheduledMessageTest.java;;300;10;19;0;0;0;0;0;0;12;0;0;0;0;0;4;0;0;0;4;0;0;0
test-smells-activemq;AmqpSenderTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpSenderTest.java;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\client\AmqpSender.java;331;14;10;4;0;0;0;0;0;12;5;0;0;0;0;3;0;0;0;0;0;0;2
test-smells-activemq;AmqpSendReceiveTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpSendReceiveTest.java;;819;25;23;0;0;0;0;0;0;13;10;0;0;0;0;8;0;0;4;0;0;0;0
test-smells-activemq;AmqpSessionTest;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\interop\AmqpSessionTest.java;C:\Users\crist\.jnose_projects\test-smells-activemq\activemq-amqp\src\test\java\org\apache\activemq\transport\amqp\client\AmqpSession.java;119;3;6;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;5;0;0;1
