App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-ambari;ZkMigratorTest;C:\Users\crist\.jnose_projects\test-smells-ambari\ambari-agent\src\test\java\org\apache\ambari\tools\zk\ZkMigratorTest.java;C:\Users\crist\.jnose_projects\test-smells-ambari\ambari-agent\src\main\java\org\apache\ambari\tools\zk\ZkMigrator.java;260;22;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
test-smells-ambari;DeleteServiceTest;C:\Users\crist\.jnose_projects\test-smells-ambari\ambari-funtest\src\test\java\org\apache\ambari\funtest\server\tests\DeleteServiceTest.java;;205;2;17;0;0;0;0;0;0;7;1;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-ambari;GetStacksTest;C:\Users\crist\.jnose_projects\test-smells-ambari\ambari-funtest\src\test\java\org\apache\ambari\funtest\server\tests\GetStacksTest.java;;108;1;4;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-ambari;RoleBasedAccessControlBasicTest;C:\Users\crist\.jnose_projects\test-smells-ambari\ambari-funtest\src\test\java\org\apache\ambari\funtest\server\tests\RoleBasedAccessControlBasicTest.java;;252;13;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-ambari;AmbariJpaPersistServiceTest;C:\Users\crist\.jnose_projects\test-smells-ambari\ambari-server\src\test\java\com\google\inject\persist\jpa\AmbariJpaPersistServiceTest.java;C:\Users\crist\.jnose_projects\test-smells-ambari\ambari-server\src\main\java\com\google\inject\persist\jpa\AmbariJpaPersistService.java;41;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ambari;LockAreaTest;C:\Users\crist\.jnose_projects\test-smells-ambari\ambari-server\src\test\java\org\apache\ambari\annotations\LockAreaTest.java;;79;4;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ambari;TransactionalLockInterceptorTest;C:\Users\crist\.jnose_projects\test-smells-ambari\ambari-server\src\test\java\org\apache\ambari\annotations\TransactionalLockInterceptorTest.java;;279;9;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-ambari;TransactionalLockTest;C:\Users\crist\.jnose_projects\test-smells-ambari\ambari-server\src\test\java\org\apache\ambari\annotations\TransactionalLockTest.java;C:\Users\crist\.jnose_projects\test-smells-ambari\ambari-server\src\main\java\org\apache\ambari\annotations\TransactionalLock.java;101;6;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-ambari;ExecutionCommandWrapperTest;C:\Users\crist\.jnose_projects\test-smells-ambari\ambari-server\src\test\java\org\apache\ambari\server\actionmanager\ExecutionCommandWrapperTest.java;C:\Users\crist\.jnose_projects\test-smells-ambari\ambari-server\src\main\java\org\apache\ambari\server\actionmanager\ExecutionCommandWrapper.java;389;45;9;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;2
test-smells-ambari;HostRoleStatusTest;C:\Users\crist\.jnose_projects\test-smells-ambari\ambari-server\src\test\java\org\apache\ambari\server\actionmanager\HostRoleStatusTest.java;C:\Users\crist\.jnose_projects\test-smells-ambari\ambari-server\src\main\java\org\apache\ambari\server\actionmanager\HostRoleStatus.java;69;3;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
