App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-ant;AssertionTest;C:\Users\crist\.jnose_projects\test-smells-ant\src\etc\testcases\types\assertions\AssertionTest.java;;45;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-ant;TestIgnored;C:\Users\crist\.jnose_projects\test-smells-ant\src\main\org\apache\tools\ant\taskdefs\optional\junit\TestIgnored.java;;35;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ant;TestListenerWrapper;C:\Users\crist\.jnose_projects\test-smells-ant\src\main\org\apache\tools\ant\taskdefs\optional\junit\TestListenerWrapper.java;;70;8;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ant;TestRequest;C:\Users\crist\.jnose_projects\test-smells-ant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\TestRequest.java;;101;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ant;TestResultFormatter;C:\Users\crist\.jnose_projects\test-smells-ant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\TestResultFormatter.java;;75;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ant;ExampleTest;C:\Users\crist\.jnose_projects\test-smells-ant\src\tests\antunit\taskdefs\optional\junit\src\ExampleTest.java;;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ant;AntClassLoaderDelegationTest;C:\Users\crist\.jnose_projects\test-smells-ant\src\tests\junit\org\apache\tools\ant\AntClassLoaderDelegationTest.java;;122;7;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
test-smells-ant;AntClassLoaderTest;C:\Users\crist\.jnose_projects\test-smells-ant\src\tests\junit\org\apache\tools\ant\AntClassLoaderTest.java;C:\Users\crist\.jnose_projects\test-smells-ant\src\main\org\apache\tools\ant\AntClassLoader.java;277;17;5;3;6;0;0;0;0;2;1;0;0;0;0;0;0;6;1;2;0;0;15
test-smells-ant;AntTestListener;C:\Users\crist\.jnose_projects\test-smells-ant\src\tests\junit\org\apache\tools\ant\BuildFileTest.java;;623;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-ant;CaseTest;C:\Users\crist\.jnose_projects\test-smells-ant\src\tests\junit\org\apache\tools\ant\CaseTest.java;;61;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
