App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-aries-jax-rs-whiteboard;JaxbJsonTest;C:\Users\crist\.jnose_projects\test-smells-aries-jax-rs-whiteboard\integrations\cxf-jettison\cxf-jettison-itest\src\main\java\test\JaxbJsonTest.java;;41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries-jax-rs-whiteboard;TestHelper;C:\Users\crist\.jnose_projects\test-smells-aries-jax-rs-whiteboard\integrations\cxf-jettison\cxf-jettison-itest\src\main\java\test\types\TestHelper.java;;306;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries-jax-rs-whiteboard;JaxbJsonTest;C:\Users\crist\.jnose_projects\test-smells-aries-jax-rs-whiteboard\integrations\jackson\jackson-itest\src\main\java\test\JaxbJsonTest.java;;57;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries-jax-rs-whiteboard;TestHelper;C:\Users\crist\.jnose_projects\test-smells-aries-jax-rs-whiteboard\integrations\jackson\jackson-itest\src\main\java\test\types\TestHelper.java;;306;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries-jax-rs-whiteboard;ShiroTest;C:\Users\crist\.jnose_projects\test-smells-aries-jax-rs-whiteboard\integrations\shiro\shiro-itest\src\main\java\test\ShiroTest.java;;192;11;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
test-smells-aries-jax-rs-whiteboard;TestHelper;C:\Users\crist\.jnose_projects\test-smells-aries-jax-rs-whiteboard\integrations\shiro\shiro-itest\src\main\java\test\types\TestHelper.java;;306;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries-jax-rs-whiteboard;JaxBTest;C:\Users\crist\.jnose_projects\test-smells-aries-jax-rs-whiteboard\jax-rs.itests\src\main\java\test\JaxBTest.java;;84;3;4;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries-jax-rs-whiteboard;JaxrsTest;C:\Users\crist\.jnose_projects\test-smells-aries-jax-rs-whiteboard\jax-rs.itests\src\main\java\test\JaxrsTest.java;;2498;59;244;0;0;0;0;0;0;156;5;0;0;0;0;35;0;0;65;11;0;0;0
test-smells-aries-jax-rs-whiteboard;TestHelper;C:\Users\crist\.jnose_projects\test-smells-aries-jax-rs-whiteboard\jax-rs.itests\src\main\java\test\types\TestHelper.java;;488;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries-jax-rs-whiteboard;WhiteboardFactoryTest;C:\Users\crist\.jnose_projects\test-smells-aries-jax-rs-whiteboard\jax-rs.itests\src\main\java\test\WhiteboardFactoryTest.java;;244;4;8;0;0;0;0;0;0;9;1;0;0;0;0;2;0;0;2;2;0;0;0
test-smells-aries-jax-rs-whiteboard;WhiteboardTargetFilterTest;C:\Users\crist\.jnose_projects\test-smells-aries-jax-rs-whiteboard\jax-rs.itests\src\main\java\test\WhiteboardTargetFilterTest.java;;119;3;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;3;0;0;0
test-smells-aries-jax-rs-whiteboard;ClassIntrospectorTest;C:\Users\crist\.jnose_projects\test-smells-aries-jax-rs-whiteboard\jax-rs.whiteboard\src\test\java\org\apache\aries\jax\rs\whiteboard\internal\introspection\ClassIntrospectorTest.java;C:\Users\crist\.jnose_projects\test-smells-aries-jax-rs-whiteboard\jax-rs.whiteboard\src\main\java\org\apache\aries\jax\rs\whiteboard\internal\introspection\ClassIntrospector.java;356;6;19;6;0;0;0;0;0;6;0;0;0;0;0;5;0;0;5;0;0;0;1
