App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-aries-rsa;PropertyValidatorTest;C:\Users\crist\.jnose_projects\test-smells-aries-rsa\discovery\config\src\test\java\org\apache\aries\rsa\discovery\config\PropertyValidatorTest.java;C:\Users\crist\.jnose_projects\test-smells-aries-rsa\discovery\config\src\main\java\org\apache\aries\rsa\discovery\config\PropertyValidator.java;102;5;15;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-aries-rsa;EndpointDescriptionParserTest;C:\Users\crist\.jnose_projects\test-smells-aries-rsa\discovery\local\src\test\java\org\apache\aries\rsa\discovery\endpoint\EndpointDescriptionParserTest.java;C:\Users\crist\.jnose_projects\test-smells-aries-rsa\discovery\local\src\main\java\org\apache\aries\rsa\discovery\endpoint\EndpointDescriptionParser.java;38;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries-rsa;PropertiesMapperTest;C:\Users\crist\.jnose_projects\test-smells-aries-rsa\discovery\local\src\test\java\org\apache\aries\rsa\discovery\endpoint\PropertiesMapperTest.java;C:\Users\crist\.jnose_projects\test-smells-aries-rsa\discovery\local\src\main\java\org\apache\aries\rsa\discovery\endpoint\PropertiesMapper.java;92;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries-rsa;ActivatorTest;C:\Users\crist\.jnose_projects\test-smells-aries-rsa\discovery\local\src\test\java\org\apache\aries\rsa\discovery\local\ActivatorTest.java;C:\Users\crist\.jnose_projects\test-smells-aries-rsa\topology-manager\src\main\java\org\apache\aries\rsa\topologymanager\Activator.java;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries-rsa;EndpointDescriptionBundleParserTest;C:\Users\crist\.jnose_projects\test-smells-aries-rsa\discovery\local\src\test\java\org\apache\aries\rsa\discovery\local\EndpointDescriptionBundleParserTest.java;C:\Users\crist\.jnose_projects\test-smells-aries-rsa\discovery\local\src\main\java\org\apache\aries\rsa\discovery\local\EndpointDescriptionBundleParser.java;181;7;42;3;0;0;0;0;0;9;0;0;0;0;0;1;0;0;0;0;0;0;2
test-smells-aries-rsa;LocalDiscoveryTest;C:\Users\crist\.jnose_projects\test-smells-aries-rsa\discovery\local\src\test\java\org\apache\aries\rsa\discovery\local\LocalDiscoveryTest.java;C:\Users\crist\.jnose_projects\test-smells-aries-rsa\discovery\local\src\main\java\org\apache\aries\rsa\discovery\local\LocalDiscovery.java;331;8;40;5;0;0;0;0;0;29;1;0;0;0;0;4;0;0;10;0;0;0;4
test-smells-aries-rsa;DiscoveryDriverTest;C:\Users\crist\.jnose_projects\test-smells-aries-rsa\discovery\zookeeper\src\test\java\org\apache\aries\rsa\discovery\zookeeper\DiscoveryDriverTest.java;;135;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries-rsa;FindInZooKeeperCustomizerTest;C:\Users\crist\.jnose_projects\test-smells-aries-rsa\discovery\zookeeper\src\test\java\org\apache\aries\rsa\discovery\zookeeper\FindInZooKeeperCustomizerTest.java;;301;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries-rsa;InterfaceDataMonitorListenerImplTest;C:\Users\crist\.jnose_projects\test-smells-aries-rsa\discovery\zookeeper\src\test\java\org\apache\aries\rsa\discovery\zookeeper\InterfaceDataMonitorListenerImplTest.java;;183;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries-rsa;PublishingEndpointListenerTest;C:\Users\crist\.jnose_projects\test-smells-aries-rsa\discovery\zookeeper\src\test\java\org\apache\aries\rsa\discovery\zookeeper\publish\PublishingEndpointListenerTest.java;C:\Users\crist\.jnose_projects\test-smells-aries-rsa\discovery\zookeeper\src\main\java\org\apache\aries\rsa\discovery\zookeeper\publish\PublishingEndpointListener.java;86;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
