App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-aries;DummyLocalPlatform;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-deployment-management\src\test\java\org\apache\aries\application\deployment\management\DeploymentGeneratorTest.java;;527;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries;BasicAppManagerTest;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-itests\src\test\java\org\apache\aries\application\runtime\itests\BasicAppManagerTest.java;;176;6;3;0;3;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0
test-smells-aries;BasicNoOpResolverTest;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-itests\src\test\java\org\apache\aries\application\runtime\itests\BasicNoOpResolverTest.java;;151;5;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0
test-smells-aries;IsolatedCfgAdminRuntimeTest;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-itests\src\test\java\org\apache\aries\application\runtime\itests\IsolatedCfgAdminRuntimeTest.java;;682;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries;IsolatedRuntimeTest;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-itests\src\test\java\org\apache\aries\application\runtime\itests\IsolatedRuntimeTest.java;;352;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries;AppMgrClientBlueprintListener;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-itests\src\test\java\org\apache\aries\application\runtime\itests\MinimumImportsTest.java;;204;2;0;0;1;0;0;0;0;0;2;0;1;0;0;1;0;2;0;0;0;0;0
test-smells-aries;OBRAppManagerTest;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-itests\src\test\java\org\apache\aries\application\runtime\itests\OBRAppManagerTest.java;;185;4;0;0;1;0;0;0;0;0;3;0;1;0;0;1;0;2;0;0;0;0;0
test-smells-aries;OBRResolverAdvancedTest;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-itests\src\test\java\org\apache\aries\application\runtime\itests\OBRResolverAdvancedTest.java;;562;19;0;0;6;0;0;0;0;4;15;0;0;0;0;4;0;5;0;1;0;0;0
test-smells-aries;OBRResolverTest;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-itests\src\test\java\org\apache\aries\application\runtime\itests\OBRResolverTest.java;;348;15;0;0;3;0;0;0;0;3;4;0;0;0;0;1;0;3;0;0;0;0;0
test-smells-aries;UpdateAppTest;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-itests\src\test\java\org\apache\aries\application\runtime\itests\UpdateAppTest.java;;291;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries;DummyConverter;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-management\src\test\java\org\apache\aries\application\management\impl\AriesApplicationManagerImplTest.java;;519;1;35;0;1;0;0;0;0;10;0;0;5;0;0;2;0;1;2;2;0;0;0
test-smells-aries;ApplicationRepositoryTest;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-management\src\test\java\org\apache\aries\application\management\repository\ApplicationRepositoryTest.java;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-management\src\main\java\org\apache\aries\application\management\repository\ApplicationRepository.java;54;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries;ParserProxyTest;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-modeller-common-test\src\test\java\org\apache\aries\application\modelling\impl\ParserProxyTest.java;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-api\src\main\java\org\apache\aries\application\modelling\ParserProxy.java;249;13;0;0;3;0;0;0;0;5;3;0;0;0;0;1;0;3;0;0;0;0;1
test-smells-aries;ModellerTest;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-modeller-common-test\src\test\java\org\apache\aries\application\modelling\ModellerTest.java;;163;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-aries;AbstractBundleResourceTest;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-modeller-common-test\src\test\java\org\apache\aries\application\modelling\utils\AbstractBundleResourceTest.java;;222;4;0;0;0;0;0;0;0;0;28;0;0;0;0;1;0;0;3;0;0;0;0
test-smells-aries;BundleResourceTest;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-modeller-common-test\src\test\java\org\apache\aries\application\modelling\utils\BundleResourceTest.java;C:\Users\crist\.jnose_projects\test-smells-aries\subsystem\subsystem-core\src\main\java\org\apache\aries\subsystem\core\internal\BundleResource.java;77;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries;DeployedBundlesTest;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-modeller-common-test\src\test\java\org\apache\aries\application\modelling\utils\DeployedBundlesTest.java;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-api\src\main\java\org\apache\aries\application\modelling\DeployedBundles.java;584;25;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;12;0;0;3
test-smells-aries;ExportedPackageTest;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-modeller-common-test\src\test\java\org\apache\aries\application\modelling\utils\ExportedPackageTest.java;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-api\src\main\java\org\apache\aries\application\modelling\ExportedPackage.java;96;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-aries;ExportedServiceTest;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-modeller-common-test\src\test\java\org\apache\aries\application\modelling\utils\ExportedServiceTest.java;C:\Users\crist\.jnose_projects\test-smells-aries\cdi\cdi-extra\src\main\java\org\apache\aries\cdi\extra\propertytypes\ExportedService.java;65;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-aries;ImportedPackageTest;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-modeller-common-test\src\test\java\org\apache\aries\application\modelling\utils\ImportedPackageTest.java;C:\Users\crist\.jnose_projects\test-smells-aries\application\application-api\src\main\java\org\apache\aries\application\modelling\ImportedPackage.java;113;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
