App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-asterixdb;APIFrameworkTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\api\common\APIFrameworkTest.java;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\main\java\org\apache\asterix\api\common\APIFramework.java;203;3;14;0;0;0;0;0;0;16;6;0;0;0;0;2;0;0;4;0;0;0;1
test-smells-asterixdb;ConnectorApiServletTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\api\http\servlet\ConnectorApiServletTest.java;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\main\java\org\apache\asterix\api\http\server\ConnectorApiServlet.java;194;5;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
test-smells-asterixdb;QueryCancellationServletTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\api\http\servlet\QueryCancellationServletTest.java;;108;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-asterixdb;VersionApiServletTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\api\http\servlet\VersionApiServletTest.java;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\main\java\org\apache\asterix\api\http\server\VersionApiServlet.java;128;3;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-asterixdb;PlanStagesGeneratorTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\app\resource\PlanStagesGeneratorTest.java;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\main\java\org\apache\asterix\app\resource\PlanStagesGenerator.java;307;14;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
test-smells-asterixdb;RequiredCapacityVisitorTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\app\resource\RequiredCapacityVisitorTest.java;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\main\java\org\apache\asterix\app\resource\RequiredCapacityVisitor.java;174;11;4;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-asterixdb;ResultPrinterTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\app\result\ResultPrinterTest.java;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\main\java\org\apache\asterix\app\result\ResultPrinter.java;106;3;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0
test-smells-asterixdb;ConfigUsageTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\common\config\ConfigUsageTest.java;;248;24;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0
test-smells-asterixdb;TestDataUtil;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\common\TestDataUtil.java;;231;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-asterixdb;CastTypeLaxTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\runtime\CastTypeLaxTest.java;;250;16;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-asterixdb;ClusterStateManagerTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\runtime\ClusterStateManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-runtime\src\main\java\org\apache\asterix\runtime\utils\ClusterStateManager.java;261;13;10;4;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;0;0;0;3
test-smells-asterixdb;NcLifecycleTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\runtime\NcLifecycleTest.java;;64;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-asterixdb;NullMissingTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\runtime\NullMissingTest.java;;140;4;1;0;0;0;0;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-asterixdb;ParseDurationTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\runtime\ParseDurationTest.java;;162;3;51;0;0;0;0;0;0;30;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-asterixdb;PartitionManagerTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\runtime\PartitionManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-asterixdb\hyracks-fullstack\hyracks\hyracks-control\hyracks-control-nc\src\main\java\org\apache\hyracks\control\nc\partitions\PartitionManager.java;87;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-asterixdb;ActiveEventsListenerTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\active\ActiveEventsListenerTest.java;;1575;95;91;0;0;0;0;51;0;17;4;0;17;0;0;5;0;0;18;0;0;0;0
test-smells-asterixdb;ActiveStatsTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\active\ActiveStatsTest.java;;162;5;5;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;2;0;0;0
test-smells-asterixdb;AQLTestCase;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\aql\AQLTestCase.java;;70;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-asterixdb;TestLoop;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\common\TestExecutor.java;;2078;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-asterixdb;CheckpointInSecondaryIndexTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\dataflow\CheckpointInSecondaryIndexTest.java;;577;56;16;0;0;0;0;0;0;7;0;0;10;0;0;5;0;0;3;5;0;0;0
test-smells-asterixdb;ComponentRollbackTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\dataflow\ComponentRollbackTest.java;;788;27;21;0;0;0;0;0;0;9;41;0;2;0;0;9;0;0;0;10;0;0;0
test-smells-asterixdb;ConnectorDescriptorWithMessagingTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\dataflow\ConnectorDescriptorWithMessagingTest.java;;347;9;33;0;0;0;0;0;0;28;16;0;0;0;0;4;0;0;3;4;0;0;0
test-smells-asterixdb;FlushMetadataOnlyTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\dataflow\FlushMetadataOnlyTest.java;;120;13;5;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-asterixdb;IoCallbackFailureTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\dataflow\IoCallbackFailureTest.java;;159;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-asterixdb;LogMarkerTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\dataflow\LogMarkerTest.java;;207;21;2;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-asterixdb;LSMFlushRecoveryTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\dataflow\LSMFlushRecoveryTest.java;;494;41;3;0;0;0;0;0;0;3;0;0;1;0;0;5;0;0;0;0;0;0;0
test-smells-asterixdb;MultiPartitionLSMIndexTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\dataflow\MultiPartitionLSMIndexTest.java;;677;50;8;0;0;0;0;0;0;4;15;0;7;0;0;2;0;0;1;3;0;0;0
test-smells-asterixdb;SearchCursorComponentSwitchTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\dataflow\SearchCursorComponentSwitchTest.java;;269;35;0;0;0;0;0;0;0;0;9;0;1;0;0;2;0;0;0;2;0;0;0
test-smells-asterixdb;TransactionAbortTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\dataflow\TransactionAbortTest.java;;210;25;0;0;0;0;0;3;0;3;0;0;7;0;0;0;0;0;0;1;0;0;0
test-smells-asterixdb;SecondaryBTreeOperationsHelperTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\ddl\SecondaryBTreeOperationsHelperTest.java;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-metadata\src\main\java\org\apache\asterix\metadata\utils\SecondaryBTreeOperationsHelper.java;111;5;4;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0
test-smells-asterixdb;DmlTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\dml\DmlTest.java;;84;10;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0
test-smells-asterixdb;JsonLogicalPlanTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\jsonplan\JsonLogicalPlanTest.java;;236;28;0;0;1;0;0;0;0;0;13;0;0;0;0;1;0;2;0;1;0;0;0
test-smells-asterixdb;JsonOptimizedLogicalPlanTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\jsonplan\JsonOptimizedLogicalPlanTest.java;;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-asterixdb;CheckpointingTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\logging\CheckpointingTest.java;;332;25;9;0;2;0;0;0;0;1;7;0;0;0;0;2;0;2;0;2;0;0;0
test-smells-asterixdb;MetadataManagerTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\metadata\MetadataManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-metadata\src\main\java\org\apache\asterix\metadata\MetadataManager.java;64;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-asterixdb;MetadataTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\metadata\MetadataTest.java;;88;11;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0
test-smells-asterixdb;MetadataTxnTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\metadata\MetadataTxnTest.java;;339;11;6;0;0;0;0;0;0;4;5;0;0;0;0;3;0;0;0;11;0;0;0
test-smells-asterixdb;OptimizerTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\optimizer\OptimizerTest.java;;248;29;0;0;1;0;0;0;0;0;13;0;0;0;0;1;0;2;0;1;0;0;0
test-smells-asterixdb;APIExecutionTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\runtime\APIExecutionTest.java;;82;8;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-asterixdb;AqlExecutionTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\runtime\AqlExecutionTest.java;;65;7;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-asterixdb;ClusterStateDefaultParameterTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\runtime\ClusterStateDefaultParameterTest.java;;103;8;3;0;0;0;0;1;0;4;5;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-asterixdb;ClusterStateExecutionFullParallelismTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\runtime\ClusterStateExecutionFullParallelismTest.java;;65;7;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-asterixdb;ClusterStateExecutionLessParallelismTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\runtime\ClusterStateExecutionLessParallelismTest.java;;65;7;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-asterixdb;MetricsExecutionTest;C:\Users\crist\.jnose_projects\test-smells-asterixdb\asterixdb\asterix-app\src\test\java\org\apache\asterix\test\runtime\MetricsExecutionTest.java;;65;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
