App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-beam;AutoCompleteTest;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\test\java\org\apache\beam\examples\complete\AutoCompleteTest.java;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\main\java\org\apache\beam\examples\complete\AutoComplete.java;153;8;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
test-smells-beam;GameStatsTest;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\test\java\org\apache\beam\examples\complete\game\GameStatsTest.java;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\main\java\org\apache\beam\examples\complete\game\GameStats.java;87;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-beam;HourlyTeamScoreTest;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\test\java\org\apache\beam\examples\complete\game\HourlyTeamScoreTest.java;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\main\java\org\apache\beam\examples\complete\game\HourlyTeamScore.java;119;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-beam;LeaderBoardTest;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\test\java\org\apache\beam\examples\complete\game\LeaderBoardTest.java;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\main\java\org\apache\beam\examples\complete\game\LeaderBoard.java;394;13;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;1
test-smells-beam;StatefulTeamScoreTest;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\test\java\org\apache\beam\examples\complete\game\StatefulTeamScoreTest.java;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\main\java\org\apache\beam\examples\complete\game\StatefulTeamScore.java;183;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
test-smells-beam;UserScoreTest;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\test\java\org\apache\beam\examples\complete\game\UserScoreTest.java;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\main\java\org\apache\beam\examples\complete\game\UserScore.java;172;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-beam;TfIdfTest;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\test\java\org\apache\beam\examples\complete\TfIdfTest.java;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\main\java\org\apache\beam\examples\complete\TfIdf.java;65;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-beam;TopWikipediaSessionsTest;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\test\java\org\apache\beam\examples\complete\TopWikipediaSessionsTest.java;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\main\java\org\apache\beam\examples\complete\TopWikipediaSessions.java;69;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-beam;BigQueryTornadoesTest;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\test\java\org\apache\beam\examples\cookbook\BigQueryTornadoesTest.java;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\main\java\org\apache\beam\examples\cookbook\BigQueryTornadoes.java;86;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-beam;CombinePerKeyExamplesTest;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\test\java\org\apache\beam\examples\cookbook\CombinePerKeyExamplesTest.java;C:\Users\crist\.jnose_projects\test-smells-beam\examples\java\src\main\java\org\apache\beam\examples\cookbook\CombinePerKeyExamples.java;85;16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
