App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-brooklyn-server;PdpYamlTest;C:\Users\crist\.jnose_projects\test-smells-brooklyn-server\camp\camp-base\src\test\java\org\apache\brooklyn\camp\spi\pdp\PdpYamlTest.java;;79;4;7;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-brooklyn-server;BasicCampPlatformTest;C:\Users\crist\.jnose_projects\test-smells-brooklyn-server\camp\camp-base\src\test\java\org\apache\brooklyn\camp\test\platform\BasicCampPlatformTest.java;C:\Users\crist\.jnose_projects\test-smells-brooklyn-server\camp\camp-base\src\main\java\org\apache\brooklyn\camp\BasicCampPlatform.java;86;5;3;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-brooklyn-server;AddChildrenEffectorYamlTest;C:\Users\crist\.jnose_projects\test-smells-brooklyn-server\camp\camp-brooklyn\src\test\java\org\apache\brooklyn\camp\brooklyn\AddChildrenEffectorYamlTest.java;;190;11;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-brooklyn-server;AggregatorYamlTest;C:\Users\crist\.jnose_projects\test-smells-brooklyn-server\camp\camp-brooklyn\src\test\java\org\apache\brooklyn\camp\brooklyn\AggregatorYamlTest.java;;283;12;0;0;0;0;0;0;0;13;0;0;0;0;0;1;0;0;4;0;0;0;0
test-smells-brooklyn-server;ApplicationsYamlTest;C:\Users\crist\.jnose_projects\test-smells-brooklyn-server\camp\camp-brooklyn\src\test\java\org\apache\brooklyn\camp\brooklyn\ApplicationsYamlTest.java;;441;26;2;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-brooklyn-server;AppYamlTest;C:\Users\crist\.jnose_projects\test-smells-brooklyn-server\camp\camp-brooklyn\src\test\java\org\apache\brooklyn\camp\brooklyn\AppYamlTest.java;;119;8;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-brooklyn-server;BrooklynTagsRebindTest;C:\Users\crist\.jnose_projects\test-smells-brooklyn-server\camp\camp-brooklyn\src\test\java\org\apache\brooklyn\camp\brooklyn\BrooklynTagsRebindTest.java;;59;2;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-brooklyn-server;BrooklynYamlTypeInstantiatorTest;C:\Users\crist\.jnose_projects\test-smells-brooklyn-server\camp\camp-brooklyn\src\test\java\org\apache\brooklyn\camp\brooklyn\BrooklynYamlTypeInstantiatorTest.java;C:\Users\crist\.jnose_projects\test-smells-brooklyn-server\camp\camp-brooklyn\src\main\java\org\apache\brooklyn\camp\brooklyn\spi\creation\BrooklynYamlTypeInstantiator.java;74;4;4;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-brooklyn-server;ByonLocationsYamlTest;C:\Users\crist\.jnose_projects\test-smells-brooklyn-server\camp\camp-brooklyn\src\test\java\org\apache\brooklyn\camp\brooklyn\ByonLocationsYamlTest.java;;297;11;10;0;0;0;0;0;0;17;0;0;0;0;0;2;0;0;0;1;0;0;0
test-smells-brooklyn-server;CatalogMakeOsgiBundleTest;C:\Users\crist\.jnose_projects\test-smells-brooklyn-server\camp\camp-brooklyn\src\test\java\org\apache\brooklyn\camp\brooklyn\catalog\CatalogMakeOsgiBundleTest.java;;191;13;1;0;3;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0
test-smells-brooklyn-server;CatalogOsgiLibraryTest;C:\Users\crist\.jnose_projects\test-smells-brooklyn-server\camp\camp-brooklyn\src\test\java\org\apache\brooklyn\camp\brooklyn\catalog\CatalogOsgiLibraryTest.java;;496;31;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;3;0;0;0
test-smells-brooklyn-server;CatalogOsgiVersionMoreEntityRebindTest;C:\Users\crist\.jnose_projects\test-smells-brooklyn-server\camp\camp-brooklyn\src\test\java\org\apache\brooklyn\camp\brooklyn\catalog\CatalogOsgiVersionMoreEntityRebindTest.java;;431;12;21;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;3;3;0;0;0
test-smells-brooklyn-server;CatalogOsgiVersionMoreEntityTest;C:\Users\crist\.jnose_projects\test-smells-brooklyn-server\camp\camp-brooklyn\src\test\java\org\apache\brooklyn\camp\brooklyn\catalog\CatalogOsgiVersionMoreEntityTest.java;;311;13;19;0;0;0;0;0;0;5;7;0;0;0;0;2;0;0;0;0;0;0;0
