App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-bval;AbstractCheckDigitTest;C:\Users\crist\.jnose_projects\test-smells-bval\bval-extras\src\test\java\org\apache\bval\extras\constraints\checkdigit\AbstractCheckDigitTest.java;;190;21;0;0;0;0;0;0;0;0;3;0;5;0;0;0;0;0;0;0;0;0;0
test-smells-bval;IBANCheckDigitTest;C:\Users\crist\.jnose_projects\test-smells-bval\bval-extras\src\test\java\org\apache\bval\extras\constraints\checkdigit\IBANCheckDigitTest.java;;150;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-bval;VerhoeffCheckDigitTest;C:\Users\crist\.jnose_projects\test-smells-bval\bval-extras\src\test\java\org\apache\bval\extras\constraints\checkdigit\VerhoeffCheckDigitTest.java;;54;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-bval;DomainValidatorTest;C:\Users\crist\.jnose_projects\test-smells-bval\bval-extras\src\test\java\org\apache\bval\extras\constraints\net\DomainValidatorTest.java;C:\Users\crist\.jnose_projects\test-smells-bval\bval-extras\src\main\java\org\apache\bval\extras\constraints\net\DomainValidator.java;154;7;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1
test-smells-bval;InetAddressValidatorTest;C:\Users\crist\.jnose_projects\test-smells-bval\bval-extras\src\test\java\org\apache\bval\extras\constraints\net\InetAddressValidatorTest.java;C:\Users\crist\.jnose_projects\test-smells-bval\bval-extras\src\main\java\org\apache\bval\extras\constraints\net\InetAddressValidator.java;90;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-bval;AssertFalseValidatorTest;C:\Users\crist\.jnose_projects\test-smells-bval\bval-jsr\src\test\java\org\apache\bval\constraints\AssertFalseValidatorTest.java;C:\Users\crist\.jnose_projects\test-smells-bval\bval-jsr\src\main\java\org\apache\bval\constraints\AssertFalseValidator.java;54;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-bval;AssertTrueValidatorTest;C:\Users\crist\.jnose_projects\test-smells-bval\bval-jsr\src\test\java\org\apache\bval\constraints\AssertTrueValidatorTest.java;C:\Users\crist\.jnose_projects\test-smells-bval\bval-jsr\src\main\java\org\apache\bval\constraints\AssertTrueValidator.java;54;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-bval;DecimalMinMaxValidatorsTest;C:\Users\crist\.jnose_projects\test-smells-bval\bval-jsr\src\test\java\org\apache\bval\constraints\DecimalMinMaxValidatorsTest.java;;63;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-bval;DigitsValidatorTest;C:\Users\crist\.jnose_projects\test-smells-bval\bval-jsr\src\test\java\org\apache\bval\constraints\DigitsValidatorTest.java;;78;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-bval;EmailAddressBuilder;C:\Users\crist\.jnose_projects\test-smells-bval\bval-jsr\src\test\java\org\apache\bval\constraints\EmailValidatorTest.java;;96;2;8;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;3;0;0;0;0
test-smells-bval;MinMaxValidatorsForNumberTest;C:\Users\crist\.jnose_projects\test-smells-bval\bval-jsr\src\test\java\org\apache\bval\constraints\MinMaxValidatorsForNumberTest.java;;74;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
