App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-chukwa;PigTest;C:\Users\crist\.jnose_projects\test-smells-chukwa\contrib\chukwa-pig\test\src\java\org\apache\hadoop\chukwa\PigTest.java;;64;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-chukwa;TestArchiveReader;C:\Users\crist\.jnose_projects\test-smells-chukwa\contrib\chukwa-pig\test\src\java\org\apache\hadoop\chukwa\TestArchiveReader.java;;164;3;1;0;1;0;0;0;0;0;6;0;0;0;0;1;0;1;0;1;0;0;0
test-smells-chukwa;TestLocalChukwaStorage;C:\Users\crist\.jnose_projects\test-smells-chukwa\contrib\chukwa-pig\test\src\java\org\apache\hadoop\chukwa\TestLocalChukwaStorage.java;;147;3;1;0;1;0;0;0;0;0;4;0;0;0;0;1;0;1;1;1;0;0;0
test-smells-chukwa;TestParseDouble;C:\Users\crist\.jnose_projects\test-smells-chukwa\contrib\chukwa-pig\test\src\java\org\apache\hadoop\chukwa\TestParseDouble.java;C:\Users\crist\.jnose_projects\test-smells-chukwa\contrib\chukwa-pig\src\java\org\apache\hadoop\chukwa\PARSEDOUBLE.java;93;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1
test-smells-chukwa;TestRecordMerger;C:\Users\crist\.jnose_projects\test-smells-chukwa\contrib\chukwa-pig\test\src\java\org\apache\hadoop\chukwa\TestRecordMerger.java;C:\Users\crist\.jnose_projects\test-smells-chukwa\src\main\java\org\apache\hadoop\chukwa\extraction\demux\RecordMerger.java;78;1;10;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-chukwa;TestTimePartition;C:\Users\crist\.jnose_projects\test-smells-chukwa\contrib\chukwa-pig\test\src\java\org\apache\hadoop\chukwa\TestTimePartition.java;C:\Users\crist\.jnose_projects\test-smells-chukwa\contrib\chukwa-pig\src\java\org\apache\hadoop\chukwa\TimePartition.java;103;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2
test-smells-chukwa;TestXtrAdaptor;C:\Users\crist\.jnose_projects\test-smells-chukwa\contrib\xtrace\test\src\java\edu\berkeley\chukwa_xtrace\TestXtrAdaptor.java;C:\Users\crist\.jnose_projects\test-smells-chukwa\contrib\xtrace\src\java\edu\berkeley\chukwa_xtrace\XtrAdaptor.java;68;1;5;0;1;0;0;0;0;2;0;0;0;0;0;1;0;1;1;0;0;0;0
test-smells-chukwa;TestFSMBuilder;C:\Users\crist\.jnose_projects\test-smells-chukwa\src\test\java\org\apache\hadoop\chukwa\analysis\salsa\fsm\TestFSMBuilder.java;C:\Users\crist\.jnose_projects\test-smells-chukwa\src\main\java\org\apache\hadoop\chukwa\analysis\salsa\fsm\FSMBuilder.java;571;31;0;0;2;0;0;0;0;9;18;0;0;0;0;2;0;2;1;4;0;0;0
test-smells-chukwa;TestMemoryUsageDetection;C:\Users\crist\.jnose_projects\test-smells-chukwa\src\test\java\org\apache\hadoop\chukwa\caffe\TestMemoryUsageDetection.java;;132;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-chukwa;ChunkImplTest;C:\Users\crist\.jnose_projects\test-smells-chukwa\src\test\java\org\apache\hadoop\chukwa\ChunkImplTest.java;C:\Users\crist\.jnose_projects\test-smells-chukwa\src\main\java\org\apache\hadoop\chukwa\ChunkImpl.java;57;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-chukwa;TestDatabaseAggregator;C:\Users\crist\.jnose_projects\test-smells-chukwa\src\test\java\org\apache\hadoop\chukwa\database\TestDatabaseAggregator.java;;90;5;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;1;0;1;0;0;0
test-smells-chukwa;TestDatabaseDataExpiration;C:\Users\crist\.jnose_projects\test-smells-chukwa\src\test\java\org\apache\hadoop\chukwa\database\TestDatabaseDataExpiration.java;;148;9;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;1;0;2;0;0;0
test-smells-chukwa;TestDatabasePrepareStatement;C:\Users\crist\.jnose_projects\test-smells-chukwa\src\test\java\org\apache\hadoop\chukwa\database\TestDatabasePrepareStatement.java;;142;7;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0
