App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-commons-beanutils;BasicDynaBeanTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\BasicDynaBeanTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\main\java\org\apache\commons\beanutils2\BasicDynaBean.java;1032;43;0;12;0;0;0;9;0;8;7;0;1;0;0;3;0;0;5;43;0;0;5
test-smells-commons-beanutils;BeanComparatorTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\BeanComparatorTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\main\java\org\apache\commons\beanutils2\BeanComparator.java;223;15;0;1;0;0;0;0;0;7;0;0;3;0;0;0;0;0;0;3;0;0;1
test-smells-commons-beanutils;Signal;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\BeanificationTestCase.java;;545;18;0;0;0;0;0;0;0;10;11;0;0;0;0;7;0;0;0;0;0;0;0
test-smells-commons-beanutils;BeanIntrospectionDataTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\BeanIntrospectionDataTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\main\java\org\apache\commons\beanutils2\BeanIntrospectionData.java;117;9;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-beanutils;TestException;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\BeanMapTestCase.java;;488;1;0;0;0;0;0;0;0;3;4;0;0;0;0;1;0;0;0;5;0;0;0
test-smells-commons-beanutils;BeanPredicateTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\BeanPredicateTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\main\java\org\apache\commons\beanutils2\BeanPredicate.java;65;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-commons-beanutils;BeanPropertyValueChangeClosureTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\BeanPropertyValueChangeClosureTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\main\java\org\apache\commons\beanutils2\BeanPropertyValueChangeClosure.java;322;32;0;26;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;13;0;0;2
test-smells-commons-beanutils;BeanPropertyValueEqualsPredicateTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\BeanPropertyValueEqualsPredicateTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\main\java\org\apache\commons\beanutils2\BeanPropertyValueEqualsPredicate.java;262;23;15;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;2
test-smells-commons-beanutils;BeanToPropertyValueTransformerTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\BeanToPropertyValueTransformerTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\main\java\org\apache\commons\beanutils2\BeanToPropertyValueTransformer.java;247;24;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2
test-smells-commons-beanutils;BeanUtils2TestCase;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\BeanUtils2TestCase.java;;201;13;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;9;0;0;0
test-smells-commons-beanutils;BeanUtilsTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\BeanUtilsTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\main\java\org\apache\commons\beanutils2\BeanUtils.java;1668;71;46;1;0;0;0;0;0;120;3;0;0;0;0;12;0;0;17;33;0;0;8
test-smells-commons-beanutils;FooBar;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\bugs\Jira157TestCase.java;;192;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0
test-smells-commons-beanutils;Jira18TestCase;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\bugs\Jira18TestCase.java;;283;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0
test-smells-commons-beanutils;Jira273TestCase;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\bugs\Jira273TestCase.java;;181;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
test-smells-commons-beanutils;Jira298TestCase;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\bugs\Jira298TestCase.java;;132;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
test-smells-commons-beanutils;TestBean;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\bugs\Jira339TestCase.java;;144;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-commons-beanutils;MyBean;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\bugs\Jira345TestCase.java;;119;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-beanutils;Jira347TestCase;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\bugs\Jira347TestCase.java;;154;4;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0
test-smells-commons-beanutils;ObjectBean;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\bugs\Jira349TestCase.java;;126;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-commons-beanutils;ConcreteTestBean;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\bugs\Jira357TestCase.java;;196;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-beanutils;Jira358TestCase;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\bugs\Jira358TestCase.java;;106;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-commons-beanutils;SimplePojoData;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\bugs\Jira359TestCase.java;;161;4;5;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-beanutils;Jira368TestCase;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\bugs\Jira368TestCase.java;;92;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-commons-beanutils;TestBean;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\bugs\Jira369TestCase.java;;144;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
test-smells-commons-beanutils;TestObjectSubclass;C:\Users\crist\.jnose_projects\test-smells-commons-beanutils\src\test\java\org\apache\commons\beanutils2\bugs\Jira381TestCase.java;;92;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
