App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-commons-chain;ProcessingTest;C:\Users\crist\.jnose_projects\test-smells-commons-chain\apps\cookbook-examples\src\test\java\org\apache\commons\chain2\cookbook\agility\ProcessingTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\api\src\main\java\org\apache\commons\chain2\Processing.java;44;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-chain;CatalogTest;C:\Users\crist\.jnose_projects\test-smells-commons-chain\apps\cookbook-examples\src\test\java\org\apache\commons\chain2\cookbook\mailreader\CatalogTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\api\src\main\java\org\apache\commons\chain2\Catalog.java;85;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-chain;LocaleValueTest;C:\Users\crist\.jnose_projects\test-smells-commons-chain\apps\cookbook-examples\src\test\java\org\apache\commons\chain2\cookbook\mailreader\LocaleValueTest.java;;58;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-chain;ProfileCheckTest;C:\Users\crist\.jnose_projects\test-smells-commons-chain\apps\cookbook-examples\src\test\java\org\apache\commons\chain2\cookbook\profile\ProfileCheckTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\apps\cookbook-examples\src\main\java\org\apache\commons\chain2\cookbook\profile\ProfileCheck.java;36;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-chain;CopyCommandTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\test\java\org\apache\commons\chain2\base\CopyCommandTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\main\java\org\apache\commons\chain2\base\CopyCommand.java;102;10;3;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2
test-smells-commons-chain;DispatchCommandTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\test\java\org\apache\commons\chain2\base\DispatchCommandTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\main\java\org\apache\commons\chain2\base\DispatchCommand.java;143;6;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
test-smells-commons-chain;DispatchLookupCommandTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\test\java\org\apache\commons\chain2\base\DispatchLookupCommandTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\main\java\org\apache\commons\chain2\base\DispatchLookupCommand.java;210;9;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;5;0;0;4
test-smells-commons-chain;LookupCommandTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\test\java\org\apache\commons\chain2\base\LookupCommandTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\main\java\org\apache\commons\chain2\base\LookupCommand.java;201;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;3
test-smells-commons-chain;OverrideCommandTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\test\java\org\apache\commons\chain2\base\OverrideCommandTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\main\java\org\apache\commons\chain2\base\OverrideCommand.java;68;5;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-commons-chain;RemoveCommandTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\test\java\org\apache\commons\chain2\base\RemoveCommandTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\main\java\org\apache\commons\chain2\base\RemoveCommand.java;65;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-commons-chain;CatalogBaseTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\test\java\org\apache\commons\chain2\impl\CatalogBaseTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\main\java\org\apache\commons\chain2\impl\CatalogBase.java;192;9;15;0;0;0;0;0;0;3;0;0;1;0;0;1;0;0;1;0;0;0;1
test-smells-commons-chain;CatalogFactoryBaseTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\test\java\org\apache\commons\chain2\impl\CatalogFactoryBaseTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\main\java\org\apache\commons\chain2\impl\CatalogFactoryBase.java;199;8;13;3;0;0;0;0;0;5;0;0;0;0;0;1;0;0;2;1;0;0;3
test-smells-commons-chain;ChainBaseTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\test\java\org\apache\commons\chain2\impl\ChainBaseTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\main\java\org\apache\commons\chain2\impl\ChainBase.java;404;28;8;16;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;15;0;0;2
test-smells-commons-chain;ContextBaseTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\test\java\org\apache\commons\chain2\impl\ContextBaseTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\main\java\org\apache\commons\chain2\impl\ContextBase.java;399;15;65;5;0;0;0;0;0;4;1;0;0;0;0;4;0;0;16;0;0;0;6
test-smells-commons-chain;FluentInterfacesTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\test\java\org\apache\commons\chain2\impl\FluentInterfacesTestCase.java;;114;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-chain;TestContextTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\base\src\test\java\org\apache\commons\chain2\impl\TestContextTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\test-utils\src\test\java\org\apache\commons\chain2\testutils\TestContext.java;106;12;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-chain;XmlConfigParserTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\configuration\xml\src\test\java\org\apache\commons\chain2\config\xml\XmlConfigParserTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\configuration\xml\src\main\java\org\apache\commons\chain2\config\xml\XmlConfigParser.java;312;20;16;1;0;0;0;0;0;2;0;0;0;0;0;2;0;0;1;4;0;0;0
test-smells-commons-chain;HasCommandCountTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\test-utils\src\test\java\org\apache\commons\chain2\testutils\HasCommandCountTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\test-utils\src\main\java\org\apache\commons\chain2\testutils\HasCommandCount.java;65;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-chain;HasLogTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\test-utils\src\test\java\org\apache\commons\chain2\testutils\HasLogTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\test-utils\src\main\java\org\apache\commons\chain2\testutils\HasLog.java;63;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-chain;NonDelegatingCommandTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\test-utils\src\test\java\org\apache\commons\chain2\testutils\NonDelegatingCommandTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\test-utils\src\main\java\org\apache\commons\chain2\testutils\NonDelegatingCommand.java;74;8;2;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0
test-smells-commons-chain;ChainResourcesTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\web\src\test\java\org\apache\commons\chain2\web\ChainResourcesTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\web\src\main\java\org\apache\commons\chain2\web\ChainResources.java;77;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-chain;PortletGetLocaleCommandTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\web\src\test\java\org\apache\commons\chain2\web\portlet\PortletGetLocaleCommandTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\web\src\main\java\org\apache\commons\chain2\web\portlet\PortletGetLocaleCommand.java;139;12;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
test-smells-commons-chain;PortletWebContextTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\web\src\test\java\org\apache\commons\chain2\web\portlet\PortletWebContextTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\web\src\main\java\org\apache\commons\chain2\web\portlet\PortletWebContext.java;745;22;77;3;0;0;0;1;0;7;0;0;3;0;0;8;0;0;4;14;0;0;11
test-smells-commons-chain;ChainProcessorTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-chain\web\src\test\java\org\apache\commons\chain2\web\servlet\ChainProcessorTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-chain\web\src\main\java\org\apache\commons\chain2\web\servlet\ChainProcessor.java;94;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
