App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-commons-collections;ArrayStackTest;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\test\java\org\apache\commons\collections4\ArrayStackTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\main\java\org\apache\commons\collections4\ArrayStack.java;122;7;0;3;0;0;0;0;0;10;0;0;0;0;0;0;0;0;3;2;0;0;4
test-smells-commons-collections;HashBagTest;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\test\java\org\apache\commons\collections4\bag\HashBagTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\main\java\org\apache\commons\collections4\bag\HashBag.java;57;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-collections;PredicatedBagTest;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\test\java\org\apache\commons\collections4\bag\PredicatedBagTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\main\java\org\apache\commons\collections4\bag\PredicatedBag.java;137;11;3;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;3;0;0;0
test-smells-commons-collections;PredicatedSortedBagTest;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\test\java\org\apache\commons\collections4\bag\PredicatedSortedBagTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\main\java\org\apache\commons\collections4\bag\PredicatedSortedBag.java;114;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-commons-collections;SynchronizedBagTest;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\test\java\org\apache\commons\collections4\bag\SynchronizedBagTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\main\java\org\apache\commons\collections4\bag\SynchronizedBag.java;59;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-collections;TransformedBagTest;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\test\java\org\apache\commons\collections4\bag\TransformedBagTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\main\java\org\apache\commons\collections4\bag\TransformedBag.java;100;6;9;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-collections;TransformedSortedBagTest;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\test\java\org\apache\commons\collections4\bag\TransformedSortedBagTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\main\java\org\apache\commons\collections4\bag\TransformedSortedBag.java;93;6;5;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-collections;TreeBagTest;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\test\java\org\apache\commons\collections4\bag\TreeBagTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\main\java\org\apache\commons\collections4\bag\TreeBag.java;115;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1
test-smells-commons-collections;UnmodifiableBagTest;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\test\java\org\apache\commons\collections4\bag\UnmodifiableBagTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\main\java\org\apache\commons\collections4\bag\UnmodifiableBag.java;108;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-commons-collections;UnmodifiableSortedBagTest;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\test\java\org\apache\commons\collections4\bag\UnmodifiableSortedBagTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-collections\src\main\java\org\apache\commons\collections4\bag\UnmodifiableSortedBag.java;108;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
