App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-commons-compress;StreamWrapper;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\AbstractTestCase.java;;404;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-compress;ArchiveReadTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\ArchiveReadTest.java;;119;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-compress;ArArchiveInputStreamTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\ar\ArArchiveInputStreamTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\main\java\org\apache\commons\compress\archivers\ar\ArArchiveInputStream.java;130;8;7;5;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;5;0;0;3
test-smells-commons-compress;ArArchiveOutputStreamTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\ar\ArArchiveOutputStreamTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\main\java\org\apache\commons\compress\archivers\ar\ArArchiveOutputStream.java;64;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
test-smells-commons-compress;ArchiveOutputStreamTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\ArchiveOutputStreamTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\main\java\org\apache\commons\compress\archivers\ArchiveOutputStream.java;208;9;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;8;0;0;2
test-smells-commons-compress;ArchiveServiceLoaderTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\ArchiveServiceLoaderTest.java;;40;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-compress;ArchiveStreamFactoryTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\ArchiveStreamFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\main\java\org\apache\commons\compress\archivers\ArchiveStreamFactory.java;433;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-compress;ArjArchiveInputStreamTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\arj\ArjArchiveInputStreamTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\main\java\org\apache\commons\compress\archivers\arj\ArjArchiveInputStream.java;110;5;9;5;0;0;0;0;0;8;2;0;0;0;0;0;0;0;2;2;0;0;4
test-smells-commons-compress;CoverageTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\arj\CoverageTest.java;;46;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-compress;ArTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\ArTestCase.java;;373;7;13;0;5;0;0;0;0;9;13;0;0;0;0;4;0;5;0;3;0;0;0
test-smells-commons-compress;CpioArchiveInputStreamTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\cpio\CpioArchiveInputStreamTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\main\java\org\apache\commons\compress\archivers\cpio\CpioArchiveInputStream.java;110;5;4;5;0;0;0;0;0;6;4;0;0;0;0;0;0;0;2;2;0;0;4
test-smells-commons-compress;CpioArchiveOutputStreamTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\cpio\CpioArchiveOutputStreamTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\main\java\org\apache\commons\compress\archivers\cpio\CpioArchiveOutputStream.java;71;1;1;1;1;0;0;0;0;0;2;0;0;0;0;1;0;1;0;2;0;0;0
test-smells-commons-compress;CpioArchiveTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\cpio\CpioArchiveTest.java;;74;4;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-commons-compress;CpioUtilTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\cpio\CpioUtilTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\main\java\org\apache\commons\compress\archivers\cpio\CpioUtil.java;83;7;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-commons-compress;CpioTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\CpioTestCase.java;;297;6;16;0;6;0;0;0;0;10;13;0;0;0;0;5;0;6;1;4;0;0;0
test-smells-commons-compress;DumpArchiveEntryTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\dump\DumpArchiveEntryTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\main\java\org\apache\commons\compress\archivers\dump\DumpArchiveEntry.java;44;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-commons-compress;DumpArchiveInputStreamTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\dump\DumpArchiveInputStreamTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\main\java\org\apache\commons\compress\archivers\dump\DumpArchiveInputStream.java;96;5;2;5;0;0;0;0;0;4;1;0;0;0;0;0;0;0;2;4;0;0;4
test-smells-commons-compress;DumpArchiveUtilTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\dump\DumpArchiveUtilTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\main\java\org\apache\commons\compress\archivers\dump\DumpArchiveUtil.java;51;3;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-compress;DumpTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\DumpTestCase.java;;122;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-compress;ExpanderTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\examples\ExpanderTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\main\java\org\apache\commons\compress\archivers\examples\Expander.java;233;17;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;1
test-smells-commons-compress;ParameterizedArchiverTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\examples\ParameterizedArchiverTest.java;;153;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0
test-smells-commons-compress;ParameterizedExpanderTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\examples\ParameterizedExpanderTest.java;;157;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0
test-smells-commons-compress;SevenZArchiverTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\examples\SevenZArchiverTest.java;;124;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0
test-smells-commons-compress;ExceptionMessageTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\ExceptionMessageTest.java;;81;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
test-smells-commons-compress;JarArchiveOutputStreamTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\jar\JarArchiveOutputStreamTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\main\java\org\apache\commons\compress\archivers\jar\JarArchiveOutputStream.java;75;1;4;1;1;0;0;0;0;2;1;0;0;0;0;1;0;1;1;1;0;0;0
test-smells-commons-compress;JarMarkerTest;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\test\java\org\apache\commons\compress\archivers\jar\JarMarkerTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-compress\src\main\java\org\apache\commons\compress\archivers\zip\JarMarker.java;39;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
