App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-commons-configuration;TestBeanHelper;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\test\java\org\apache\commons\configuration2\beanutils\TestBeanHelper.java;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\main\java\org\apache\commons\configuration2\beanutils\BeanHelper.java;572;38;0;13;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;16
test-smells-commons-configuration;TestCombinedBeanDeclaration;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\test\java\org\apache\commons\configuration2\beanutils\TestCombinedBeanDeclaration.java;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\main\java\org\apache\commons\configuration2\beanutils\CombinedBeanDeclaration.java;295;17;0;6;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;7
test-smells-commons-configuration;TestConfigurationDynaBean;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\test\java\org\apache\commons\configuration2\beanutils\TestConfigurationDynaBean.java;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\main\java\org\apache\commons\configuration2\beanutils\ConfigurationDynaBean.java;731;57;0;14;0;0;0;8;0;8;7;0;1;0;0;2;0;0;1;1;0;0;4
test-smells-commons-configuration;TestConstructorArg;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\test\java\org\apache\commons\configuration2\beanutils\TestConstructorArg.java;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\main\java\org\apache\commons\configuration2\beanutils\ConstructorArg.java;95;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-commons-configuration;TestDefaultBeanFactory;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\test\java\org\apache\commons\configuration2\beanutils\TestDefaultBeanFactory.java;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\main\java\org\apache\commons\configuration2\beanutils\DefaultBeanFactory.java;325;17;0;1;0;0;0;0;0;7;0;0;1;0;0;0;0;0;0;1;0;0;3
test-smells-commons-configuration;TestXMLBeanDeclaration;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\test\java\org\apache\commons\configuration2\beanutils\TestXMLBeanDeclaration.java;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\main\java\org\apache\commons\configuration2\beanutils\XMLBeanDeclaration.java;583;43;0;21;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;12
test-smells-commons-configuration;AbstractMultiFileConfigurationBuilderTest;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\test\java\org\apache\commons\configuration2\builder\combined\AbstractMultiFileConfigurationBuilderTest.java;;109;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-configuration;TestBaseConfigurationBuilderProvider;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\test\java\org\apache\commons\configuration2\builder\combined\TestBaseConfigurationBuilderProvider.java;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\main\java\org\apache\commons\configuration2\builder\combined\BaseConfigurationBuilderProvider.java;298;15;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-commons-configuration;TestCombinedBuilderParametersImpl;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\test\java\org\apache\commons\configuration2\builder\combined\TestCombinedBuilderParametersImpl.java;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\main\java\org\apache\commons\configuration2\builder\combined\CombinedBuilderParametersImpl.java;497;28;0;26;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;19
test-smells-commons-configuration;TestCombinedConfigurationBuilder;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\test\java\org\apache\commons\configuration2\builder\combined\TestCombinedConfigurationBuilder.java;C:\Users\crist\.jnose_projects\test-smells-commons-configuration\src\main\java\org\apache\commons\configuration2\builder\combined\CombinedConfigurationBuilder.java;1609;78;12;13;20;0;0;0;0;13;5;0;2;0;0;3;0;20;2;1;0;0;40
