App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-commons-dbcp;TestDriverAdapterCPDS;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\cpdsadapter\TestDriverAdapterCPDS.java;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\main\java\org\apache\commons\dbcp2\cpdsadapter\DriverAdapterCPDS.java;367;23;23;13;0;0;0;0;0;5;9;0;0;0;0;1;0;0;2;2;0;0;16
test-smells-commons-dbcp;TestCPDSConnectionFactory;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\datasources\TestCPDSConnectionFactory.java;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\main\java\org\apache\commons\dbcp2\datasources\CPDSConnectionFactory.java;171;6;19;3;0;0;0;0;0;17;0;0;0;0;0;1;0;0;7;1;0;0;2
test-smells-commons-dbcp;TestFactory;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\datasources\TestFactory.java;;59;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-dbcp;TestInstanceKeyDataSource;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\datasources\TestInstanceKeyDataSource.java;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\main\java\org\apache\commons\dbcp2\datasources\InstanceKeyDataSource.java;311;40;17;25;0;0;0;0;0;7;0;0;2;0;0;0;0;0;0;1;0;0;12
test-smells-commons-dbcp;TestKeyedCPDSConnectionFactory;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\datasources\TestKeyedCPDSConnectionFactory.java;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\main\java\org\apache\commons\dbcp2\datasources\KeyedCPDSConnectionFactory.java;169;5;18;2;0;0;0;0;0;17;0;0;0;0;0;1;0;0;6;1;0;0;2
test-smells-commons-dbcp;TestPerUserPoolDataSource;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\datasources\TestPerUserPoolDataSource.java;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\main\java\org\apache\commons\dbcp2\datasources\PerUserPoolDataSource.java;1641;131;141;115;0;0;0;0;0;48;16;0;2;0;0;4;0;0;37;9;0;0;54
test-smells-commons-dbcp;TestPoolKey;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\datasources\TestPoolKey.java;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\main\java\org\apache\commons\dbcp2\datasources\PoolKey.java;65;6;10;2;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;1
test-smells-commons-dbcp;TestSharedPoolDataSource;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\datasources\TestSharedPoolDataSource.java;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\main\java\org\apache\commons\dbcp2\datasources\SharedPoolDataSource.java;761;36;30;7;0;0;0;0;0;4;17;0;2;0;0;5;0;0;7;9;0;0;25
test-smells-commons-dbcp;TestUserPassKey;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\datasources\TestUserPassKey.java;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\main\java\org\apache\commons\dbcp2\datasources\UserPassKey.java;74;7;10;3;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1
test-smells-commons-dbcp;TestBasicManagedDataSource;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\managed\TestBasicManagedDataSource.java;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\main\java\org\apache\commons\dbcp2\managed\BasicManagedDataSource.java;221;12;1;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11;0;0;10
test-smells-commons-dbcp;TestConnectionWithNarayana;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\managed\TestConnectionWithNarayana.java;;236;12;1;0;0;0;0;0;0;3;14;0;0;0;0;1;0;0;0;3;0;0;0
test-smells-commons-dbcp;XADataSourceHandle;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\managed\TestDataSourceXAConnectionFactory.java;;112;2;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-dbcp;TestLocalXaResource;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\managed\TestLocalXaResource.java;;590;30;4;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-commons-dbcp;TestManagedConnection;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\managed\TestManagedConnection.java;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\main\java\org\apache\commons\dbcp2\managed\ManagedConnection.java;213;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-dbcp;TestManagedDataSource;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\managed\TestManagedDataSource.java;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\main\java\org\apache\commons\dbcp2\managed\ManagedDataSource.java;286;21;16;0;0;0;0;0;0;3;4;0;3;0;0;0;0;0;0;3;0;0;2
test-smells-commons-dbcp;TestManagedDataSourceInTx;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\managed\TestManagedDataSourceInTx.java;;441;18;26;0;0;0;0;0;0;0;5;0;0;0;0;3;0;0;10;5;0;0;0
test-smells-commons-dbcp;TestPoolableManagedConnection;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\managed\TestPoolableManagedConnection.java;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\main\java\org\apache\commons\dbcp2\managed\PoolableManagedConnection.java;143;10;10;2;0;0;0;0;0;8;0;0;1;0;0;0;0;0;6;1;0;0;1
test-smells-commons-dbcp;TestSynchronizationOrder;C:\Users\crist\.jnose_projects\test-smells-commons-dbcp\src\test\java\org\apache\commons\dbcp2\managed\TestSynchronizationOrder.java;;305;11;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
