App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-commons-imaging;ColorCieLabTest;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\test\java\org\apache\commons\imaging\color\ColorCieLabTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\main\java\org\apache\commons\imaging\color\ColorCieLab.java;63;8;1;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-commons-imaging;ColorCieLchTest;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\test\java\org\apache\commons\imaging\color\ColorCieLchTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\main\java\org\apache\commons\imaging\color\ColorCieLch.java;63;8;1;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-commons-imaging;ColorCieLuvTest;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\test\java\org\apache\commons\imaging\color\ColorCieLuvTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\main\java\org\apache\commons\imaging\color\ColorCieLuv.java;63;8;1;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-commons-imaging;ColorCmykTest;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\test\java\org\apache\commons\imaging\color\ColorCmykTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\main\java\org\apache\commons\imaging\color\ColorCmyk.java;68;9;1;1;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-commons-imaging;ColorCmyTest;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\test\java\org\apache\commons\imaging\color\ColorCmyTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\main\java\org\apache\commons\imaging\color\ColorCmy.java;63;8;1;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-commons-imaging;ColorConversionsTest;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\test\java\org\apache\commons\imaging\color\ColorConversionsTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\main\java\org\apache\commons\imaging\color\ColorConversions.java;119;5;2;4;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-commons-imaging;ColorHslTest;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\test\java\org\apache\commons\imaging\color\ColorHslTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\main\java\org\apache\commons\imaging\color\ColorHsl.java;63;8;1;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-commons-imaging;ColorHsvTest;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\test\java\org\apache\commons\imaging\color\ColorHsvTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\main\java\org\apache\commons\imaging\color\ColorHsv.java;63;8;1;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-commons-imaging;ColorHunterLabTest;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\test\java\org\apache\commons\imaging\color\ColorHunterLabTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\main\java\org\apache\commons\imaging\color\ColorHunterLab.java;63;8;1;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-commons-imaging;ColorXyzTest;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\test\java\org\apache\commons\imaging\color\ColorXyzTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-imaging\src\main\java\org\apache\commons\imaging\color\ColorXyz.java;63;8;1;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
