App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-commons-jexl;AnnotationTest;C:\Users\crist\.jnose_projects\test-smells-commons-jexl\src\test\java\org\apache\commons\jexl3\AnnotationTest.java;;275;13;28;0;0;0;0;2;0;19;4;0;0;0;0;1;0;0;3;6;0;0;0
test-smells-commons-jexl;CallSupportContext;C:\Users\crist\.jnose_projects\test-smells-commons-jexl\src\test\java\org\apache\commons\jexl3\AntishCallTest.java;;174;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-commons-jexl;ArithmeticOperatorTest;C:\Users\crist\.jnose_projects\test-smells-commons-jexl\src\test\java\org\apache\commons\jexl3\ArithmeticOperatorTest.java;;554;25;29;0;0;0;0;1;0;14;5;0;1;0;0;3;0;0;13;1;0;0;0
test-smells-commons-jexl;ArithmeticTest;C:\Users\crist\.jnose_projects\test-smells-commons-jexl\src\test\java\org\apache\commons\jexl3\ArithmeticTest.java;;1408;54;136;0;0;0;0;0;0;102;7;0;0;0;0;8;0;0;19;1;0;0;0
test-smells-commons-jexl;ArrayAccessTest;C:\Users\crist\.jnose_projects\test-smells-commons-jexl\src\test\java\org\apache\commons\jexl3\ArrayAccessTest.java;;332;16;0;0;0;0;0;0;0;10;1;0;0;0;0;4;0;0;0;0;0;0;0
test-smells-commons-jexl;ArrayLiteralTest;C:\Users\crist\.jnose_projects\test-smells-commons-jexl\src\test\java\org\apache\commons\jexl3\ArrayLiteralTest.java;;168;12;8;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-jexl;Quux;C:\Users\crist\.jnose_projects\test-smells-commons-jexl\src\test\java\org\apache\commons\jexl3\AssignTest.java;;197;7;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;5;2;0;0;0
test-smells-commons-jexl;BitwiseOperatorTest;C:\Users\crist\.jnose_projects\test-smells-commons-jexl\src\test\java\org\apache\commons\jexl3\BitwiseOperatorTest.java;;177;26;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-jexl;BlockTest;C:\Users\crist\.jnose_projects\test-smells-commons-jexl\src\test\java\org\apache\commons\jexl3\BlockTest.java;;85;7;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-jexl;AssignListTask;C:\Users\crist\.jnose_projects\test-smells-commons-jexl\src\test\java\org\apache\commons\jexl3\CacheTest.java;;702;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-jexl;InstanceReference;C:\Users\crist\.jnose_projects\test-smells-commons-jexl\src\test\java\org\apache\commons\jexl3\ClassCreatorTest.java;;414;1;24;0;0;0;0;0;0;12;11;0;2;0;0;3;0;1;8;0;0;0;0
test-smells-commons-jexl;TaxesContext;C:\Users\crist\.jnose_projects\test-smells-commons-jexl\src\test\java\org\apache\commons\jexl3\ContextNamespaceTest.java;;122;5;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;2;0;0;0
test-smells-commons-jexl;DoWhileTest;C:\Users\crist\.jnose_projects\test-smells-commons-jexl\src\test\java\org\apache\commons\jexl3\DoWhileTest.java;;108;7;4;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-commons-jexl;ArrayTest;C:\Users\crist\.jnose_projects\test-smells-commons-jexl\src\test\java\org\apache\commons\jexl3\examples\ArrayTest.java;;83;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
