App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-commons-jxpath;SomeChildClass;C:\Users\crist\.jnose_projects\test-smells-commons-jxpath\src\test\java\org\apache\commons\jxpath\issues\JXPath118Test.java;;83;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-jxpath;JXPath172DynamicTest;C:\Users\crist\.jnose_projects\test-smells-commons-jxpath\src\test\java\org\apache\commons\jxpath\issues\JXPath172DynamicTest.java;;130;8;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-jxpath;TestBean172;C:\Users\crist\.jnose_projects\test-smells-commons-jxpath\src\test\java\org\apache\commons\jxpath\issues\JXPath172Test.java;;156;3;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3;0;0;0
test-smells-commons-jxpath;JXPathVariablesResolver;C:\Users\crist\.jnose_projects\test-smells-commons-jxpath\src\test\java\org\apache\commons\jxpath\issues\JXPath177Test.java;;113;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-jxpath;JXPathTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-jxpath\src\test\java\org\apache\commons\jxpath\JXPathTestCase.java;;361;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-jxpath;SimplePathInterpreterTest;C:\Users\crist\.jnose_projects\test-smells-commons-jxpath\src\test\java\org\apache\commons\jxpath\ri\axes\SimplePathInterpreterTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-jxpath\src\main\java\org\apache\commons\jxpath\ri\axes\SimplePathInterpreter.java;636;15;0;0;0;0;0;0;0;12;0;0;2;0;0;5;0;0;2;0;0;0;0
test-smells-commons-jxpath;JXPathContextReferenceImplTestCase;C:\Users\crist\.jnose_projects\test-smells-commons-jxpath\src\test\java\org\apache\commons\jxpath\ri\JXPathContextReferenceImplTestCase.java;C:\Users\crist\.jnose_projects\test-smells-commons-jxpath\src\main\java\org\apache\commons\jxpath\ri\JXPathContextReferenceImpl.java;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-jxpath;BadlyImplementedFactoryTest;C:\Users\crist\.jnose_projects\test-smells-commons-jxpath\src\test\java\org\apache\commons\jxpath\ri\model\beans\BadlyImplementedFactoryTest.java;;59;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-commons-jxpath;StressRunnable;C:\Users\crist\.jnose_projects\test-smells-commons-jxpath\src\test\java\org\apache\commons\jxpath\ri\StressTest.java;;82;1;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-commons-jxpath;JXPathServletContextTest;C:\Users\crist\.jnose_projects\test-smells-commons-jxpath\src\test\java\org\apache\commons\jxpath\servlet\JXPathServletContextTest.java;;188;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-commons-jxpath;BasicTypeConverterTest;C:\Users\crist\.jnose_projects\test-smells-commons-jxpath\src\test\java\org\apache\commons\jxpath\util\BasicTypeConverterTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-jxpath\src\main\java\org\apache\commons\jxpath\util\BasicTypeConverter.java;166;12;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-commons-jxpath;TestClassLoader;C:\Users\crist\.jnose_projects\test-smells-commons-jxpath\src\test\java\org\apache\commons\jxpath\util\ClassLoaderUtilTest.java;;216;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-jxpath;ValueUtilsTest;C:\Users\crist\.jnose_projects\test-smells-commons-jxpath\src\test\java\org\apache\commons\jxpath\util\ValueUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-jxpath\src\main\java\org\apache\commons\jxpath\util\ValueUtils.java;79;9;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1
