App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-commons-net;MainTest;C:\Users\crist\.jnose_projects\test-smells-commons-net\src\test\java\org\apache\commons\net\examples\MainTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-net\src\main\java\org\apache\commons\net\examples\Main.java;124;5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-net;FTPClientConfigFunctionalTest;C:\Users\crist\.jnose_projects\test-smells-commons-net\src\test\java\org\apache\commons\net\ftp\FTPClientConfigFunctionalTest.java;;167;8;1;0;0;0;0;0;0;0;4;0;1;0;0;1;0;0;0;0;0;0;0
test-smells-commons-net;FTPClientConfigTest;C:\Users\crist\.jnose_projects\test-smells-commons-net\src\test\java\org\apache\commons\net\ftp\FTPClientConfigTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-net\src\main\java\org\apache\commons\net\ftp\FTPClientConfig.java;194;16;10;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;15;0;0;7
test-smells-commons-net;PassiveNatWorkAroundLocalClient;C:\Users\crist\.jnose_projects\test-smells-commons-net\src\test\java\org\apache\commons\net\ftp\FTPClientTest.java;;202;3;9;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-commons-net;FTPCommandTest;C:\Users\crist\.jnose_projects\test-smells-commons-net\src\test\java\org\apache\commons\net\ftp\FTPCommandTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-net\src\main\java\org\apache\commons\net\ftp\FTPCommand.java;34;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-net;ListingFunctionalTest;C:\Users\crist\.jnose_projects\test-smells-commons-net\src\test\java\org\apache\commons\net\ftp\ListingFunctionalTest.java;;355;34;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-net;DefaultFTPFileEntryParserFactoryTest;C:\Users\crist\.jnose_projects\test-smells-commons-net\src\test\java\org\apache\commons\net\ftp\parser\DefaultFTPFileEntryParserFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-net\src\main\java\org\apache\commons\net\ftp\parser\DefaultFTPFileEntryParserFactory.java;160;3;19;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;6;0;0;1
test-smells-commons-net;FTPConfigEntryParserTest;C:\Users\crist\.jnose_projects\test-smells-commons-net\src\test\java\org\apache\commons\net\ftp\parser\FTPConfigEntryParserTest.java;;159;3;10;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-commons-net;FTPTimestampParserImplTest;C:\Users\crist\.jnose_projects\test-smells-commons-net\src\test\java\org\apache\commons\net\ftp\parser\FTPTimestampParserImplTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-net\src\main\java\org\apache\commons\net\ftp\parser\FTPTimestampParserImpl.java;481;24;1;5;0;0;0;0;0;5;3;0;0;0;0;3;0;0;1;9;0;0;5
test-smells-commons-net;TestConnectTimeout;C:\Users\crist\.jnose_projects\test-smells-commons-net\src\test\java\org\apache\commons\net\ftp\TestConnectTimeout.java;;54;1;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0
