App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-commons-numbers;PlaneAngleRadiansTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\PlaneAngleRadiansTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-angle\src\main\java\org\apache\commons\numbers\angle\PlaneAngleRadians.java;137;14;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-commons-numbers;PlaneAngleTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\PlaneAngleTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-angle\src\main\java\org\apache\commons\numbers\angle\PlaneAngle.java;188;17;2;15;0;0;0;0;0;21;4;0;0;0;0;0;0;0;0;0;0;0;7
test-smells-commons-numbers;CosAngleTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-arrays\src\test\java\org\apache\commons\numbers\arrays\CosAngleTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-arrays\src\main\java\org\apache\commons\numbers\arrays\CosAngle.java;77;3;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-numbers;LinearCombinationTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-arrays\src\test\java\org\apache\commons\numbers\arrays\LinearCombinationTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-arrays\src\main\java\org\apache\commons\numbers\arrays\LinearCombination.java;297;5;5;0;0;0;0;0;0;36;4;0;0;0;0;4;0;0;1;0;0;0;1
test-smells-commons-numbers;SafeNormTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-arrays\src\test\java\org\apache\commons\numbers\arrays\SafeNormTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-arrays\src\main\java\org\apache\commons\numbers\arrays\SafeNorm.java;62;5;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-numbers;BinomialCoefficientDoubleTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\BinomialCoefficientDoubleTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-combinatorics\src\main\java\org\apache\commons\numbers\combinatorics\BinomialCoefficientDouble.java;106;6;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0;2;0;0;1
test-smells-commons-numbers;BinomialCoefficientTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\BinomialCoefficientTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-combinatorics\src\main\java\org\apache\commons\numbers\combinatorics\BinomialCoefficient.java;195;13;2;0;0;0;0;0;0;3;7;0;0;0;0;1;0;0;1;2;0;0;2
test-smells-commons-numbers;CombinationsTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\CombinationsTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-combinatorics\src\main\java\org\apache\commons\numbers\combinatorics\Combinations.java;194;15;10;7;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;7
test-smells-commons-numbers;FactorialDoubleTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\FactorialDoubleTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-combinatorics\src\main\java\org\apache\commons\numbers\combinatorics\FactorialDouble.java;130;12;0;11;0;0;0;0;0;9;3;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-commons-numbers;FactorialTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\FactorialTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-combinatorics\src\main\java\org\apache\commons\numbers\combinatorics\Factorial.java;58;5;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-numbers;LogBinomialCoefficientTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\LogBinomialCoefficientTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-combinatorics\src\main\java\org\apache\commons\numbers\combinatorics\LogBinomialCoefficient.java;101;5;0;0;0;0;0;0;0;5;6;0;0;0;0;0;0;0;0;2;0;0;1
test-smells-commons-numbers;LogFactorialTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\LogFactorialTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-combinatorics\src\main\java\org\apache\commons\numbers\combinatorics\LogFactorial.java;118;9;0;8;0;0;0;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-commons-numbers;ComplexTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-complex\src\main\java\org\apache\commons\numbers\complex\Complex.java;891;97;36;66;0;0;0;0;0;94;3;0;0;0;0;1;0;0;15;0;0;0;20
test-smells-commons-numbers;CStandardTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\CStandardTest.java;;276;53;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-commons-numbers;TestUtils;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\TestUtils.java;;408;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-numbers;ComplexUtilsTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-complex-streams\src\test\java\org\apache\commons\numbers\complex\streams\ComplexUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-complex-streams\src\main\java\org\apache\commons\numbers\complex\streams\ComplexUtils.java;720;74;24;4;0;0;0;0;0;100;22;0;0;0;0;4;0;0;2;0;0;0;6
test-smells-commons-numbers;TestUtils;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-complex-streams\src\test\java\org\apache\commons\numbers\complex\streams\TestUtils.java;;324;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-numbers;ArithmeticUtilsTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-core\src\main\java\org\apache\commons\numbers\core\ArithmeticUtils.java;782;45;108;1;0;0;0;3;0;103;21;0;0;0;0;5;0;0;10;32;0;0;8
test-smells-commons-numbers;PrecisionTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\PrecisionTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-core\src\main\java\org\apache\commons\numbers\core\Precision.java;434;15;124;0;0;0;0;0;0;201;7;0;0;0;0;5;0;0;0;1;0;0;3
test-smells-commons-numbers;TestUtils;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\TestUtils.java;;318;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-numbers;FieldParametricTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-field\src\test\java\org\apache\commons\numbers\field\FieldParametricTest.java;;123;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-numbers;BigFractionFormatTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-fraction\src\test\java\org\apache\commons\numbers\fraction\BigFractionFormatTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-fraction\src\main\java\org\apache\commons\numbers\fraction\BigFractionFormat.java;332;23;33;1;0;0;0;0;0;16;0;0;2;0;0;0;0;0;15;8;0;0;1
test-smells-commons-numbers;BigFractionTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-fraction\src\test\java\org\apache\commons\numbers\fraction\BigFractionTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-fraction\src\main\java\org\apache\commons\numbers\fraction\BigFraction.java;657;33;82;24;0;0;0;0;0;170;2;0;0;0;0;6;0;0;11;12;0;0;11
test-smells-commons-numbers;ContinuedFractionTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-fraction\src\test\java\org\apache\commons\numbers\fraction\ContinuedFractionTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-fraction\src\main\java\org\apache\commons\numbers\fraction\ContinuedFraction.java;86;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-numbers;FractionFormatTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-fraction\src\test\java\org\apache\commons\numbers\fraction\FractionFormatTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-fraction\src\main\java\org\apache\commons\numbers\fraction\FractionFormat.java;350;26;40;1;0;0;0;0;0;29;0;0;2;0;0;0;0;0;15;9;0;0;1
test-smells-commons-numbers;FractionTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-fraction\src\test\java\org\apache\commons\numbers\fraction\FractionTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-fraction\src\main\java\org\apache\commons\numbers\fraction\Fraction.java;644;29;60;19;0;0;0;0;0;161;1;0;0;0;0;4;0;0;16;22;0;0;11
test-smells-commons-numbers;DigammaTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\test\java\org\apache\commons\numbers\gamma\DigammaTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\main\java\org\apache\commons\numbers\gamma\Digamma.java;72;4;2;0;0;0;0;0;0;12;1;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-numbers;ErfcTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\test\java\org\apache\commons\numbers\gamma\ErfcTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\main\java\org\apache\commons\numbers\gamma\Erfc.java;85;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-numbers;ErfDifferenceTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\test\java\org\apache\commons\numbers\gamma\ErfDifferenceTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\main\java\org\apache\commons\numbers\gamma\ErfDifference.java;43;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-numbers;ErfTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\test\java\org\apache\commons\numbers\gamma\ErfTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\main\java\org\apache\commons\numbers\gamma\Erf.java;140;7;7;0;0;0;0;0;0;26;2;0;0;0;0;0;0;0;5;0;0;0;1
test-smells-commons-numbers;GammaTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\test\java\org\apache\commons\numbers\gamma\GammaTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\main\java\org\apache\commons\numbers\gamma\Gamma.java;555;4;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-numbers;InverseErfcTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\test\java\org\apache\commons\numbers\gamma\InverseErfcTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\main\java\org\apache\commons\numbers\gamma\InverseErfc.java;48;3;4;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-numbers;InverseErfTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\test\java\org\apache\commons\numbers\gamma\InverseErfTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\main\java\org\apache\commons\numbers\gamma\InverseErf.java;48;3;4;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-numbers;InvGamma1pm1Test;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\test\java\org\apache\commons\numbers\gamma\InvGamma1pm1Test.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\main\java\org\apache\commons\numbers\gamma\InvGamma1pm1.java;89;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-numbers;LanczosApproximationTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\test\java\org\apache\commons\numbers\gamma\LanczosApproximationTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\main\java\org\apache\commons\numbers\gamma\LanczosApproximation.java;39;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-numbers;LogBetaTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\test\java\org\apache\commons\numbers\gamma\LogBetaTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\main\java\org\apache\commons\numbers\gamma\LogBeta.java;694;20;0;0;0;0;0;7;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-numbers;LogGamma1pTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\test\java\org\apache\commons\numbers\gamma\LogGamma1pTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\main\java\org\apache\commons\numbers\gamma\LogGamma1p.java;68;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-numbers;LogGammaSumTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\test\java\org\apache\commons\numbers\gamma\LogGammaSumTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\main\java\org\apache\commons\numbers\gamma\LogGammaSum.java;166;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-numbers;LogGammaTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\test\java\org\apache\commons\numbers\gamma\LogGammaTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\main\java\org\apache\commons\numbers\gamma\LogGamma.java;230;9;0;0;0;0;0;4;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-numbers;RegularizedBetaTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\test\java\org\apache\commons\numbers\gamma\RegularizedBetaTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\main\java\org\apache\commons\numbers\gamma\RegularizedBeta.java;103;13;0;0;0;0;0;10;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1
test-smells-commons-numbers;RegularizedGammaTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\test\java\org\apache\commons\numbers\gamma\RegularizedGammaTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\main\java\org\apache\commons\numbers\gamma\RegularizedGamma.java;67;8;0;0;0;0;0;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-numbers;TrigammaTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\test\java\org\apache\commons\numbers\gamma\TrigammaTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-gamma\src\main\java\org\apache\commons\numbers\gamma\Trigamma.java;59;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-numbers;PrimesTest;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-primes\src\test\java\org\apache\commons\numbers\primes\PrimesTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-numbers\commons-numbers-primes\src\main\java\org\apache\commons\numbers\primes\Primes.java;165;13;15;0;0;0;0;0;0;13;9;0;0;0;0;0;0;0;1;0;0;0;0
