App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-commons-text;AlphabetConverterTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\AlphabetConverterTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\AlphabetConverter.java;316;32;14;9;0;0;0;4;0;0;3;0;0;0;0;1;0;0;0;0;0;0;6
test-smells-commons-text;CaseUtilsTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\CaseUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\CaseUtils.java;79;2;28;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0
test-smells-commons-text;CharacterPredicatesTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\CharacterPredicatesTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\CharacterPredicates.java;113;7;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-text;CompositeFormatTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\CompositeFormatTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\CompositeFormat.java;87;2;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3
test-smells-commons-text;ReplacementsFinderTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\diff\ReplacementsFinderTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\diff\ReplacementsFinder.java;98;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-text;StringsComparatorTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\diff\StringsComparatorTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\diff\StringsComparator.java;132;10;0;3;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;4
test-smells-commons-text;ExtendedMessageFormatTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\ExtendedMessageFormatTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\ExtendedMessageFormat.java;579;33;7;13;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;28
test-smells-commons-text;FormattableUtilsTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\FormattableUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\FormattableUtils.java;171;9;56;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
test-smells-commons-text;Base64DecoderStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\Base64DecoderStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\Base64DecoderStringLookup.java;38;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-text;Base64EncoderStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\Base64EncoderStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\Base64EncoderStringLookup.java;38;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-text;ConstantStringLookupBasicTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\ConstantStringLookupBasicTest.java;;61;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-text;ConstantStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\ConstantStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\ConstantStringLookup.java;142;14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-text;DateStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\DateStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\DateStringLookup.java;53;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-text;DefaultStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\DefaultStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\DefaultStringLookup.java;70;2;15;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-text;EnvironmentVariableStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\EnvironmentVariableStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\EnvironmentVariableStringLookup.java;45;2;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1
test-smells-commons-text;FileStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\FileStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\FileStringLookup.java;60;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-text;InterpolatorStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\InterpolatorStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\InterpolatorStringLookup.java;112;10;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2
test-smells-commons-text;JavaPlatformStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\JavaPlatformStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\JavaPlatformStringLookup.java;55;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-text;LocalHostStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\LocalHostStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\LocalHostStringLookup.java;54;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-text;MapStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\MapStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\MapStringLookup.java;51;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-commons-text;NullStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\NullStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\NullStringLookup.java;33;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-commons-text;PropertiesStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\PropertiesStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\PropertiesStringLookup.java;89;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-text;ResourceBundleStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\ResourceBundleStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\ResourceBundleStringLookup.java;82;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-commons-text;ScriptStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\ScriptStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\ScriptStringLookup.java;61;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-text;StringLookupFactoryTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\StringLookupFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\StringLookupFactory.java;87;4;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-text;SystemPropertyStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\SystemPropertyStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\SystemPropertyStringLookup.java;39;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-text;UrlDecoderStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\UrlDecoderStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\UrlDecoderStringLookup.java;48;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-text;UrlEncoderStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\UrlEncoderStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\UrlEncoderStringLookup.java;39;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-text;UrlStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\UrlStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\UrlStringLookup.java;70;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-commons-text;XmlStringLookupTest;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\test\java\org\apache\commons\text\lookup\XmlStringLookupTest.java;C:\Users\crist\.jnose_projects\test-smells-commons-text\src\main\java\org\apache\commons\text\lookup\XmlStringLookup.java;40;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
