App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-creadur-rat;LicenseFamilyBuilderTest;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-api\src\test\java\org\apache\rat\api\domain\LicenseFamilyBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-api\src\main\java\org\apache\rat\api\domain\LicenseFamilyBuilder.java;63;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-creadur-rat;RatLicenseFamilyTest;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-api\src\test\java\org\apache\rat\api\domain\RatLicenseFamilyTest.java;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-api\src\main\java\org\apache\rat\api\domain\RatLicenseFamily.java;226;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-creadur-rat;AnalyserFactoryTest;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-core\src\test\java\org\apache\rat\analysis\AnalyserFactoryTest.java;;117;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-creadur-rat;GeneratedLicenseNotRequiredTest;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-core\src\test\java\org\apache\rat\analysis\generation\GeneratedLicenseNotRequiredTest.java;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-core\src\main\java\org\apache\rat\analysis\generation\GeneratedLicenseNotRequired.java;50;4;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-creadur-rat;JavaDocLicenseNotRequiredTest;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-core\src\test\java\org\apache\rat\analysis\generation\JavaDocLicenseNotRequiredTest.java;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-core\src\main\java\org\apache\rat\analysis\generation\JavaDocLicenseNotRequired.java;82;7;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
test-smells-creadur-rat;HeaderCheckWorkerTest;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-core\src\test\java\org\apache\rat\analysis\HeaderCheckWorkerTest.java;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-core\src\main\java\org\apache\rat\analysis\HeaderCheckWorker.java;42;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-creadur-rat;ApacheSoftwareLicense20ShortTest;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-core\src\test\java\org\apache\rat\analysis\license\ApacheSoftwareLicense20ShortTest.java;;56;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-creadur-rat;ApacheSoftwareLicense20Test;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-core\src\test\java\org\apache\rat\analysis\license\ApacheSoftwareLicense20Test.java;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-core\src\main\java\org\apache\rat\analysis\license\ApacheSoftwareLicense20.java;70;4;18;2;0;0;0;2;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1
test-smells-creadur-rat;AppliedApacheSoftwareLicense20Test;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-core\src\test\java\org\apache\rat\analysis\license\AppliedApacheSoftwareLicense20Test.java;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-core\src\main\java\org\apache\rat\analysis\license\AppliedApacheSoftwareLicense20.java;109;8;0;2;0;0;0;2;0;0;2;0;1;0;0;0;0;0;0;1;0;0;2
test-smells-creadur-rat;CDDL1LicenseTest;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-core\src\test\java\org\apache\rat\analysis\license\CDDL1LicenseTest.java;C:\Users\crist\.jnose_projects\test-smells-creadur-rat\apache-rat-core\src\main\java\org\apache\rat\analysis\license\CDDL1License.java;88;7;9;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1
