App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-crunch;ParseTest;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-contrib\src\test\java\org\apache\crunch\contrib\text\ParseTest.java;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-contrib\src\main\java\org\apache\crunch\contrib\text\Parse.java;116;10;5;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-crunch;Tests;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\it\java\org\apache\crunch\test\Tests.java;;124;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-crunch;AggregatorsTest;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\test\java\org\apache\crunch\fn\AggregatorsTest.java;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\main\java\org\apache\crunch\fn\Aggregators.java;257;25;41;12;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;16
test-smells-crunch;AndFnTest;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\test\java\org\apache\crunch\fn\AndFnTest.java;;78;8;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-crunch;ExtractKeyFnTest;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\test\java\org\apache\crunch\fn\ExtractKeyFnTest.java;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\main\java\org\apache\crunch\fn\ExtractKeyFn.java;46;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-crunch;FilterFnTest;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\test\java\org\apache\crunch\fn\FilterFnTest.java;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\main\java\org\apache\crunch\FilterFn.java;85;9;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-crunch;NotFnTest;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\test\java\org\apache\crunch\fn\NotFnTest.java;;72;7;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-crunch;OrFnTest;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\test\java\org\apache\crunch\fn\OrFnTest.java;;79;8;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-crunch;PairMapTest;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\test\java\org\apache\crunch\fn\PairMapTest.java;;54;3;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-crunch;CrunchJobControlTest;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\test\java\org\apache\crunch\hadoop\mapreduce\lib\jobcontrol\CrunchJobControlTest.java;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\main\java\org\apache\crunch\hadoop\mapreduce\lib\jobcontrol\CrunchJobControl.java;159;6;3;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3
test-smells-crunch;CountersTest;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\test\java\org\apache\crunch\impl\mem\CountersTest.java;;58;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-crunch;MemPipelinePCollectionReuseTest;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\test\java\org\apache\crunch\impl\mem\MemPipelinePCollectionReuseTest.java;;74;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-crunch;IntermediateEmitterTest;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\test\java\org\apache\crunch\impl\mr\emit\IntermediateEmitterTest.java;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\main\java\org\apache\crunch\impl\mr\emit\IntermediateEmitter.java;104;6;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-crunch;CappedExponentialCounterTest;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\test\java\org\apache\crunch\impl\mr\exec\CappedExponentialCounterTest.java;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\main\java\org\apache\crunch\impl\mr\exec\CappedExponentialCounter.java;42;2;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2
test-smells-crunch;MRPipelineTest;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\test\java\org\apache\crunch\impl\mr\MRPipelineTest.java;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\main\java\org\apache\crunch\impl\mr\MRPipeline.java;95;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-crunch;DotfileWriterTest;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\test\java\org\apache\crunch\impl\mr\plan\DotfileWriterTest.java;C:\Users\crist\.jnose_projects\test-smells-crunch\crunch-core\src\main\java\org\apache\crunch\impl\mr\plan\DotfileWriter.java;219;17;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
