App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-curator;BasicTests;C:\Users\crist\.jnose_projects\test-smells-curator\curator-client\src\test\java\org\apache\curator\BasicTests.java;;195;5;2;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;4;0;0;0
test-smells-curator;TestExhibitorEnsembleProvider;C:\Users\crist\.jnose_projects\test-smells-curator\curator-client\src\test\java\org\apache\curator\ensemble\exhibitor\TestExhibitorEnsembleProvider.java;C:\Users\crist\.jnose_projects\test-smells-curator\curator-client\src\main\java\org\apache\curator\ensemble\exhibitor\ExhibitorEnsembleProvider.java;227;4;3;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;5
test-smells-curator;TestEnsurePath;C:\Users\crist\.jnose_projects\test-smells-curator\curator-client\src\test\java\org\apache\curator\TestEnsurePath.java;C:\Users\crist\.jnose_projects\test-smells-curator\curator-client\src\main\java\org\apache\curator\utils\EnsurePath.java;133;2;1;2;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;2
test-smells-curator;TestRetryLoop;C:\Users\crist\.jnose_projects\test-smells-curator\curator-client\src\test\java\org\apache\curator\TestRetryLoop.java;C:\Users\crist\.jnose_projects\test-smells-curator\curator-client\src\main\java\org\apache\curator\RetryLoop.java;165;4;2;2;0;0;0;0;0;2;6;0;0;0;0;2;0;0;0;2;0;0;3
test-smells-curator;TestSessionFailRetryLoop;C:\Users\crist\.jnose_projects\test-smells-curator\curator-client\src\test\java\org\apache\curator\TestSessionFailRetryLoop.java;C:\Users\crist\.jnose_projects\test-smells-curator\curator-client\src\main\java\org\apache\curator\SessionFailRetryLoop.java;286;4;0;4;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;4;0;0;5
test-smells-curator;TestCloseableExecutorService;C:\Users\crist\.jnose_projects\test-smells-curator\curator-client\src\test\java\org\apache\curator\utils\TestCloseableExecutorService.java;C:\Users\crist\.jnose_projects\test-smells-curator\curator-client\src\main\java\org\apache\curator\utils\CloseableExecutorService.java;271;10;6;5;0;0;0;0;0;11;8;0;0;0;0;4;0;0;0;1;0;0;4
test-smells-curator;TestCloseableScheduledExecutorService;C:\Users\crist\.jnose_projects\test-smells-curator\curator-client\src\test\java\org\apache\curator\utils\TestCloseableScheduledExecutorService.java;C:\Users\crist\.jnose_projects\test-smells-curator\curator-client\src\main\java\org\apache\curator\utils\CloseableScheduledExecutorService.java;120;7;4;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;2
test-smells-curator;TestZKPaths;C:\Users\crist\.jnose_projects\test-smells-curator\curator-client\src\test\java\org\apache\curator\utils\TestZKPaths.java;C:\Users\crist\.jnose_projects\test-smells-curator\curator-client\src\main\java\org\apache\curator\utils\ZKPaths.java;87;2;39;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0
test-smells-curator;TestEnsembleProvider;C:\Users\crist\.jnose_projects\test-smells-curator\curator-framework\src\test\java\org\apache\curator\framework\ensemble\TestEnsembleProvider.java;C:\Users\crist\.jnose_projects\test-smells-curator\curator-client\src\main\java\org\apache\curator\ensemble\EnsembleProvider.java;162;5;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;2
test-smells-curator;TestBlockUntilConnected;C:\Users\crist\.jnose_projects\test-smells-curator\curator-framework\src\test\java\org\apache\curator\framework\imps\TestBlockUntilConnected.java;;260;6;0;0;0;0;0;0;0;5;1;0;0;0;0;3;0;0;0;6;0;0;0
test-smells-curator;TestCompression;C:\Users\crist\.jnose_projects\test-smells-curator\curator-framework\src\test\java\org\apache\curator\framework\imps\TestCompression.java;;129;3;5;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;3;0;0;0
test-smells-curator;TestCompressionInTransactionNew;C:\Users\crist\.jnose_projects\test-smells-curator\curator-framework\src\test\java\org\apache\curator\framework\imps\TestCompressionInTransactionNew.java;;162;4;10;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0
test-smells-curator;TestCompressionInTransactionOld;C:\Users\crist\.jnose_projects\test-smells-curator\curator-framework\src\test\java\org\apache\curator\framework\imps\TestCompressionInTransactionOld.java;;158;4;10;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0
test-smells-curator;TestCreate;C:\Users\crist\.jnose_projects\test-smells-curator\curator-framework\src\test\java\org\apache\curator\framework\imps\TestCreate.java;;249;10;8;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;6;0;0;0
test-smells-curator;TestCreateReturningStat;C:\Users\crist\.jnose_projects\test-smells-curator\curator-framework\src\test\java\org\apache\curator\framework\imps\TestCreateReturningStat.java;;228;9;11;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;7;0;0;0
test-smells-curator;TestEnabledSessionExpiredState;C:\Users\crist\.jnose_projects\test-smells-curator\curator-framework\src\test\java\org\apache\curator\framework\imps\TestEnabledSessionExpiredState.java;;177;11;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-curator;TestEnsureContainers;C:\Users\crist\.jnose_projects\test-smells-curator\curator-framework\src\test\java\org\apache\curator\framework\imps\TestEnsureContainers.java;C:\Users\crist\.jnose_projects\test-smells-curator\curator-framework\src\main\java\org\apache\curator\framework\EnsureContainers.java;73;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
test-smells-curator;TestExistsBuilder;C:\Users\crist\.jnose_projects\test-smells-curator\curator-framework\src\test\java\org\apache\curator\framework\imps\TestExistsBuilder.java;C:\Users\crist\.jnose_projects\test-smells-curator\curator-framework\src\main\java\org\apache\curator\framework\api\ExistsBuilder.java;109;3;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-curator;TestFailedDeleteManager;C:\Users\crist\.jnose_projects\test-smells-curator\curator-framework\src\test\java\org\apache\curator\framework\imps\TestFailedDeleteManager.java;C:\Users\crist\.jnose_projects\test-smells-curator\curator-framework\src\main\java\org\apache\curator\framework\imps\FailedDeleteManager.java;364;6;17;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;5;6;0;0;0
test-smells-curator;TestFramework;C:\Users\crist\.jnose_projects\test-smells-curator\curator-framework\src\test\java\org\apache\curator\framework\imps\TestFramework.java;;1268;38;64;0;0;0;0;0;0;10;3;0;0;0;0;13;0;0;9;34;0;0;0
