App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-cxf-fediz;CallbackHandlerTest;C:\Users\crist\.jnose_projects\test-smells-cxf-fediz\plugins\core\src\test\java\org\apache\cxf\fediz\core\config\CallbackHandlerTest.java;;397;23;26;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-cxf-fediz;FedizConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-cxf-fediz\plugins\core\src\test\java\org\apache\cxf\fediz\core\config\FedizConfigurationTest.java;;451;40;19;0;2;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0
test-smells-cxf-fediz;FedizConfigurationWriterTest;C:\Users\crist\.jnose_projects\test-smells-cxf-fediz\plugins\core\src\test\java\org\apache\cxf\fediz\core\config\FedizConfigurationWriterTest.java;;388;31;25;0;2;0;0;0;0;8;0;0;0;0;0;2;0;2;0;0;0;0;0
test-smells-cxf-fediz;AudienceRestrictionTest;C:\Users\crist\.jnose_projects\test-smells-cxf-fediz\plugins\core\src\test\java\org\apache\cxf\fediz\core\federation\AudienceRestrictionTest.java;;407;21;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
test-smells-cxf-fediz;ClaimsProcessorTest;C:\Users\crist\.jnose_projects\test-smells-cxf-fediz\plugins\core\src\test\java\org\apache\cxf\fediz\core\federation\ClaimsProcessorTest.java;C:\Users\crist\.jnose_projects\test-smells-cxf-fediz\plugins\core\src\main\java\org\apache\cxf\fediz\core\processor\ClaimsProcessor.java;341;24;2;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-cxf-fediz;FederationLogoutTest;C:\Users\crist\.jnose_projects\test-smells-cxf-fediz\plugins\core\src\test\java\org\apache\cxf\fediz\core\federation\FederationLogoutTest.java;;482;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-cxf-fediz;FederationMetaDataTest;C:\Users\crist\.jnose_projects\test-smells-cxf-fediz\plugins\core\src\test\java\org\apache\cxf\fediz\core\federation\FederationMetaDataTest.java;;146;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
test-smells-cxf-fediz;FederationRequestTest;C:\Users\crist\.jnose_projects\test-smells-cxf-fediz\plugins\core\src\test\java\org\apache\cxf\fediz\core\federation\FederationRequestTest.java;;163;15;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-cxf-fediz;FederationResponseTest;C:\Users\crist\.jnose_projects\test-smells-cxf-fediz\plugins\core\src\test\java\org\apache\cxf\fediz\core\federation\FederationResponseTest.java;;1806;52;1;0;0;0;0;1;0;19;9;0;0;0;0;31;0;0;0;13;0;0;0
test-smells-cxf-fediz;RequestedClaimsTest;C:\Users\crist\.jnose_projects\test-smells-cxf-fediz\plugins\core\src\test\java\org\apache\cxf\fediz\core\federation\RequestedClaimsTest.java;;338;23;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;1;0;0;0
