App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-cxf;AttachmentDeserializerTest;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\test\java\org\apache\cxf\attachment\AttachmentDeserializerTest.java;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\main\java\org\apache\cxf\attachment\AttachmentDeserializer.java;683;18;66;14;0;0;0;0;0;28;8;0;1;0;0;11;0;0;6;5;0;0;3
test-smells-cxf;AttachmentSerializerTest;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\test\java\org\apache\cxf\attachment\AttachmentSerializerTest.java;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\main\java\org\apache\cxf\attachment\AttachmentSerializer.java;245;7;9;1;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-cxf;AttachmentUtilTest;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\test\java\org\apache\cxf\attachment\AttachmentUtilTest.java;C:\Users\crist\.jnose_projects\test-smells-cxf\rt\databinding\aegis\src\main\java\org\apache\cxf\aegis\type\mtom\AttachmentUtil.java;118;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-cxf;Rfc5987UtilTest;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\test\java\org\apache\cxf\attachment\Rfc5987UtilTest.java;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\main\java\org\apache\cxf\attachment\Rfc5987Util.java;57;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-cxf;CXFBusImplTest;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\test\java\org\apache\cxf\bus\CXFBusImplTest.java;;130;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-cxf;ExtensionManagerTest;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\test\java\org\apache\cxf\bus\extension\ExtensionManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\main\java\org\apache\cxf\bus\extension\ExtensionManager.java;83;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-cxf;ExtensionTest;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\test\java\org\apache\cxf\bus\extension\ExtensionTest.java;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\main\java\org\apache\cxf\bus\extension\Extension.java;112;4;0;3;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;4;0;0;8
test-smells-cxf;TextExtensionFragmentParserTest;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\test\java\org\apache\cxf\bus\extension\TextExtensionFragmentParserTest.java;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\main\java\org\apache\cxf\bus\extension\TextExtensionFragmentParser.java;53;1;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-cxf;EndpointResolverRegistryImplTest;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\test\java\org\apache\cxf\bus\managers\EndpointResolverRegistryImplTest.java;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\main\java\org\apache\cxf\bus\managers\EndpointResolverRegistryImpl.java;266;15;0;5;0;0;0;0;0;5;0;0;5;0;0;5;0;0;6;0;0;0;2
test-smells-cxf;ServerRegistryImpTest;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\test\java\org\apache\cxf\bus\managers\ServerRegistryImpTest.java;;45;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-cxf;ServiceContractResolverRegistryImplTest;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\test\java\org\apache\cxf\bus\managers\ServiceContractResolverRegistryImplTest.java;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\main\java\org\apache\cxf\bus\managers\ServiceContractResolverRegistryImpl.java;152;11;0;2;0;0;0;0;0;5;0;0;4;0;0;2;0;0;3;0;0;0;1
test-smells-cxf;OSGiBusListenerTest;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\test\java\org\apache\cxf\bus\osgi\OSGiBusListenerTest.java;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\main\java\org\apache\cxf\bus\osgi\OSGIBusListener.java;214;20;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
test-smells-cxf;BusApplicationContextTest;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\test\java\org\apache\cxf\bus\spring\BusApplicationContextTest.java;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\main\java\org\apache\cxf\bus\spring\BusApplicationContext.java;50;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-cxf;BusApplicationListenerTest;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\test\java\org\apache\cxf\bus\spring\BusApplicationListenerTest.java;;53;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-cxf;BusDefinitionParserTest;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\test\java\org\apache\cxf\bus\spring\BusDefinitionParserTest.java;C:\Users\crist\.jnose_projects\test-smells-cxf\core\src\main\java\org\apache\cxf\bus\spring\BusDefinitionParser.java;170;6;6;3;0;0;0;0;0;4;8;0;0;0;0;1;0;0;0;2;0;0;6
