App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-derby;T_CN;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.tests\org\apache\derbyTesting\functionTests\tests\compatibility\JDBCDriverTest.java;;1380;5;1;0;0;0;0;0;0;0;10;0;0;0;0;1;0;0;0;4;0;0;0
test-smells-derby;CheckToursDBTest;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.tests\org\apache\derbyTesting\functionTests\tests\demo\CheckToursDBTest.java;;225;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-derby;BadConnectionTest;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.tests\org\apache\derbyTesting\functionTests\tests\derbynet\BadConnectionTest.java;;115;6;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0
test-smells-derby;ByteArrayCombinerStreamTest;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.tests\org\apache\derbyTesting\functionTests\tests\derbynet\ByteArrayCombinerStreamTest.java;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.client\org\apache\derby\client\am\ByteArrayCombinerStream.java;246;17;13;10;0;0;0;0;0;16;3;0;0;0;0;0;0;0;1;3;0;0;3
test-smells-derby;ClientSideSystemPropertiesTest;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.tests\org\apache\derbyTesting\functionTests\tests\derbynet\ClientSideSystemPropertiesTest.java;;155;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-derby;DerbyNetAutoStartTest;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.tests\org\apache\derbyTesting\functionTests\tests\derbynet\DerbyNetAutoStartTest.java;;347;15;3;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;1;0;0;0
test-smells-derby;DerbyNetNewServerTest;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.tests\org\apache\derbyTesting\functionTests\tests\derbynet\DerbyNetNewServerTest.java;;121;5;0;0;0;0;0;0;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-derby;DRDAProtocolTest;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.tests\org\apache\derbyTesting\functionTests\tests\derbynet\DRDAProtocolTest.java;;121;7;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
test-smells-derby;GetCurrentPropertiesTest;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.tests\org\apache\derbyTesting\functionTests\tests\derbynet\GetCurrentPropertiesTest.java;;174;6;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-derby;LOBLocatorReleaseTest;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.tests\org\apache\derbyTesting\functionTests\tests\derbynet\LOBLocatorReleaseTest.java;;442;15;4;0;0;0;0;0;0;3;2;0;0;0;0;2;0;0;0;2;0;0;0
test-smells-derby;NetHarnessJavaTest;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.tests\org\apache\derbyTesting\functionTests\tests\derbynet\NetHarnessJavaTest.java;;93;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-derby;NetIjTest;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.tests\org\apache\derbyTesting\functionTests\tests\derbynet\NetIjTest.java;;115;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-derby;NetworkServerControlApiTest;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.tests\org\apache\derbyTesting\functionTests\tests\derbynet\NetworkServerControlApiTest.java;;736;44;6;0;0;0;0;0;0;36;0;0;0;0;0;1;0;0;4;4;0;0;0
test-smells-derby;NetworkServerControlClientCommandTest;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.tests\org\apache\derbyTesting\functionTests\tests\derbynet\NetworkServerControlClientCommandTest.java;;172;11;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-derby;NSinSameJVMTest;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.tests\org\apache\derbyTesting\functionTests\tests\derbynet\NSinSameJVMTest.java;;67;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-derby;NSSecurityMechanismTest;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.tests\org\apache\derbyTesting\functionTests\tests\derbynet\NSSecurityMechanismTest.java;;1265;36;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-derby;OutBufferedStreamTest;C:\Users\crist\.jnose_projects\test-smells-derby\java\org.apache.derby.tests\org\apache\derbyTesting\functionTests\tests\derbynet\OutBufferedStreamTest.java;;169;4;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;0;0;1;0;0;0
