App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-directory-server;MavibotPartitionBuilderTest;C:\Users\crist\.jnose_projects\test-smells-directory-server\bulkloader\src\test\java\org\apache\directory\mavibot\btree\MavibotPartitionBuilderTest.java;C:\Users\crist\.jnose_projects\test-smells-directory-server\bulkloader\src\main\java\org\apache\directory\mavibot\btree\MavibotPartitionBuilder.java;83;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0
test-smells-directory-server;TlsKeyGeneratorTest;C:\Users\crist\.jnose_projects\test-smells-directory-server\core\src\test\java\org\apache\directory\server\core\security\TlsKeyGeneratorTest.java;C:\Users\crist\.jnose_projects\test-smells-directory-server\core\src\main\java\org\apache\directory\server\core\security\TlsKeyGenerator.java;102;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-directory-server;DirectoryServiceAnnotationTest;C:\Users\crist\.jnose_projects\test-smells-directory-server\core-annotations\src\test\java\org\apache\directory\server\core\factory\DirectoryServiceAnnotationTest.java;;254;8;19;0;0;0;0;0;0;3;6;0;0;0;0;2;0;0;2;0;0;0;0
test-smells-directory-server;DirectoryServiceFactoryTest;C:\Users\crist\.jnose_projects\test-smells-directory-server\core-annotations\src\test\java\org\apache\directory\server\core\factory\DirectoryServiceFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-directory-server\core-annotations\src\main\java\org\apache\directory\server\core\factory\DirectoryServiceFactory.java;57;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-directory-server;TagTest;C:\Users\crist\.jnose_projects\test-smells-directory-server\core-api\src\test\java\org\apache\directory\server\core\api\changelog\TagTest.java;C:\Users\crist\.jnose_projects\test-smells-directory-server\kerberos-client\src\main\java\org\apache\directory\kerberos\credentials\cache\Tag.java;135;15;13;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-directory-server;ClonedServerEntryTest;C:\Users\crist\.jnose_projects\test-smells-directory-server\core-api\src\test\java\org\apache\directory\server\core\api\entry\ClonedServerEntryTest.java;C:\Users\crist\.jnose_projects\test-smells-directory-server\core-api\src\main\java\org\apache\directory\server\core\api\entry\ClonedServerEntry.java;149;16;20;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-directory-server;SchemaAwareEntryTest;C:\Users\crist\.jnose_projects\test-smells-directory-server\core-api\src\test\java\org\apache\directory\server\core\api\entry\SchemaAwareEntryTest.java;;3693;98;1015;0;0;0;0;0;47;240;3;0;10;0;0;38;0;0;178;48;0;0;0
test-smells-directory-server;SchemaAwareModificationTest;C:\Users\crist\.jnose_projects\test-smells-directory-server\core-api\src\test\java\org\apache\directory\server\core\api\entry\SchemaAwareModificationTest.java;;304;14;15;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
test-smells-directory-server;FilterNormalizingVisitorTest;C:\Users\crist\.jnose_projects\test-smells-directory-server\core-api\src\test\java\org\apache\directory\server\core\api\normalization\FilterNormalizingVisitorTest.java;C:\Users\crist\.jnose_projects\test-smells-directory-server\xdbm-partition\src\test\java\org\apache\directory\server\xdbm\search\impl\FilterNormalizingVisitor.java;95;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-directory-server;StoredProcUtilsTest;C:\Users\crist\.jnose_projects\test-smells-directory-server\core-api\src\test\java\org\apache\directory\server\core\api\sp\StoredProcUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-directory-server\core-api\src\main\java\org\apache\directory\server\core\api\sp\StoredProcUtils.java;50;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
