App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-drill;TestUserException;C:\Users\crist\.jnose_projects\test-smells-drill\common\src\test\java\org\apache\drill\common\exceptions\TestUserException.java;C:\Users\crist\.jnose_projects\test-smells-drill\common\src\main\java\org\apache\drill\common\exceptions\UserException.java;128;9;9;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8
test-smells-drill;TestCaseInsensitiveMap;C:\Users\crist\.jnose_projects\test-smells-drill\common\src\test\java\org\apache\drill\common\map\TestCaseInsensitiveMap.java;C:\Users\crist\.jnose_projects\test-smells-drill\common\src\main\java\org\apache\drill\common\map\CaseInsensitiveMap.java;84;3;13;3;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;6
test-smells-drill;TestVersion;C:\Users\crist\.jnose_projects\test-smells-drill\common\src\test\java\org\apache\drill\common\TestVersion.java;C:\Users\crist\.jnose_projects\test-smells-drill\common\src\main\java\org\apache\drill\common\Version.java;103;11;30;4;0;0;0;0;2;18;0;0;0;0;0;0;0;0;0;0;0;0;7
test-smells-drill;TestCheckedFunction;C:\Users\crist\.jnose_projects\test-smells-drill\common\src\test\java\org\apache\drill\common\util\function\TestCheckedFunction.java;C:\Users\crist\.jnose_projects\test-smells-drill\common\src\main\java\org\apache\drill\common\util\function\CheckedFunction.java;53;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-drill;Drill2130CommonHamcrestConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-drill\common\src\test\java\org\apache\drill\test\Drill2130CommonHamcrestConfigurationTest.java;;46;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-drill;SystemManager;C:\Users\crist\.jnose_projects\test-smells-drill\common\src\test\java\org\apache\drill\test\DrillTest.java;;168;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-drill;TestTools;C:\Users\crist\.jnose_projects\test-smells-drill\common\src\test\java\org\apache\drill\test\TestTools.java;;107;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-drill;TestLTSVRecordReader;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\format-ltsv\src\test\java\org\apache\drill\exec\store\ltsv\TestLTSVRecordReader.java;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\format-ltsv\src\main\java\org\apache\drill\exec\store\ltsv\LTSVRecordReader.java;100;6;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-drill;TestMapRDBCFAsJSONString;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\format-maprdb\src\test\java\com\mapr\drill\maprdb\tests\binary\TestMapRDBCFAsJSONString.java;;46;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-drill;TestMapRDBFilterPushDown;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\format-maprdb\src\test\java\com\mapr\drill\maprdb\tests\binary\TestMapRDBFilterPushDown.java;;47;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-drill;TestMapRDBProjectPushDown;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\format-maprdb\src\test\java\com\mapr\drill\maprdb\tests\binary\TestMapRDBProjectPushDown.java;;46;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-drill;TestMapRDBQueries;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\format-maprdb\src\test\java\com\mapr\drill\maprdb\tests\binary\TestMapRDBQueries.java;;46;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-drill;TestMapRDBSimple;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\format-maprdb\src\test\java\com\mapr\drill\maprdb\tests\binary\TestMapRDBSimple.java;;53;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-drill;IndexHintPlanTest;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\format-maprdb\src\test\java\com\mapr\drill\maprdb\tests\index\IndexHintPlanTest.java;;165;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-drill;IndexPlanTest;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\format-maprdb\src\test\java\com\mapr\drill\maprdb\tests\index\IndexPlanTest.java;;1995;113;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;37;0;0;0
test-smells-drill;StatisticsTest;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\format-maprdb\src\test\java\com\mapr\drill\maprdb\tests\index\StatisticsTest.java;C:\Users\crist\.jnose_projects\test-smells-drill\exec\java-exec\src\main\java\org\apache\drill\exec\planner\index\Statistics.java;100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-drill;BaseJsonTest;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\format-maprdb\src\test\java\com\mapr\drill\maprdb\tests\json\BaseJsonTest.java;;79;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-drill;TestEncodedFieldPaths;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\format-maprdb\src\test\java\com\mapr\drill\maprdb\tests\json\TestEncodedFieldPaths.java;;128;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-drill;TestFieldPathHelper;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\format-maprdb\src\test\java\com\mapr\drill\maprdb\tests\json\TestFieldPathHelper.java;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\format-maprdb\src\main\java\org\apache\drill\exec\store\mapr\db\util\FieldPathHelper.java;52;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-drill;TestScanRanges;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\format-maprdb\src\test\java\com\mapr\drill\maprdb\tests\json\TestScanRanges.java;;157;12;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-drill;TestSimpleJson;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\format-maprdb\src\test\java\com\mapr\drill\maprdb\tests\json\TestSimpleJson.java;;489;31;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-drill;TestSyslogFormat;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\format-syslog\src\test\java\org\apache\drill\exec\store\syslog\TestSyslogFormat.java;;302;9;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
test-smells-drill;BaseHBaseTest;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\storage-hbase\src\test\java\org\apache\drill\hbase\BaseHBaseTest.java;;106;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-drill;HBaseRecordReaderTest;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\storage-hbase\src\test\java\org\apache\drill\hbase\HBaseRecordReaderTest.java;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\storage-hbase\src\main\java\org\apache\drill\exec\store\hbase\HBaseRecordReader.java;96;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-drill;Drill2130StorageHBaseHamcrestConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\storage-hbase\src\test\java\org\apache\drill\hbase\test\Drill2130StorageHBaseHamcrestConfigurationTest.java;;47;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-drill;TestHBaseCFAsJSONString;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\storage-hbase\src\test\java\org\apache\drill\hbase\TestHBaseCFAsJSONString.java;;61;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-drill;TestHBaseConnectionManager;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\storage-hbase\src\test\java\org\apache\drill\hbase\TestHBaseConnectionManager.java;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\storage-hbase\src\main\java\org\apache\drill\exec\store\hbase\HBaseConnectionManager.java;62;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-drill;TestHBaseFilterPushDown;C:\Users\crist\.jnose_projects\test-smells-drill\contrib\storage-hbase\src\test\java\org\apache\drill\hbase\TestHBaseFilterPushDown.java;;820;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
