App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-falcon;HDFSStorageTest;C:\Users\crist\.jnose_projects\test-smells-falcon\addons\designer\core\src\test\java\org\apache\falcon\designer\storage\impl\HDFSStorageTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\addons\designer\core\src\main\java\org\apache\falcon\designer\storage\impl\HDFSStorage.java;78;3;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
test-smells-falcon;HdfsSnapshotReplicatorTest;C:\Users\crist\.jnose_projects\test-smells-falcon\addons\hdfs-snapshot-mirroring\src\test\java\org\apache\falcon\snapshots\replication\HdfsSnapshotReplicatorTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\addons\hdfs-snapshot-mirroring\src\main\java\org\apache\falcon\snapshots\replication\HdfsSnapshotReplicator.java;166;16;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1
test-smells-falcon;HdfsSnapshotEvictorTest;C:\Users\crist\.jnose_projects\test-smells-falcon\addons\hdfs-snapshot-mirroring\src\test\java\org\apache\falcon\snapshots\retention\HdfsSnapshotEvictorTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\addons\hdfs-snapshot-mirroring\src\main\java\org\apache\falcon\snapshots\retention\HdfsSnapshotEvictor.java;98;11;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1
test-smells-falcon;HiveDRStatusStoreTest;C:\Users\crist\.jnose_projects\test-smells-falcon\addons\hivedr\src\test\java\org\apache\falcon\hive\HiveDRStatusStoreTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\addons\hivedr\src\main\java\org\apache\falcon\hive\util\HiveDRStatusStore.java;343;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-falcon;HiveDRTest;C:\Users\crist\.jnose_projects\test-smells-falcon\addons\hivedr\src\test\java\org\apache\falcon\hive\HiveDRTest.java;;252;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-falcon;EventUtilsTest;C:\Users\crist\.jnose_projects\test-smells-falcon\addons\hivedr\src\test\java\org\apache\falcon\hive\util\EventUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\addons\hivedr\src\main\java\org\apache\falcon\hive\util\EventUtils.java;71;11;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-falcon;LineageGraphResultTest;C:\Users\crist\.jnose_projects\test-smells-falcon\client\src\test\java\org\apache\falcon\resource\LineageGraphResultTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\common-types\src\main\java\org\apache\falcon\resource\LineageGraphResult.java;50;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-falcon;TestCLIParser;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\cli\TestCLIParser.java;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\main\java\org\apache\falcon\cliParser\CLIParser.java;70;3;3;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;4
test-smells-falcon;LogCleanupServiceTest;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\cleanup\LogCleanupServiceTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\main\java\org\apache\falcon\service\LogCleanupService.java;170;16;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
test-smells-falcon;CatalogStorageTest;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\entity\CatalogStorageTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\main\java\org\apache\falcon\entity\CatalogStorage.java;215;15;45;11;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;12
test-smells-falcon;ColoClusterRelationTest;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\entity\ColoClusterRelationTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\main\java\org\apache\falcon\entity\ColoClusterRelation.java;93;2;16;1;0;0;0;0;0;6;0;0;0;0;0;1;0;0;4;1;0;0;0
test-smells-falcon;EntityTypeTest;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\entity\EntityTypeTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\common-types\src\main\java\org\apache\falcon\entity\v0\EntityType.java;60;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-falcon;EntityUtilTest;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\entity\EntityUtilTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\main\java\org\apache\falcon\entity\EntityUtil.java;513;34;25;5;0;0;0;0;0;20;3;0;0;0;0;1;0;0;0;1;0;0;8
test-smells-falcon;FeedDataPathTest;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\entity\FeedDataPathTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\main\java\org\apache\falcon\entity\common\FeedDataPath.java;124;5;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-falcon;FeedHelperTest;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\entity\FeedHelperTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\main\java\org\apache\falcon\entity\FeedHelper.java;1080;52;51;13;0;0;0;0;0;8;6;0;1;0;0;6;0;0;5;0;0;0;7
test-smells-falcon;FileSystemStorageTest;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\entity\FileSystemStorageTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\main\java\org\apache\falcon\entity\FileSystemStorage.java;583;26;7;15;0;0;0;0;0;0;1;0;0;0;0;3;0;0;4;4;0;0;9
test-smells-falcon;HiveUtilTest;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\entity\HiveUtilTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\falcon-regression\merlin-core\src\main\java\org\apache\falcon\regression\core\util\HiveUtil.java;103;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
test-smells-falcon;MemoryLocksTest;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\entity\lock\MemoryLocksTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\main\java\org\apache\falcon\entity\lock\MemoryLocks.java;64;5;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-falcon;ClusterEntityParserTest;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\entity\parser\ClusterEntityParserTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\main\java\org\apache\falcon\entity\parser\ClusterEntityParser.java;468;20;38;7;0;0;0;0;0;2;1;0;0;0;0;3;0;0;2;4;0;0;5
test-smells-falcon;DatasourceEntityParserTest;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\entity\parser\DatasourceEntityParserTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\main\java\org\apache\falcon\entity\parser\DatasourceEntityParser.java;96;9;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-falcon;FeedEntityParserTest;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\entity\parser\FeedEntityParserTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\main\java\org\apache\falcon\entity\parser\FeedEntityParser.java;1263;64;93;11;0;0;0;0;0;6;5;0;1;0;0;6;0;0;4;25;0;0;3
test-smells-falcon;FeedUpdateTest;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\entity\parser\FeedUpdateTest.java;;145;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
test-smells-falcon;ProcessEntityParserTest;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\entity\parser\ProcessEntityParserTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\main\java\org\apache\falcon\entity\parser\ProcessEntityParser.java;663;43;56;4;0;0;0;0;0;4;6;0;0;0;0;2;0;0;1;11;0;0;2
test-smells-falcon;ProcessHelperTest;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\entity\ProcessHelperTest.java;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\main\java\org\apache\falcon\entity\ProcessHelper.java;265;18;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-falcon;StorageFactoryTest;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\entity\StorageFactoryTest.java;;306;33;10;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-falcon;TestListener;C:\Users\crist\.jnose_projects\test-smells-falcon\common\src\test\java\org\apache\falcon\entity\store\ConfigurationStoreTest.java;;248;4;7;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;2;2;0;0;0
