App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-fineract-cn-portfolio;CaseParametersTest;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\test\java\org\apache\fineract\cn\individuallending\api\v1\domain\caseinstance\CaseParametersTest.java;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\main\java\org\apache\fineract\cn\individuallending\api\v1\domain\caseinstance\CaseParameters.java;78;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-fineract-cn-portfolio;CreditWorthinessFactorTest;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\test\java\org\apache\fineract\cn\individuallending\api\v1\domain\caseinstance\CreditWorthinessFactorTest.java;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\main\java\org\apache\fineract\cn\individuallending\api\v1\domain\caseinstance\CreditWorthinessFactor.java;71;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-fineract-cn-portfolio;CreditWorthinessSnapshotTest;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\test\java\org\apache\fineract\cn\individuallending\api\v1\domain\caseinstance\CreditWorthinessSnapshotTest.java;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\main\java\org\apache\fineract\cn\individuallending\api\v1\domain\caseinstance\CreditWorthinessSnapshot.java;79;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-fineract-cn-portfolio;LossProvisionConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\test\java\org\apache\fineract\cn\individuallending\api\v1\domain\product\LossProvisionConfigurationTest.java;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\main\java\org\apache\fineract\cn\individuallending\api\v1\domain\product\LossProvisionConfiguration.java;65;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-fineract-cn-portfolio;LossProvisionStepTest;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\test\java\org\apache\fineract\cn\individuallending\api\v1\domain\product\LossProvisionStepTest.java;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\main\java\org\apache\fineract\cn\individuallending\api\v1\domain\product\LossProvisionStep.java;73;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-fineract-cn-portfolio;AccountAssignmentTest;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\test\java\org\apache\fineract\cn\portfolio\api\v1\domain\AccountAssignmentTest.java;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\main\java\org\apache\fineract\cn\portfolio\api\v1\domain\AccountAssignment.java;64;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-fineract-cn-portfolio;BalanceRangeTest;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\test\java\org\apache\fineract\cn\portfolio\api\v1\domain\BalanceRangeTest.java;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\main\java\org\apache\fineract\cn\portfolio\api\v1\domain\BalanceRange.java;73;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-fineract-cn-portfolio;BalanceSegmentSetTest;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\test\java\org\apache\fineract\cn\portfolio\api\v1\domain\BalanceSegmentSetTest.java;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\main\java\org\apache\fineract\cn\portfolio\api\v1\domain\BalanceSegmentSet.java;78;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-fineract-cn-portfolio;CaseTest;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\test\java\org\apache\fineract\cn\portfolio\api\v1\domain\CaseTest.java;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\main\java\org\apache\fineract\cn\portfolio\api\v1\domain\Case.java;78;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-fineract-cn-portfolio;ChargeDefinitionTest;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\test\java\org\apache\fineract\cn\portfolio\api\v1\domain\ChargeDefinitionTest.java;C:\Users\crist\.jnose_projects\test-smells-fineract-cn-portfolio\api\src\main\java\org\apache\fineract\cn\portfolio\api\v1\domain\ChargeDefinition.java;146;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
