App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-fineract;AccountingScenarioIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-fineract\fineract-provider\src\integrationTest\java\org\apache\fineract\integrationtests\AccountingScenarioIntegrationTest.java;;1076;54;8;0;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;3;0;0;0
test-smells-fineract;AccountNumberPreferencesTest;C:\Users\crist\.jnose_projects\test-smells-fineract\fineract-provider\src\integrationTest\java\org\apache\fineract\integrationtests\AccountNumberPreferencesTest.java;;487;58;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-fineract;AccountTransferTest;C:\Users\crist\.jnose_projects\test-smells-fineract\fineract-provider\src\integrationTest\java\org\apache\fineract\integrationtests\AccountTransferTest.java;;492;31;24;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0
test-smells-fineract;BatchApiTest;C:\Users\crist\.jnose_projects\test-smells-fineract\fineract-provider\src\integrationTest\java\org\apache\fineract\integrationtests\BatchApiTest.java;;473;14;0;0;0;0;0;0;0;1;2;0;0;0;0;6;0;0;0;0;0;0;0
test-smells-fineract;BatchRequestsIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-fineract\fineract-provider\src\integrationTest\java\org\apache\fineract\integrationtests\BatchRequestsIntegrationTest.java;;140;5;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-fineract;ClientEntityImportHandlerTest;C:\Users\crist\.jnose_projects\test-smells-fineract\fineract-provider\src\integrationTest\java\org\apache\fineract\integrationtests\bulkimport\importhandler\client\ClientEntityImportHandlerTest.java;C:\Users\crist\.jnose_projects\test-smells-fineract\fineract-provider\src\main\java\org\apache\fineract\infrastructure\bulkimport\importhandler\client\ClientEntityImportHandler.java;144;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-fineract;LoanImportHandlerTest;C:\Users\crist\.jnose_projects\test-smells-fineract\fineract-provider\src\integrationTest\java\org\apache\fineract\integrationtests\bulkimport\importhandler\loan\LoanImportHandlerTest.java;C:\Users\crist\.jnose_projects\test-smells-fineract\fineract-provider\src\main\java\org\apache\fineract\infrastructure\bulkimport\importhandler\loan\LoanImportHandler.java;176;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-fineract;OfficeImportHandlerTest;C:\Users\crist\.jnose_projects\test-smells-fineract\fineract-provider\src\integrationTest\java\org\apache\fineract\integrationtests\bulkimport\importhandler\office\OfficeImportHandlerTest.java;C:\Users\crist\.jnose_projects\test-smells-fineract\fineract-provider\src\main\java\org\apache\fineract\infrastructure\bulkimport\importhandler\office\OfficeImportHandler.java;104;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-fineract;SavingsImportHandlerTest;C:\Users\crist\.jnose_projects\test-smells-fineract\fineract-provider\src\integrationTest\java\org\apache\fineract\integrationtests\bulkimport\importhandler\savings\SavingsImportHandlerTest.java;C:\Users\crist\.jnose_projects\test-smells-fineract\fineract-provider\src\main\java\org\apache\fineract\infrastructure\bulkimport\importhandler\savings\SavingsImportHandler.java;155;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-fineract;ClientEntityWorkbookPopulatorTest;C:\Users\crist\.jnose_projects\test-smells-fineract\fineract-provider\src\integrationTest\java\org\apache\fineract\integrationtests\bulkimport\populator\client\ClientEntityWorkbookPopulatorTest.java;C:\Users\crist\.jnose_projects\test-smells-fineract\fineract-provider\src\main\java\org\apache\fineract\infrastructure\bulkimport\populator\client\ClientEntityWorkbookPopulator.java;83;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-fineract;LoanWorkbookPopulatorTest;C:\Users\crist\.jnose_projects\test-smells-fineract\fineract-provider\src\integrationTest\java\org\apache\fineract\integrationtests\bulkimport\populator\loan\LoanWorkbookPopulatorTest.java;C:\Users\crist\.jnose_projects\test-smells-fineract\fineract-provider\src\main\java\org\apache\fineract\infrastructure\bulkimport\populator\loan\LoanWorkbookPopulator.java;126;4;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0
