App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-logging-flume;TestFlumeAuthenticator;C:\Users\crist\.jnose_projects\test-smells-logging-flume\flume-ng-auth\src\test\java\org\apache\flume\auth\TestFlumeAuthenticator.java;C:\Users\crist\.jnose_projects\test-smells-logging-flume\flume-ng-auth\src\main\java\org\apache\flume\auth\FlumeAuthenticator.java;209;16;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;0;0;2
test-smells-logging-flume;TestAESCTRNoPaddingProvider;C:\Users\crist\.jnose_projects\test-smells-logging-flume\flume-ng-channels\flume-file-channel\src\test\java\org\apache\flume\channel\file\encryption\TestAESCTRNoPaddingProvider.java;C:\Users\crist\.jnose_projects\test-smells-logging-flume\flume-ng-channels\flume-file-channel\src\main\java\org\apache\flume\channel\file\encryption\AESCTRNoPaddingProvider.java;49;6;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
test-smells-logging-flume;TestFileChannelEncryption;C:\Users\crist\.jnose_projects\test-smells-logging-flume\flume-ng-channels\flume-file-channel\src\test\java\org\apache\flume\channel\file\encryption\TestFileChannelEncryption.java;;368;22;9;0;0;0;0;0;0;0;4;0;3;0;0;2;0;1;3;6;0;0;0
test-smells-logging-flume;TestJCEFileKeyProvider;C:\Users\crist\.jnose_projects\test-smells-logging-flume\flume-ng-channels\flume-file-channel\src\test\java\org\apache\flume\channel\file\encryption\TestJCEFileKeyProvider.java;C:\Users\crist\.jnose_projects\test-smells-logging-flume\flume-ng-channels\flume-file-channel\src\main\java\org\apache\flume\channel\file\encryption\JCEFileKeyProvider.java;121;13;0;0;2;0;0;2;0;0;1;0;3;0;0;0;0;1;0;0;0;0;0
test-smells-logging-flume;TestCheckpoint;C:\Users\crist\.jnose_projects\test-smells-logging-flume\flume-ng-channels\flume-file-channel\src\test\java\org\apache\flume\channel\file\TestCheckpoint.java;;70;7;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-logging-flume;TestCheckpointRebuilder;C:\Users\crist\.jnose_projects\test-smells-logging-flume\flume-ng-channels\flume-file-channel\src\test\java\org\apache\flume\channel\file\TestCheckpointRebuilder.java;C:\Users\crist\.jnose_projects\test-smells-logging-flume\flume-ng-channels\flume-file-channel\src\main\java\org\apache\flume\channel\file\CheckpointRebuilder.java;86;4;6;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0
test-smells-logging-flume;TestEventQueueBackingStoreFactory;C:\Users\crist\.jnose_projects\test-smells-logging-flume\flume-ng-channels\flume-file-channel\src\test\java\org\apache\flume\channel\file\TestEventQueueBackingStoreFactory.java;C:\Users\crist\.jnose_projects\test-smells-logging-flume\flume-ng-channels\flume-file-channel\src\main\java\org\apache\flume\channel\file\EventQueueBackingStoreFactory.java;314;23;8;0;4;0;0;0;0;4;0;0;4;0;0;0;0;3;0;7;0;0;1
test-smells-logging-flume;TestEventUtils;C:\Users\crist\.jnose_projects\test-smells-logging-flume\flume-ng-channels\flume-file-channel\src\test\java\org\apache\flume\channel\file\TestEventUtils.java;C:\Users\crist\.jnose_projects\test-smells-logging-flume\flume-ng-channels\flume-file-channel\src\main\java\org\apache\flume\channel\file\EventUtils.java;44;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-logging-flume;TestFileChannel;C:\Users\crist\.jnose_projects\test-smells-logging-flume\flume-ng-channels\flume-file-channel\src\test\java\org\apache\flume\channel\file\TestFileChannel.java;C:\Users\crist\.jnose_projects\test-smells-logging-flume\flume-ng-channels\flume-file-channel\src\main\java\org\apache\flume\channel\file\FileChannel.java;673;24;29;14;1;0;0;2;0;12;9;0;0;0;0;6;0;1;4;4;0;0;3
test-smells-logging-flume;TestFileChannelBase;C:\Users\crist\.jnose_projects\test-smells-logging-flume\flume-ng-channels\flume-file-channel\src\test\java\org\apache\flume\channel\file\TestFileChannelBase.java;;101;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
