App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-accumulo-fluo;ColumnBufferTest;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\test\java\org\apache\fluo\accumulo\iterators\ColumnBufferTest.java;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\main\java\org\apache\fluo\accumulo\iterators\ColumnBuffer.java;36;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-accumulo-fluo;GarbageCollectionIteratorTest;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\test\java\org\apache\fluo\accumulo\iterators\GarbageCollectionIteratorTest.java;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\main\java\org\apache\fluo\accumulo\iterators\GarbageCollectionIterator.java;700;15;38;0;0;0;0;0;0;7;6;0;0;0;0;9;0;0;11;0;0;0;0
test-smells-accumulo-fluo;NotificationIteratorTest;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\test\java\org\apache\fluo\accumulo\iterators\NotificationIteratorTest.java;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\main\java\org\apache\fluo\accumulo\iterators\NotificationIterator.java;322;10;6;0;0;0;0;0;0;1;10;0;0;0;0;4;0;0;3;0;0;0;0
test-smells-accumulo-fluo;OpenReadLockIteratorTest;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\test\java\org\apache\fluo\accumulo\iterators\OpenReadLockIteratorTest.java;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\main\java\org\apache\fluo\accumulo\iterators\OpenReadLockIterator.java;90;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
test-smells-accumulo-fluo;PrewriteIteratorTest;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\test\java\org\apache\fluo\accumulo\iterators\PrewriteIteratorTest.java;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\main\java\org\apache\fluo\accumulo\iterators\PrewriteIterator.java;474;16;32;0;0;0;0;0;0;19;20;0;0;0;0;3;0;0;13;0;0;0;0
test-smells-accumulo-fluo;SnapshotIteratorTest;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\test\java\org\apache\fluo\accumulo\iterators\SnapshotIteratorTest.java;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\main\java\org\apache\fluo\accumulo\iterators\SnapshotIterator.java;325;13;7;0;0;0;0;0;0;7;4;0;0;0;0;4;0;0;3;0;0;0;1
test-smells-accumulo-fluo;TimeSkippingIteratorTest;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\test\java\org\apache\fluo\accumulo\iterators\TimeSkippingIteratorTest.java;;78;1;7;0;0;0;0;0;0;3;2;0;0;0;0;1;0;0;2;0;0;0;0
test-smells-accumulo-fluo;ColumnTypeTest;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\test\java\org\apache\fluo\accumulo\util\ColumnTypeTest.java;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\main\java\org\apache\fluo\accumulo\util\ColumnType.java;96;7;2;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-accumulo-fluo;LongUtilTest;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\test\java\org\apache\fluo\accumulo\util\LongUtilTest.java;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\main\java\org\apache\fluo\accumulo\util\LongUtil.java;38;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-accumulo-fluo;ZookeeperUtilTest;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\test\java\org\apache\fluo\accumulo\util\ZookeeperUtilTest.java;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\accumulo\src\main\java\org\apache\fluo\accumulo\util\ZookeeperUtil.java;37;1;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-accumulo-fluo;MockTransaction;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\api\src\test\java\org\apache\fluo\api\client\AbstractTransactionBaseTest.java;;210;16;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-accumulo-fluo;ScannerStreamTest;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\api\src\test\java\org\apache\fluo\api\client\scanner\ScannerStreamTest.java;;234;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-accumulo-fluo;FluoConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\api\src\test\java\org\apache\fluo\api\config\FluoConfigurationTest.java;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\api\src\main\java\org\apache\fluo\api\config\FluoConfiguration.java;522;29;114;21;4;0;0;0;0;25;5;0;0;0;0;4;0;1;11;8;0;0;34
test-smells-accumulo-fluo;SimpleConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\api\src\test\java\org\apache\fluo\api\config\SimpleConfigurationTest.java;C:\Users\crist\.jnose_projects\test-smells-accumulo-fluo\modules\api\src\main\java\org\apache\fluo\api\config\SimpleConfiguration.java;90;1;11;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
