App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-gora;AccumuloStoreTest;C:\Users\crist\.jnose_projects\test-smells-gora\gora-accumulo\src\test\java\org\apache\gora\accumulo\store\AccumuloStoreTest.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-accumulo\src\main\java\org\apache\gora\accumulo\store\AccumuloStore.java;87;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;AuthenticationTokenTest;C:\Users\crist\.jnose_projects\test-smells-gora\gora-accumulo\src\test\java\org\apache\gora\accumulo\store\AuthenticationTokenTest.java;;90;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-gora;PartitionTest;C:\Users\crist\.jnose_projects\test-smells-gora\gora-accumulo\src\test\java\org\apache\gora\accumulo\store\PartitionTest.java;;96;4;14;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-gora;HexEncoderTest;C:\Users\crist\.jnose_projects\test-smells-gora\gora-accumulo\src\test\java\org\apache\gora\accumulo\util\HexEncoderTest.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-accumulo\src\main\java\org\apache\gora\accumulo\encoders\HexEncoder.java;56;2;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;SignedBinaryEncoderTest;C:\Users\crist\.jnose_projects\test-smells-gora\gora-accumulo\src\test\java\org\apache\gora\accumulo\util\SignedBinaryEncoderTest.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-accumulo\src\main\java\org\apache\gora\accumulo\encoders\SignedBinaryEncoder.java;167;7;3;5;0;0;0;2;0;5;13;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;TestAerospikeStoreCountQuery;C:\Users\crist\.jnose_projects\test-smells-gora\gora-aerospike\src\test\java\org\apache\gora\aerospike\mapreduce\TestAerospikeStoreCountQuery.java;;68;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;TestAerospikeStoreMapReduceSerialization;C:\Users\crist\.jnose_projects\test-smells-gora\gora-aerospike\src\test\java\org\apache\gora\aerospike\mapreduce\TestAerospikeStoreMapReduceSerialization.java;;69;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;TestAerospikeStoreWordCount;C:\Users\crist\.jnose_projects\test-smells-gora\gora-aerospike\src\test\java\org\apache\gora\aerospike\mapreduce\TestAerospikeStoreWordCount.java;;74;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;TestAerospikeStore;C:\Users\crist\.jnose_projects\test-smells-gora\gora-aerospike\src\test\java\org\apache\gora\aerospike\store\TestAerospikeStore.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-aerospike\src\main\java\org\apache\gora\aerospike\store\AerospikeStore.java;167;15;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2
test-smells-gora;TestAvroSerializationWithUDT;C:\Users\crist\.jnose_projects\test-smells-gora\gora-cassandra\src\test\java\org\apache\gora\cassandra\store\TestAvroSerializationWithUDT.java;;98;8;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;TestCassandraStore;C:\Users\crist\.jnose_projects\test-smells-gora\gora-cassandra\src\test\java\org\apache\gora\cassandra\store\TestCassandraStore.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-cassandra\src\main\java\org\apache\gora\cassandra\store\CassandraStore.java;179;15;4;2;0;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-gora;TestCassandraStoreWithCassandraKey;C:\Users\crist\.jnose_projects\test-smells-gora\gora-cassandra\src\test\java\org\apache\gora\cassandra\store\TestCassandraStoreWithCassandraKey.java;;334;13;31;0;0;0;0;0;0;2;7;0;0;0;0;4;0;0;8;0;0;0;0
test-smells-gora;TestCassandraStoreWithNativeSerialization;C:\Users\crist\.jnose_projects\test-smells-gora\gora-cassandra\src\test\java\org\apache\gora\cassandra\store\TestCassandraStoreWithNativeSerialization.java;;311;16;25;0;0;0;0;0;1;5;10;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-gora;TestNativeSerializationWithUDT;C:\Users\crist\.jnose_projects\test-smells-gora\gora-cassandra\src\test\java\org\apache\gora\cassandra\store\TestNativeSerializationWithUDT.java;;89;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;TestAvroStore;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\test\java\org\apache\gora\avro\store\TestAvroStore.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\main\java\org\apache\gora\avro\store\AvroStore.java;152;17;0;1;0;0;0;3;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1
test-smells-gora;TestWebPageDataCreator;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\test\java\org\apache\gora\examples\TestWebPageDataCreator.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\examples\java\org\apache\gora\examples\WebPageDataCreator.java;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;TestFilterList;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\test\java\org\apache\gora\filter\TestFilterList.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\main\java\org\apache\gora\filter\FilterList.java;156;11;1;1;0;0;0;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;2
test-smells-gora;TestMapFieldValueFilter;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\test\java\org\apache\gora\filter\TestMapFieldValueFilter.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\main\java\org\apache\gora\filter\MapFieldValueFilter.java;91;3;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;7
test-smells-gora;TestSingleFieldValueFilter;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\test\java\org\apache\gora\filter\TestSingleFieldValueFilter.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\main\java\org\apache\gora\filter\SingleFieldValueFilter.java;89;3;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6
test-smells-gora;TestGoraInputFormat;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\test\java\org\apache\gora\mapreduce\TestGoraInputFormat.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\main\java\org\apache\gora\mapreduce\GoraInputFormat.java;89;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;TestGoraInputSplit;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\test\java\org\apache\gora\mapreduce\TestGoraInputSplit.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\main\java\org\apache\gora\mapreduce\GoraInputSplit.java;75;4;1;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-gora;TestPersistentSerialization;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\test\java\org\apache\gora\mapreduce\TestPersistentSerialization.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\main\java\org\apache\gora\mapreduce\PersistentSerialization.java;145;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;MemStoreTest;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\test\java\org\apache\gora\memory\store\MemStoreTest.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\main\java\org\apache\gora\memory\store\MemStore.java;207;13;14;4;0;0;0;0;0;6;4;0;0;0;0;1;0;0;2;0;0;0;3
test-smells-gora;TestPersistentBase;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\test\java\org\apache\gora\persistency\impl\TestPersistentBase.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\main\java\org\apache\gora\persistency\impl\PersistentBase.java;172;7;4;1;0;0;0;0;0;2;5;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-gora;TestPartitionQueryImpl;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\test\java\org\apache\gora\query\impl\TestPartitionQueryImpl.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\main\java\org\apache\gora\query\impl\PartitionQueryImpl.java;48;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;TestQueryBase;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\test\java\org\apache\gora\query\impl\TestQueryBase.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\main\java\org\apache\gora\query\impl\QueryBase.java;62;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;TestDataStoreFactory;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\test\java\org\apache\gora\store\TestDataStoreFactory.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\main\java\org\apache\gora\store\DataStoreFactory.java;120;8;8;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
test-smells-gora;TestAvroUtils;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\test\java\org\apache\gora\util\TestAvroUtils.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\main\java\org\apache\gora\util\AvroUtils.java;29;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;StringArrayWrapper;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\test\java\org\apache\gora\util\TestIOUtils.java;;261;6;3;0;0;0;0;5;0;1;15;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-gora;TestWritableUtils;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\test\java\org\apache\gora\util\TestWritableUtils.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-core\src\main\java\org\apache\gora\util\WritableUtils.java;56;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;TestCouchDBStore;C:\Users\crist\.jnose_projects\test-smells-gora\gora-couchdb\src\test\java\org\apache\gora\couchdb\store\TestCouchDBStore.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-couchdb\src\main\java\org\apache\gora\couchdb\store\CouchDBStore.java;145;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;TestDynamoDBNativeStore;C:\Users\crist\.jnose_projects\test-smells-gora\gora-dynamodb\src\test\java\org\apache\gora\dynamodb\TestDynamoDBNativeStore.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-dynamodb\src\main\java\org\apache\gora\dynamodb\store\DynamoDBNativeStore.java;409;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;TestHBaseStoreCountQuery;C:\Users\crist\.jnose_projects\test-smells-gora\gora-hbase\src\test\java\org\apache\gora\hbase\mapreduce\TestHBaseStoreCountQuery.java;;55;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;TestHBaseStoreMapReduceSerialization;C:\Users\crist\.jnose_projects\test-smells-gora\gora-hbase\src\test\java\org\apache\gora\hbase\mapreduce\TestHBaseStoreMapReduceSerialization.java;;56;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;TestHBaseStoreWordCount;C:\Users\crist\.jnose_projects\test-smells-gora\gora-hbase\src\test\java\org\apache\gora\hbase\mapreduce\TestHBaseStoreWordCount.java;;69;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-gora;TestHBaseStore;C:\Users\crist\.jnose_projects\test-smells-gora\gora-hbase\src\test\java\org\apache\gora\hbase\store\TestHBaseStore.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-hbase\src\main\java\org\apache\gora\hbase\store\HBaseStore.java;329;18;5;2;0;0;0;0;0;3;1;0;1;0;0;1;0;0;0;0;0;0;3
test-smells-gora;TestHBaseByteInterface;C:\Users\crist\.jnose_projects\test-smells-gora\gora-hbase\src\test\java\org\apache\gora\hbase\util\TestHBaseByteInterface.java;C:\Users\crist\.jnose_projects\test-smells-gora\gora-hbase\src\main\java\org\apache\gora\hbase\util\HBaseByteInterface.java;125;4;4;1;0;0;0;0;0;1;3;0;0;0;0;2;0;0;0;0;0;0;0
