App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-hadoop-mapreduce;TestCapacityScheduler;C:\Users\crist\.jnose_projects\test-smells-hadoop-mapreduce\src\contrib\capacity-scheduler\src\test\org\apache\hadoop\mapred\TestCapacityScheduler.java;;2736;56;113;0;0;0;0;1;0;46;14;0;5;0;0;26;0;0;23;2;0;0;0
test-smells-hadoop-mapreduce;TestCapacitySchedulerConf;C:\Users\crist\.jnose_projects\test-smells-hadoop-mapreduce\src\contrib\capacity-scheduler\src\test\org\apache\hadoop\mapred\TestCapacitySchedulerConf.java;C:\Users\crist\.jnose_projects\test-smells-hadoop-mapreduce\src\contrib\capacity-scheduler\src\java\org\apache\hadoop\mapred\CapacitySchedulerConf.java;171;14;5;2;0;0;0;0;0;9;0;0;0;0;0;1;0;0;0;2;0;0;1
test-smells-hadoop-mapreduce;TestContainerQueue;C:\Users\crist\.jnose_projects\test-smells-hadoop-mapreduce\src\contrib\capacity-scheduler\src\test\org\apache\hadoop\mapred\TestContainerQueue.java;C:\Users\crist\.jnose_projects\test-smells-hadoop-mapreduce\src\contrib\capacity-scheduler\src\java\org\apache\hadoop\mapred\ContainerQueue.java;597;14;18;1;0;0;0;0;0;22;0;0;4;0;0;5;0;0;0;0;0;0;2
test-smells-hadoop-mapreduce;TestRefreshOfQueues;C:\Users\crist\.jnose_projects\test-smells-hadoop-mapreduce\src\contrib\capacity-scheduler\src\test\org\apache\hadoop\mapred\TestRefreshOfQueues.java;;479;13;4;0;0;0;0;0;0;5;4;0;0;0;0;4;0;0;1;2;0;0;0
test-smells-hadoop-mapreduce;TestDataJoin;C:\Users\crist\.jnose_projects\test-smells-hadoop-mapreduce\src\contrib\data_join\src\test\org\apache\hadoop\contrib\utils\join\TestDataJoin.java;;154;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-hadoop-mapreduce;FakeQueueManager;C:\Users\crist\.jnose_projects\test-smells-hadoop-mapreduce\src\contrib\dynamic-scheduler\src\test\org\apache\hadoop\mapred\BaseSchedulerTest.java;;146;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-hadoop-mapreduce;TestCapBasedLoadManager;C:\Users\crist\.jnose_projects\test-smells-hadoop-mapreduce\src\contrib\fairscheduler\src\test\org\apache\hadoop\mapred\TestCapBasedLoadManager.java;C:\Users\crist\.jnose_projects\test-smells-hadoop-mapreduce\src\contrib\fairscheduler\src\java\org\apache\hadoop\mapred\CapBasedLoadManager.java;150;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-hadoop-mapreduce;TestComputeFairShares;C:\Users\crist\.jnose_projects\test-smells-hadoop-mapreduce\src\contrib\fairscheduler\src\test\org\apache\hadoop\mapred\TestComputeFairShares.java;;184;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-hadoop-mapreduce;FakeTaskTrackerManager;C:\Users\crist\.jnose_projects\test-smells-hadoop-mapreduce\src\contrib\fairscheduler\src\test\org\apache\hadoop\mapred\TestFairScheduler.java;;2831;28;397;0;0;0;0;0;0;406;0;0;1;0;0;31;0;1;86;0;0;0;0
test-smells-hadoop-mapreduce;TestFairSchedulerSystem;C:\Users\crist\.jnose_projects\test-smells-hadoop-mapreduce\src\contrib\fairscheduler\src\test\org\apache\hadoop\mapred\TestFairSchedulerSystem.java;;204;10;0;0;0;0;0;0;0;0;6;0;1;0;0;1;0;0;0;2;0;0;0
test-smells-hadoop-mapreduce;CustomInputFormat;C:\Users\crist\.jnose_projects\test-smells-hadoop-mapreduce\src\contrib\gridmix\src\test\org\apache\hadoop\mapred\gridmix\TestCompressionEmulationUtils.java;;562;1;14;0;0;0;0;1;0;13;7;0;0;0;0;7;0;0;1;2;0;0;0
test-smells-hadoop-mapreduce;TestDistCacheEmulation;C:\Users\crist\.jnose_projects\test-smells-hadoop-mapreduce\src\contrib\gridmix\src\test\org\apache\hadoop\mapred\gridmix\TestDistCacheEmulation.java;;513;18;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
