App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-hama;TestDenseDoubleMatrix;C:\Users\crist\.jnose_projects\test-smells-hama\commons\src\test\java\org\apache\hama\commons\math\TestDenseDoubleMatrix.java;C:\Users\crist\.jnose_projects\test-smells-hama\commons\src\main\java\org\apache\hama\commons\math\DenseDoubleMatrix.java;237;14;0;14;0;0;0;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;10
test-smells-hama;TestDenseDoubleVector;C:\Users\crist\.jnose_projects\test-smells-hama\commons\src\test\java\org\apache\hama\commons\math\TestDenseDoubleVector.java;C:\Users\crist\.jnose_projects\test-smells-hama\commons\src\main\java\org\apache\hama\commons\math\DenseDoubleVector.java;544;45;1;45;0;0;0;1;0;31;21;0;0;0;0;0;0;0;0;0;0;0;9
test-smells-hama;TestSparseDoubleVector;C:\Users\crist\.jnose_projects\test-smells-hama\commons\src\test\java\org\apache\hama\commons\math\TestSparseDoubleVector.java;C:\Users\crist\.jnose_projects\test-smells-hama\commons\src\main\java\org\apache\hama\commons\math\SparseDoubleVector.java;393;15;20;15;0;0;0;0;0;32;11;0;0;0;0;1;0;0;0;0;0;0;7
test-smells-hama;TestAvroMessageManager;C:\Users\crist\.jnose_projects\test-smells-hama\contrib\avro-rpc\src\main\java\org\apache\hama\avro\TestAvroMessageManager.java;;120;7;4;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-hama;TestBSPMessageCompressor;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\test\java\org\apache\hama\bsp\message\compress\TestBSPMessageCompressor.java;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\main\java\org\apache\hama\bsp\message\compress\BSPMessageCompressor.java;73;1;3;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-hama;TestHamaAsyncMessageManager;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\test\java\org\apache\hama\bsp\message\TestHamaAsyncMessageManager.java;;110;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-hama;TestHamaMessageManager;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\test\java\org\apache\hama\bsp\message\TestHamaMessageManager.java;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\main\java\org\apache\hama\bsp\message\HamaMessageManager.java;104;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-hama;ListenerTest;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\test\java\org\apache\hama\bsp\sync\TestSyncServiceFactory.java;;195;6;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0
test-smells-hama;TestBSPMessageBundle;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\test\java\org\apache\hama\bsp\TestBSPMessageBundle.java;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\main\java\org\apache\hama\bsp\BSPMessageBundle.java;90;2;1;2;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;2
test-smells-hama;FaulTestBSP;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\test\java\org\apache\hama\bsp\TestBSPTaskFaults.java;;626;3;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;6;0;0;0
test-smells-hama;TempSyncClient;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\test\java\org\apache\hama\bsp\TestCheckpoint.java;;668;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-hama;TestClusterStatus;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\test\java\org\apache\hama\bsp\TestClusterStatus.java;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\main\java\org\apache\hama\bsp\ClusterStatus.java;86;3;6;1;0;0;0;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-hama;TestFileInputFormat;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\test\java\org\apache\hama\bsp\TestFileInputFormat.java;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\main\java\org\apache\hama\bsp\FileInputFormat.java;56;2;1;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-hama;KeyValueHashPartitionedBSP;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\test\java\org\apache\hama\bsp\TestKeyValueTextInputFormat.java;;190;7;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;2;0;0;0
test-smells-hama;TestLocalRunner;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\test\java\org\apache\hama\bsp\TestLocalRunner.java;;54;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-hama;persistentMsgBSP;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\test\java\org\apache\hama\bsp\TestPersistQueue.java;;98;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-hama;TestTaskAllocation;C:\Users\crist\.jnose_projects\test-smells-hama\core\src\test\java\org\apache\hama\bsp\TestTaskAllocation.java;;103;4;3;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0
