App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-hbase;TestHelloHBase;C:\Users\crist\.jnose_projects\test-smells-hbase\hbase-archetypes\hbase-client-project\src\test\java\org\apache\hbase\archetypes\exemplars\client\TestHelloHBase.java;C:\Users\crist\.jnose_projects\test-smells-hbase\hbase-archetypes\hbase-shaded-client-project\src\main\java\org\apache\hbase\archetypes\exemplars\shaded_client\HelloHBase.java;132;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-hbase;TestHelloHBase;C:\Users\crist\.jnose_projects\test-smells-hbase\hbase-archetypes\hbase-shaded-client-project\src\test\java\org\apache\hbase\archetypes\exemplars\shaded_client\TestHelloHBase.java;C:\Users\crist\.jnose_projects\test-smells-hbase\hbase-archetypes\hbase-shaded-client-project\src\main\java\org\apache\hbase\archetypes\exemplars\shaded_client\HelloHBase.java;132;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-hbase;TestBackupLogCleaner;C:\Users\crist\.jnose_projects\test-smells-hbase\hbase-backup\src\test\java\org\apache\hadoop\hbase\backup\master\TestBackupLogCleaner.java;C:\Users\crist\.jnose_projects\test-smells-hbase\hbase-backup\src\main\java\org\apache\hadoop\hbase\backup\master\BackupLogCleaner.java;168;5;6;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;1;0;0;0
test-smells-hbase;FullTableBackupClientForTest;C:\Users\crist\.jnose_projects\test-smells-hbase\hbase-backup\src\test\java\org\apache\hadoop\hbase\backup\TestBackupBase.java;;509;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-hbase;TestBackupBoundaryTests;C:\Users\crist\.jnose_projects\test-smells-hbase\hbase-backup\src\test\java\org\apache\hadoop\hbase\backup\TestBackupBoundaryTests.java;;103;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-hbase;TestBackupCommandLineTool;C:\Users\crist\.jnose_projects\test-smells-hbase\hbase-backup\src\test\java\org\apache\hadoop\hbase\backup\TestBackupCommandLineTool.java;;446;28;24;0;0;0;0;0;0;41;0;0;0;0;0;2;0;0;13;0;0;0;0
test-smells-hbase;TestBackupDelete;C:\Users\crist\.jnose_projects\test-smells-hbase\hbase-backup\src\test\java\org\apache\hadoop\hbase\backup\TestBackupDelete.java;;163;5;10;0;0;0;0;0;0;7;0;0;0;0;0;1;0;0;2;3;0;0;0
test-smells-hbase;TestBackupDeleteRestore;C:\Users\crist\.jnose_projects\test-smells-hbase\hbase-backup\src\test\java\org\apache\hadoop\hbase\backup\TestBackupDeleteRestore.java;;82;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-hbase;MasterSnapshotObserver;C:\Users\crist\.jnose_projects\test-smells-hbase\hbase-backup\src\test\java\org\apache\hadoop\hbase\backup\TestBackupDeleteWithFailures.java;;197;6;9;0;0;0;0;1;1;3;2;0;0;0;0;1;0;0;1;1;0;0;0
test-smells-hbase;TestBackupDescribe;C:\Users\crist\.jnose_projects\test-smells-hbase\hbase-backup\src\test\java\org\apache\hadoop\hbase\backup\TestBackupDescribe.java;;111;5;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
