App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-hive;TestColumnEncoding;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\columns\TestColumnEncoding.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\columns\ColumnEncoding.java;146;15;21;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
test-smells-hive;TestColumnMapper;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\columns\TestColumnMapper.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\columns\ColumnMapper.java;203;6;39;5;0;0;0;0;0;7;4;0;0;0;0;2;0;0;1;0;0;0;5
test-smells-hive;TestColumnMappingFactory;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\columns\TestColumnMappingFactory.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\columns\ColumnMappingFactory.java;181;13;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2
test-smells-hive;TestHiveAccumuloColumnMapping;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\columns\TestHiveAccumuloColumnMapping.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\columns\HiveAccumuloColumnMapping.java;38;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-hive;TestHiveRowIdColumnMapping;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\columns\TestHiveRowIdColumnMapping.java;;33;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-hive;TestHiveAccumuloTableInputFormat;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\mr\TestHiveAccumuloTableInputFormat.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\mr\HiveAccumuloTableInputFormat.java;776;34;54;10;0;0;0;0;0;10;22;0;6;0;0;10;0;0;6;0;0;0;10
test-smells-hive;TestHiveAccumuloTableOutputFormat;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\mr\TestHiveAccumuloTableOutputFormat.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\mr\HiveAccumuloTableOutputFormat.java;567;16;36;7;0;0;0;0;0;0;0;0;0;0;0;5;0;0;16;0;0;0;5
test-smells-hive;TestHiveAccumuloTypes;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\mr\TestHiveAccumuloTypes.java;;827;3;50;0;0;0;0;0;0;8;2;0;0;0;0;2;0;0;2;0;0;0;0
test-smells-hive;TestDoubleCompare;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\predicate\compare\TestDoubleCompare.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\predicate\compare\DoubleCompare.java;153;11;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0
test-smells-hive;TestIntCompare;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\predicate\compare\TestIntCompare.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\predicate\compare\IntCompare.java;139;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0
test-smells-hive;TestLongComparison;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\predicate\compare\TestLongComparison.java;;153;11;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0
test-smells-hive;TestStringCompare;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\predicate\compare\TestStringCompare.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\predicate\compare\StringCompare.java;139;9;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
test-smells-hive;TestAccumuloPredicateHandler;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\predicate\TestAccumuloPredicateHandler.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\predicate\AccumuloPredicateHandler.java;826;28;73;9;0;0;0;0;0;20;22;0;2;0;0;7;0;0;1;3;0;0;8
test-smells-hive;TestAccumuloRangeGenerator;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\predicate\TestAccumuloRangeGenerator.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\predicate\AccumuloRangeGenerator.java;627;14;23;3;0;0;0;0;0;3;3;0;0;0;0;10;0;0;0;10;0;0;2
test-smells-hive;TestPrimitiveComparisonFilter;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\predicate\TestPrimitiveComparisonFilter.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\predicate\PrimitiveComparisonFilter.java;76;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-hive;TestAccumuloRowSerializer;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\serde\TestAccumuloRowSerializer.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\serde\AccumuloRowSerializer.java;311;5;33;3;0;0;0;0;0;4;3;0;0;0;0;3;0;0;6;0;0;0;2
test-smells-hive;TestAccumuloSerDe;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\serde\TestAccumuloSerDe.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\serde\AccumuloSerDe.java;481;16;49;12;0;0;0;0;0;7;5;0;1;0;0;5;0;0;0;0;0;0;4
test-smells-hive;TestAccumuloSerDeParameters;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\serde\TestAccumuloSerDeParameters.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\serde\AccumuloSerDeParameters.java;101;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-hive;TestDefaultAccumuloRowIdFactory;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\serde\TestDefaultAccumuloRowIdFactory.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\serde\DefaultAccumuloRowIdFactory.java;126;3;8;1;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-hive;TestAccumuloConnectionParameters;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\TestAccumuloConnectionParameters.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\AccumuloConnectionParameters.java;119;6;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3
test-smells-hive;TestAccumuloDefaultIndexScanner;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\TestAccumuloDefaultIndexScanner.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\AccumuloDefaultIndexScanner.java;218;16;0;6;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-hive;TestAccumuloHiveRow;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\TestAccumuloHiveRow.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\AccumuloHiveRow.java;115;4;5;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-hive;TestAccumuloIndexLexicoder;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\TestAccumuloIndexLexicoder.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\AccumuloIndexLexicoder.java;177;12;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;1
test-smells-hive;MockAccumuloIndexScanner;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\TestAccumuloIndexParameters.java;;112;3;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0
test-smells-hive;TestAccumuloStorageHandler;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\TestAccumuloStorageHandler.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\AccumuloStorageHandler.java;543;18;13;10;0;0;0;0;0;2;0;0;2;0;0;10;0;0;0;0;0;0;7
test-smells-hive;TestHiveAccumuloHelper;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\TestHiveAccumuloHelper.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\HiveAccumuloHelper.java;256;9;4;4;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;2;0;0;7
test-smells-hive;TestLazyAccumuloMap;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\TestLazyAccumuloMap.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\LazyAccumuloMap.java;193;5;22;4;0;0;0;0;0;13;0;0;0;0;0;4;0;0;4;0;0;0;4
test-smells-hive;TestLazyAccumuloRow;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\test\org\apache\hadoop\hive\accumulo\TestLazyAccumuloRow.java;C:\Users\crist\.jnose_projects\test-smells-hive\accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\LazyAccumuloRow.java;237;3;29;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;6;0;0;0;3
test-smells-hive;TestHiveCli;C:\Users\crist\.jnose_projects\test-smells-hive\beeline\src\test\org\apache\hive\beeline\cli\TestHiveCli.java;C:\Users\crist\.jnose_projects\test-smells-hive\beeline\src\java\org\apache\hive\beeline\cli\HiveCli.java;306;47;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0
test-smells-hive;TestBeelineSiteParser;C:\Users\crist\.jnose_projects\test-smells-hive\beeline\src\test\org\apache\hive\beeline\hs2connection\TestBeelineSiteParser.java;C:\Users\crist\.jnose_projects\test-smells-hive\beeline\src\java\org\apache\hive\beeline\hs2connection\BeelineSiteParser.java;41;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
