App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-incubator-ambari;ExecutionCommandWrapperTest;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\test\java\org\apache\ambari\server\actionmanager\ExecutionCommandWrapperTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\main\java\org\apache\ambari\server\actionmanager\ExecutionCommandWrapper.java;268;40;14;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-incubator-ambari;HostRoleStatusTest;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\test\java\org\apache\ambari\server\actionmanager\HostRoleStatusTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\main\java\org\apache\ambari\server\actionmanager\HostRoleStatus.java;31;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-ambari;TestActionDBAccessorImpl;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\test\java\org\apache\ambari\server\actionmanager\TestActionDBAccessorImpl.java;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\main\java\org\apache\ambari\server\actionmanager\ActionDBAccessorImpl.java;358;26;16;6;0;0;0;0;0;6;4;0;3;0;0;3;0;0;2;0;0;0;5
test-smells-incubator-ambari;TestActionManager;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\test\java\org\apache\ambari\server\actionmanager\TestActionManager.java;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\main\java\org\apache\ambari\server\actionmanager\ActionManager.java;212;14;8;3;0;0;0;0;0;2;0;0;1;0;0;2;0;0;0;0;0;0;3
test-smells-incubator-ambari;TestActionScheduler;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\test\java\org\apache\ambari\server\actionmanager\TestActionScheduler.java;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\main\java\org\apache\ambari\server\actionmanager\ActionScheduler.java;622;16;20;8;0;0;0;0;0;6;10;0;0;0;0;7;0;0;5;0;0;0;6
test-smells-incubator-ambari;TestCustomActionDBAccessorImpl;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\test\java\org\apache\ambari\server\actionmanager\TestCustomActionDBAccessorImpl.java;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\main\java\org\apache\ambari\server\actionmanager\CustomActionDBAccessorImpl.java;124;8;5;1;0;0;0;0;0;2;0;0;1;0;0;1;0;0;1;3;0;0;0
test-smells-incubator-ambari;TestStage;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\test\java\org\apache\ambari\server\actionmanager\TestStage.java;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\main\java\org\apache\ambari\server\actionmanager\Stage.java;50;3;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-ambari;AgentHostInfoTest;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\test\java\org\apache\ambari\server\agent\AgentHostInfoTest.java;;81;1;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-incubator-ambari;AgentResourceTest;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\test\java\org\apache\ambari\server\agent\AgentResourceTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\main\java\org\apache\ambari\server\agent\rest\AgentResource.java;282;18;29;0;0;0;0;0;0;2;0;0;2;0;0;1;0;0;0;0;0;0;0
test-smells-incubator-ambari;ActionQueueOperation;C:\Users\crist\.jnose_projects\test-smells-incubator-ambari\ambari-server\src\test\java\org\apache\ambari\server\agent\TestActionQueue.java;;214;13;2;0;0;0;0;0;0;2;12;0;0;0;0;1;0;0;0;0;0;0;0
