App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-incubator-atlas;HiveLiteralRewriterTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\addons\hive-bridge\src\test\java\org\apache\atlas\hive\bridge\HiveLiteralRewriterTest.java;;68;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-atlas;HiveMetaStoreBridgeTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\addons\hive-bridge\src\test\java\org\apache\atlas\hive\bridge\HiveMetaStoreBridgeTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\addons\hive-bridge\src\main\java\org\apache\atlas\hive\bridge\HiveMetaStoreBridge.java;259;18;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;8
test-smells-incubator-atlas;AtlasAuthorizationUtilsTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\authorization\src\test\java\org\apache\atlas\authorize\simple\AtlasAuthorizationUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\authorization\src\main\java\org\apache\atlas\authorize\simple\AtlasAuthorizationUtils.java;118;2;30;0;0;0;0;0;0;12;0;0;0;0;0;1;0;0;5;0;0;0;0
test-smells-incubator-atlas;PolicyParserTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\authorization\src\test\java\org\apache\atlas\authorize\simple\PolicyParserTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\authorization\src\main\java\org\apache\atlas\authorize\simple\PolicyParser.java;172;3;9;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;1
test-smells-incubator-atlas;PolicyUtilTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\authorization\src\test\java\org\apache\atlas\authorize\simple\PolicyUtilTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\authorization\src\main\java\org\apache\atlas\authorize\simple\PolicyUtil.java;100;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
test-smells-incubator-atlas;SimpleAtlasAuthorizerTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\authorization\src\test\java\org\apache\atlas\authorize\simple\SimpleAtlasAuthorizerTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\authorization\src\main\java\org\apache\atlas\authorize\simple\SimpleAtlasAuthorizer.java;208;5;0;4;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;4;0;0;2
test-smells-incubator-atlas;CollectionRequestTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\CollectionRequestTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\CollectionRequest.java;74;3;10;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-incubator-atlas;DefaultDateFormatterTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\DefaultDateFormatterTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\DefaultDateFormatter.java;41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-atlas;DefaultPropertyMapperTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\DefaultPropertyMapperTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\DefaultPropertyMapper.java;177;5;14;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4
test-smells-incubator-atlas;EntityResourceDefinitionTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\definition\EntityResourceDefinitionTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\definition\EntityResourceDefinition.java;140;9;9;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-incubator-atlas;EntityTagResourceDefinitionTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\definition\EntityTagResourceDefinitionTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\definition\EntityTagResourceDefinition.java;177;11;9;3;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-incubator-atlas;TaxonomyResourceDefinitionTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\definition\TaxonomyResourceDefinitionTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\definition\TaxonomyResourceDefinition.java;174;11;10;6;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-incubator-atlas;TermResourceDefinitionTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\definition\TermResourceDefinitionTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\definition\TermResourceDefinition.java;210;13;15;8;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-incubator-atlas;EntityResourceProviderTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\EntityResourceProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\EntityResourceProvider.java;215;6;12;6;0;0;0;0;0;8;0;0;0;0;0;2;0;0;0;0;0;0;4
test-smells-incubator-atlas;EntityTagResourceProviderTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\EntityTagResourceProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\EntityTagResourceProvider.java;463;11;30;10;0;0;0;0;0;12;0;0;0;0;0;6;0;0;0;0;0;0;10
test-smells-incubator-atlas;InstanceRequestTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\InstanceRequestTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\InstanceRequest.java;67;2;7;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-incubator-atlas;JsonSerializerTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\JsonSerializerTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\JsonSerializer.java;120;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-incubator-atlas;TagRelationTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\projection\TagRelationTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\projection\TagRelation.java;55;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-atlas;AlwaysQueryExpressionTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\query\AlwaysQueryExpressionTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\query\AlwaysQueryExpression.java;74;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-incubator-atlas;AtlasEntityQueryTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\query\AtlasEntityQueryTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\query\AtlasEntityQuery.java;277;4;7;0;0;0;0;0;0;4;0;0;0;0;0;3;0;0;0;1;0;0;2
test-smells-incubator-atlas;QueryFactoryTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\query\QueryFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\query\QueryFactory.java;209;10;38;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-incubator-atlas;ResourceComparatorTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\ResourceComparatorTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\ResourceComparator.java;61;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-atlas;TaxonomyResourceProviderTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\TaxonomyResourceProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\TaxonomyResourceProvider.java;591;16;42;13;0;0;0;0;0;20;0;0;0;0;0;7;0;0;0;0;0;0;12
test-smells-incubator-atlas;TermResourceProviderTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\TermResourceProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\TermResourceProvider.java;558;11;29;10;0;0;0;0;0;14;0;0;0;0;0;7;0;0;0;0;0;0;10
test-smells-incubator-atlas;VertexWrapperTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\test\java\org\apache\atlas\catalog\VertexWrapperTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\catalog\src\main\java\org\apache\atlas\catalog\VertexWrapper.java;332;10;17;10;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;5
test-smells-incubator-atlas;AtlasClientTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\client\src\test\java\org\apache\atlas\AtlasClientTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\client\src\main\java\org\apache\atlas\AtlasClient.java;474;25;1;15;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;3
test-smells-incubator-atlas;ApplicationPropertiesTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\common\src\test\java\org\apache\atlas\ApplicationPropertiesTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\common\src\main\java\org\apache\atlas\ApplicationProperties.java;129;1;4;1;0;0;0;0;0;0;8;0;0;0;0;1;0;0;2;7;0;0;0
test-smells-incubator-atlas;HAConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\common\src\test\java\org\apache\atlas\ha\HAConfigurationTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\common\src\main\java\org\apache\atlas\ha\HAConfiguration.java;115;9;4;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-incubator-atlas;InMemoryJAASConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\common\src\test\java\org\apache\atlas\security\InMemoryJAASConfigurationTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\common\src\main\java\org\apache\atlas\security\InMemoryJAASConfiguration.java;89;6;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;1
test-smells-incubator-atlas;InMemoryJAASConfigurationTicketBasedKafkaClientTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\common\src\test\java\org\apache\atlas\security\InMemoryJAASConfigurationTicketBasedKafkaClientTest.java;;60;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-atlas;LruCacheTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\common\src\test\java\org\apache\atlas\utils\LruCacheTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\common\src\main\java\org\apache\atlas\utils\LruCache.java;233;9;32;0;0;0;0;0;0;6;1;0;0;0;0;1;0;0;3;0;0;0;0
test-smells-incubator-atlas;HBaseKeyColumnValueStoreTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\graphdb\titan0\src\test\java\com\thinkaurelius\titan\diskstorage\hbase\HBaseKeyColumnValueStoreTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\graphdb\titan0\src\main\java\com\thinkaurelius\titan\diskstorage\hbase\HBaseKeyColumnValueStore.java;139;12;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-incubator-atlas;LocalLockMediatorTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\graphdb\titan0\src\test\java\com\thinkaurelius\titan\diskstorage\locking\LocalLockMediatorTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\graphdb\titan0\src\main\java\com\thinkaurelius\titan\diskstorage\locking\LocalLockMediator.java;60;7;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-incubator-atlas;GraphQueryTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\graphdb\titan0\src\test\java\org\apache\atlas\repository\graphdb\titan0\GraphQueryTest.java;;451;14;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;8;0;0;0;0
test-smells-incubator-atlas;Titan0DatabaseTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\graphdb\titan0\src\test\java\org\apache\atlas\repository\graphdb\titan0\Titan0DatabaseTest.java;;413;19;29;0;0;0;0;2;0;1;2;0;0;0;0;3;0;0;3;0;0;0;0
test-smells-incubator-atlas;Titan0DatabaseValidationTest;C:\Users\crist\.jnose_projects\test-smells-incubator-atlas\graphdb\titan0\src\test\java\org\apache\atlas\repository\graphdb\titan0\Titan0DatabaseValidationTest.java;;80;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
