App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-incubator-batchee;BeanIOReaderTest;C:\Users\crist\.jnose_projects\test-smells-incubator-batchee\extensions\beanio\src\test\java\org\apache\batchee\beanio\BeanIOReaderTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-batchee\extensions\beanio\src\main\java\org\apache\batchee\beanio\BeanIOReader.java;63;2;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-batchee;BeanIOWriterTest;C:\Users\crist\.jnose_projects\test-smells-incubator-batchee\extensions\beanio\src\test\java\org\apache\batchee\beanio\BeanIOWriterTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-batchee\extensions\beanio\src\main\java\org\apache\batchee\beanio\BeanIOWriter.java;74;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-batchee;CamelChainProcessorTest;C:\Users\crist\.jnose_projects\test-smells-incubator-batchee\extensions\camel\src\test\java\org\apache\batchee\camel\CamelChainProcessorTest.java;;93;3;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-batchee;CamelProcessorTest;C:\Users\crist\.jnose_projects\test-smells-incubator-batchee\extensions\camel\src\test\java\org\apache\batchee\camel\CamelProcessorTest.java;;111;3;3;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-batchee;CamelReaderTest;C:\Users\crist\.jnose_projects\test-smells-incubator-batchee\extensions\camel\src\test\java\org\apache\batchee\camel\CamelReaderTest.java;;64;2;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-batchee;CamelWriterTest;C:\Users\crist\.jnose_projects\test-smells-incubator-batchee\extensions\camel\src\test\java\org\apache\batchee\camel\CamelWriterTest.java;;93;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-batchee;JBatchComponentTest;C:\Users\crist\.jnose_projects\test-smells-incubator-batchee\extensions\camel\src\test\java\org\apache\batchee\camel\component\JBatchComponentTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-batchee\extensions\camel\src\main\java\org\apache\batchee\camel\component\JBatchComponent.java;101;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-batchee;BatchScopesTest;C:\Users\crist\.jnose_projects\test-smells-incubator-batchee\extensions\cdi\src\test\java\org\apache\batchee\cdi\BatchScopesTest.java;;94;4;9;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-incubator-batchee;CommonsCsvReaderTest;C:\Users\crist\.jnose_projects\test-smells-incubator-batchee\extensions\commons-csv\src\test\java\org\apache\batchee\csv\CommonsCsvReaderTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-batchee\extensions\commons-csv\src\main\java\org\apache\batchee\csv\CommonsCsvReader.java;63;2;2;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-batchee;CommonsCsvReaderWithDefaultMapperTest;C:\Users\crist\.jnose_projects\test-smells-incubator-batchee\extensions\commons-csv\src\test\java\org\apache\batchee\csv\CommonsCsvReaderWithDefaultMapperTest.java;;105;6;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-batchee;CommonsCsvReaderWithMapperTest;C:\Users\crist\.jnose_projects\test-smells-incubator-batchee\extensions\commons-csv\src\test\java\org\apache\batchee\csv\CommonsCsvReaderWithMapperTest.java;;80;4;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-batchee;CommonsCsvWriterMappingHeadersTest;C:\Users\crist\.jnose_projects\test-smells-incubator-batchee\extensions\commons-csv\src\test\java\org\apache\batchee\csv\CommonsCsvWriterMappingHeadersTest.java;;88;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
