App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-incubator-brooklyn;RebindWebClusterDatabaseExampleAppIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-incubator-brooklyn\brooklyn-library\examples\simple-web-cluster\src\test\java\org\apache\brooklyn\demo\RebindWebClusterDatabaseExampleAppIntegrationTest.java;;204;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-brooklyn;SoftlayerObtainPrivateLiveTest;C:\Users\crist\.jnose_projects\test-smells-incubator-brooklyn\brooklyn-library\qa\src\test\java\org\apache\brooklyn\qa\brooklynnode\SoftlayerObtainPrivateLiveTest.java;;225;25;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0
test-smells-incubator-brooklyn;EnrichersSlightlySimplerYamlTest;C:\Users\crist\.jnose_projects\test-smells-incubator-brooklyn\brooklyn-library\qa\src\test\java\org\apache\brooklyn\qa\camp\EnrichersSlightlySimplerYamlTest.java;;134;4;0;0;0;0;0;0;0;5;1;0;0;0;0;2;0;0;1;0;0;0;0
test-smells-incubator-brooklyn;EntitiesYamlIntegrationTest;C:\Users\crist\.jnose_projects\test-smells-incubator-brooklyn\brooklyn-library\qa\src\test\java\org\apache\brooklyn\qa\camp\EntitiesYamlIntegrationTest.java;;71;3;6;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-brooklyn;DownstreamParentTest;C:\Users\crist\.jnose_projects\test-smells-incubator-brooklyn\brooklyn-library\qa\src\test\java\org\apache\brooklyn\qa\downstreamparent\DownstreamParentTest.java;;64;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
test-smells-incubator-brooklyn;LoadTest;C:\Users\crist\.jnose_projects\test-smells-incubator-brooklyn\brooklyn-library\qa\src\test\java\org\apache\brooklyn\qa\load\LoadTest.java;;241;14;0;0;0;0;0;0;0;0;5;0;6;0;0;1;0;0;0;0;0;0;0
test-smells-incubator-brooklyn;MonitorUtilsTest;C:\Users\crist\.jnose_projects\test-smells-incubator-brooklyn\brooklyn-library\qa\src\test\java\org\apache\brooklyn\qa\longevity\MonitorUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-brooklyn\brooklyn-library\qa\src\main\java\org\apache\brooklyn\qa\longevity\MonitorUtils.java;164;12;7;4;1;0;0;0;0;6;0;0;0;0;0;0;0;1;0;2;0;0;3
test-smells-incubator-brooklyn;PlaceholderTest;C:\Users\crist\.jnose_projects\test-smells-incubator-brooklyn\brooklyn-library\sandbox\database\src\test\java\org\apache\brooklyn\entity\database\PlaceholderTest.java;;26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-brooklyn;PostgreSqlSaltLiveTest;C:\Users\crist\.jnose_projects\test-smells-incubator-brooklyn\brooklyn-library\sandbox\extra\src\test\java\org\apache\brooklyn\entity\database\postgresql\PostgreSqlSaltLiveTest.java;;112;5;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-incubator-brooklyn;SaltConfigsTest;C:\Users\crist\.jnose_projects\test-smells-incubator-brooklyn\brooklyn-library\sandbox\extra\src\test\java\org\apache\brooklyn\entity\salt\SaltConfigsTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-brooklyn\brooklyn-library\sandbox\extra\src\main\java\org\apache\brooklyn\entity\salt\SaltConfigs.java;70;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
