App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-incubator-hivemall;ChangeFinder1DTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\anomaly\ChangeFinder1DTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\anomaly\ChangeFinder1D.java;129;6;0;2;0;0;0;0;0;8;6;0;0;0;0;1;0;0;0;0;0;0;2
test-smells-incubator-hivemall;ChangeFinder2DTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\anomaly\ChangeFinder2DTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\anomaly\ChangeFinder2D.java;272;8;0;4;0;0;0;0;0;8;12;0;0;0;0;4;0;0;0;0;0;0;2
test-smells-incubator-hivemall;SingularSpectrumTransformTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\anomaly\SingularSpectrumTransformTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\anomaly\SingularSpectrumTransform.java;147;10;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-hivemall;GeneralClassifierUDTFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\classifier\GeneralClassifierUDTFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\classifier\GeneralClassifierUDTF.java;948;37;1;0;0;0;0;10;0;16;26;0;0;0;0;17;0;0;0;0;0;0;6
test-smells-incubator-hivemall;KernelExpansionPassiveAggressiveUDTFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\classifier\KernelExpansionPassiveAggressiveUDTFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\classifier\KernelExpansionPassiveAggressiveUDTF.java;173;4;3;2;0;0;0;0;0;2;11;0;0;0;0;1;0;0;1;0;0;0;2
test-smells-incubator-hivemall;PassiveAggressiveUDTFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\classifier\PassiveAggressiveUDTFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\classifier\PassiveAggressiveUDTF.java;258;11;2;7;0;0;0;0;0;23;0;0;0;0;0;0;0;0;2;0;0;0;3
test-smells-incubator-hivemall;PerceptronUDTFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\classifier\PerceptronUDTFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\classifier\PerceptronUDTF.java;142;4;2;2;0;0;0;0;0;10;0;0;0;0;0;1;0;0;2;0;0;0;2
test-smells-incubator-hivemall;RandomizedAmplifierTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\common\RandomizedAmplifierTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\common\RandomizedAmplifier.java;71;2;2;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-hivemall;AUCUDAFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\evaluation\AUCUDAFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\evaluation\AUCUDAF.java;338;15;0;9;0;0;0;0;0;8;13;0;2;0;0;2;0;0;1;0;0;0;5
test-smells-incubator-hivemall;BinaryResponsesMeasuresTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\evaluation\BinaryResponsesMeasuresTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\evaluation\BinaryResponsesMeasures.java;218;12;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;6;0;0;0;4
test-smells-incubator-hivemall;FMeasureUDAFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\evaluation\FMeasureUDAFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\evaluation\FMeasureUDAF.java;407;24;0;17;0;0;0;0;0;11;7;0;1;0;0;0;0;0;0;0;0;0;3
test-smells-incubator-hivemall;GradedResponsesMeasuresTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\evaluation\GradedResponsesMeasuresTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\evaluation\GradedResponsesMeasures.java;42;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-hivemall;ArrayModelTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\fm\ArrayModelTest.java;;193;5;0;0;0;0;0;0;0;2;25;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-incubator-hivemall;FactorizationMachineUDTFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\fm\FactorizationMachineUDTFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\fm\FactorizationMachineUDTF.java;273;9;0;4;0;0;0;0;0;2;9;0;0;0;0;3;0;0;0;0;0;0;5
test-smells-incubator-hivemall;FeatureTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\fm\FeatureTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\fm\Feature.java;149;10;25;6;0;0;0;0;0;46;0;0;0;0;0;1;0;0;5;0;0;0;6
test-smells-incubator-hivemall;FieldAwareFactorizationMachineUDTFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\fm\FieldAwareFactorizationMachineUDTFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\fm\FieldAwareFactorizationMachineUDTF.java;307;14;0;1;0;0;0;0;0;2;6;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-incubator-hivemall;IntFeatureMapModelTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\fm\IntFeatureMapModelTest.java;;193;5;0;0;0;0;0;0;0;2;25;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-incubator-hivemall;StringFeatureMapModelTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\fm\StringFeatureMapModelTest.java;;193;5;0;0;0;0;0;0;0;2;25;0;0;0;0;2;0;0;0;0;0;0;0
test-smells-incubator-hivemall;ExtractWeightUDFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\ftvec\ExtractWeightUDFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\ftvec\ExtractWeightUDF.java;40;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-incubator-hivemall;FeatureUDFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\ftvec\FeatureUDFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\ftvec\FeatureUDF.java;241;19;0;15;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
test-smells-incubator-hivemall;FeatureHashingUDFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\ftvec\hashing\FeatureHashingUDFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\ftvec\hashing\FeatureHashingUDF.java;65;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-incubator-hivemall;MurmurHash3UDFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\ftvec\hashing\MurmurHash3UDFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\ftvec\hashing\MurmurHash3UDF.java;79;4;4;4;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-incubator-hivemall;Sha1UDFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\ftvec\hashing\Sha1UDFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\ftvec\hashing\Sha1UDF.java;72;4;4;4;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-incubator-hivemall;PolynomialFeaturesUDFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\ftvec\pairing\PolynomialFeaturesUDFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\ftvec\pairing\PolynomialFeaturesUDF.java;89;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1
test-smells-incubator-hivemall;PoweredFeaturesUDFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\ftvec\pairing\PoweredFeaturesUDFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\ftvec\pairing\PoweredFeaturesUDF.java;55;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
test-smells-incubator-hivemall;L1NormalizationUDFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\ftvec\scaling\L1NormalizationUDFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\ftvec\scaling\L1NormalizationUDF.java;75;1;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-incubator-hivemall;L2NormalizationUDFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\ftvec\scaling\L2NormalizationUDFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\ftvec\scaling\L2NormalizationUDF.java;75;1;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-incubator-hivemall;RescaleUDFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\ftvec\scaling\RescaleUDFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\ftvec\scaling\RescaleUDF.java;108;15;6;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-incubator-hivemall;ChiSquareUDFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\ftvec\selection\ChiSquareUDFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\ftvec\selection\ChiSquareUDF.java;86;1;0;1;0;0;0;0;0;2;3;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-incubator-hivemall;SignalNoiseRatioUDAFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\ftvec\selection\SignalNoiseRatioUDAFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\ftvec\selection\SignalNoiseRatioUDAF.java;373;8;0;8;0;0;0;0;0;4;21;0;0;0;0;8;0;0;0;0;0;0;6
test-smells-incubator-hivemall;OkapiBM25UDFTest;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\test\java\hivemall\ftvec\text\OkapiBM25UDFTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-hivemall\core\src\main\java\hivemall\ftvec\text\OkapiBM25UDF.java;193;19;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
