App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-incubator-myriad;MyriadFileSystemRMStateStoreTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\hadoop\yarn\server\resourcemanager\recovery\MyriadFileSystemRMStateStoreTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\hadoop\yarn\server\resourcemanager\recovery\MyriadFileSystemRMStateStore.java;81;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-incubator-myriad;ArtifactsResourceTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\api\ArtifactsResourceTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\api\ArtifactsResource.java;68;7;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1;0;0;0;0;0
test-smells-incubator-myriad;SchedulerStateResourceTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\api\SchedulerStateResourceTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\api\SchedulerStateResource.java;78;5;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-myriad;BaseConfigurableTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\BaseConfigurableTest.java;;100;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-myriad;MyriadBadConfigurationExceptionTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\configuration\MyriadBadConfigurationExceptionTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\configuration\MyriadBadConfigurationException.java;47;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-myriad;MyriadConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\configuration\MyriadConfigurationTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\configuration\MyriadConfiguration.java;128;7;13;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-myriad;HealthCheckUtilsTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\health\HealthCheckUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\health\HealthCheckUtils.java;44;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-incubator-myriad;HealthCheckTestTuple;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\health\MesosDriverHealthCheckTest.java;;86;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-myriad;MultiBindingsTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\MultiBindingsTest.java;;64;4;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-myriad;LikeConstraintTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\scheduler\constraints\LikeConstraintTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\scheduler\constraints\LikeConstraint.java;86;8;5;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-myriad;NMHeartBeatHandlerTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\scheduler\fgs\NMHeartBeatHandlerTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\scheduler\fgs\NMHeartBeatHandler.java;240;21;10;2;0;0;0;0;0;16;0;0;13;0;0;0;0;0;0;0;0;0;2
test-smells-incubator-myriad;NodeStoreTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\scheduler\fgs\NodeStoreTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\scheduler\fgs\NodeStore.java;53;4;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-incubator-myriad;NodeTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\scheduler\fgs\NodeTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\scheduler\fgs\Node.java;89;9;5;1;0;0;0;0;0;7;0;0;7;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-myriad;OfferLifeCycleManagerTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\scheduler\fgs\OfferLifeCycleManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\scheduler\fgs\OfferLifecycleManager.java;72;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-incubator-myriad;OfferUtilsTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\scheduler\fgs\OfferUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\scheduler\fgs\OfferUtils.java;94;5;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-myriad;YarnNodeCapacityManagerTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\scheduler\fgs\YarnNodeCapacityManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\scheduler\fgs\YarnNodeCapacityManager.java;116;12;3;0;0;0;0;0;0;6;0;0;9;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-myriad;MyriadDriverTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\scheduler\MyriadDriverTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\scheduler\MyriadDriver.java;60;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-incubator-myriad;MyriadOperationsTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\scheduler\MyriadOperationsTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\scheduler\MyriadOperations.java;136;11;3;3;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;2
test-smells-incubator-myriad;NMProfileManagerTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\scheduler\NMProfileManagerTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\scheduler\NMProfileManager.java;80;5;12;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-myriad;TestResourceOfferContainer;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\scheduler\resource\TestResourceOfferContainer.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\scheduler\resource\ResourceOfferContainer.java;166;7;0;4;0;0;0;0;0;7;0;0;0;0;0;2;0;0;0;0;0;0;5
test-smells-incubator-myriad;SchedulerUtilsTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\scheduler\SchedulerUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\scheduler\SchedulerUtils.java;89;8;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;2
test-smells-incubator-myriad;ServiceResourceProfileTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\scheduler\ServiceResourceProfileTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\scheduler\ServiceResourceProfile.java;49;4;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-myriad;TestNMTaskFactory;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\scheduler\TestNMTaskFactory.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\scheduler\NMTaskFactory.java;72;3;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-myriad;TestServiceCommandLine;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\scheduler\TestServiceCommandLine.java;;123;13;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-incubator-myriad;TestServiceTaskFactory;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\scheduler\TestServiceTaskFactory.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\scheduler\ServiceTaskFactory.java;77;3;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-incubator-myriad;TestTaskUtils;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\scheduler\TestTaskUtils.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\scheduler\TaskUtils.java;130;7;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-incubator-myriad;ClusterTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\state\ClusterTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\state\Cluster.java;82;7;4;3;0;0;0;0;0;5;0;0;3;0;0;0;0;0;0;0;0;0;2
test-smells-incubator-myriad;MyriadStateTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\state\MyriadStateTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\state\MyriadState.java;38;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-myriad;NodeTaskTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\state\NodeTaskTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\state\NodeTask.java;60;5;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-myriad;SchedulerStateTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\state\SchedulerStateTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\state\SchedulerState.java;141;12;11;7;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-incubator-myriad;ByteBufferSupportTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\state\utils\ByteBufferSupportTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\state\utils\ByteBufferSupport.java;202;18;18;5;0;0;0;0;0;10;1;0;1;0;0;0;0;0;0;0;0;0;2
test-smells-incubator-myriad;HttpConnectorProviderTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\webapp\HttpConnectorProviderTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\webapp\HttpConnectorProvider.java;39;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-myriad;MyriadWebServerTest;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\test\java\org\apache\myriad\webapp\MyriadWebServerTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-myriad\myriad-scheduler\src\main\java\org\apache\myriad\webapp\MyriadWebServer.java;46;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
