App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-plc4x;DriverManagerTest;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-calcite\src\test\java\org\apache\plc4x\DriverManagerTest.java;;86;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-plc4x;Plc4XBaseTableTest;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-calcite\src\test\java\org\apache\plc4x\Plc4XBaseTableTest.java;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-calcite\src\main\java\org\apache\plc4x\Plc4xBaseTable.java;48;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-plc4x;Plc4xSchemaFactoryTest;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-calcite\src\test\java\org\apache\plc4x\Plc4xSchemaFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-calcite\src\main\java\org\apache\plc4x\Plc4xSchemaFactory.java;37;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-plc4x;ConstantsTest;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-camel\src\test\java\org\apache\plc4x\camel\ConstantsTest.java;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-camel\src\main\java\org\apache\plc4x\camel\Constants.java;37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
test-smells-plc4x;Plc4XComponentTest;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-camel\src\test\java\org\apache\plc4x\camel\Plc4XComponentTest.java;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-camel\src\main\java\org\apache\plc4x\camel\Plc4XComponent.java;66;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-plc4x;Plc4XConsumerTest;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-camel\src\test\java\org\apache\plc4x\camel\Plc4XConsumerTest.java;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-camel\src\main\java\org\apache\plc4x\camel\Plc4XConsumer.java;53;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-plc4x;Plc4XEndpointTest;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-camel\src\test\java\org\apache\plc4x\camel\Plc4XEndpointTest.java;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-camel\src\main\java\org\apache\plc4x\camel\Plc4XEndpoint.java;56;5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-plc4x;Plc4XPollingConsumerTest;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-camel\src\test\java\org\apache\plc4x\camel\Plc4XPollingConsumerTest.java;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-camel\src\main\java\org\apache\plc4x\camel\Plc4XPollingConsumer.java;65;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-plc4x;Plc4XProducerTest;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-camel\src\test\java\org\apache\plc4x\camel\Plc4XProducerTest.java;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-camel\src\main\java\org\apache\plc4x\camel\Plc4XProducer.java;116;8;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
test-smells-plc4x;PlcConnectionAdapterTest;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-edgent\src\test\java\org\apache\plc4x\edgent\PlcConnectionAdapterTest.java;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-edgent\src\main\java\org\apache\plc4x\edgent\PlcConnectionAdapter.java;552;19;6;10;0;0;0;0;0;1;0;0;0;0;0;3;0;0;1;0;0;0;2
test-smells-plc4x;PlcFunctionsTest;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-edgent\src\test\java\org\apache\plc4x\edgent\PlcFunctionsTest.java;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-edgent\src\main\java\org\apache\plc4x\edgent\PlcFunctions.java;144;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
test-smells-plc4x;Plc4xSinkProcessorTest;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-nifi\nifi-plc4x-processors\src\test\java\org\apache\plc4x\processors\plc4x4nifi\Plc4xSinkProcessorTest.java;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-nifi\nifi-plc4x-processors\src\main\java\org\apache\plc4x\nifi\Plc4xSinkProcessor.java;40;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-plc4x;Plc4xSourceProcessorTest;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-nifi\nifi-plc4x-processors\src\test\java\org\apache\plc4x\processors\plc4x4nifi\Plc4xSourceProcessorTest.java;C:\Users\crist\.jnose_projects\test-smells-plc4x\integrations\apache-nifi\nifi-plc4x-processors\src\main\java\org\apache\plc4x\nifi\Plc4xSourceProcessor.java;42;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-plc4x;PlcUsernamePasswordAuthenticationTest;C:\Users\crist\.jnose_projects\test-smells-plc4x\plc4j\api\src\test\java\org\apache\plc4x\java\api\authentication\PlcUsernamePasswordAuthenticationTest.java;C:\Users\crist\.jnose_projects\test-smells-plc4x\plc4j\api\src\main\java\org\apache\plc4x\java\api\authentication\PlcUsernamePasswordAuthentication.java;59;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
