App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-incubator-samoa;DoubleVectorTest;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-api\src\test\java\org\apache\samoa\core\DoubleVectorTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-api\src\main\java\org\apache\samoa\moa\core\DoubleVector.java;98;9;8;3;0;0;0;0;0;11;0;0;2;0;0;0;0;0;0;0;0;0;2
test-smells-incubator-samoa;HDFSFileStreamSourceTest;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-api\src\test\java\org\apache\samoa\streams\fs\HDFSFileStreamSourceTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-api\src\main\java\org\apache\samoa\streams\fs\HDFSFileStreamSource.java;303;18;0;7;0;0;0;0;0;4;9;0;2;0;0;2;0;0;1;4;0;0;4
test-smells-incubator-samoa;LocalFileStreamSourceTest;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-api\src\test\java\org\apache\samoa\streams\fs\LocalFileStreamSourceTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-api\src\main\java\org\apache\samoa\streams\fs\LocalFileStreamSource.java;277;14;0;7;4;0;0;0;0;4;9;0;0;0;0;2;0;4;1;4;0;0;4
test-smells-incubator-samoa;KafkaDestinationProcessorTest;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-api\src\test\java\org\apache\samoa\streams\kafka\KafkaDestinationProcessorTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-api\src\main\java\org\apache\samoa\streams\kafka\KafkaDestinationProcessor.java;175;16;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-incubator-samoa;KafkaEntranceProcessorTest;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-api\src\test\java\org\apache\samoa\streams\kafka\KafkaEntranceProcessorTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-api\src\main\java\org\apache\samoa\streams\kafka\KafkaEntranceProcessor.java;185;16;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-incubator-samoa;KafkaUtilsTest;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-api\src\test\java\org\apache\samoa\streams\kafka\KafkaUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-api\src\main\java\org\apache\samoa\streams\kafka\KafkaUtils.java;247;21;2;3;0;0;0;0;1;0;3;0;0;0;0;1;0;0;0;0;0;0;3
test-smells-incubator-samoa;ArffLoaderTest;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-instances\src\test\java\org\apache\samoa\instances\ArffLoaderTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-instances\src\main\java\org\apache\samoa\instances\ArffLoader.java;111;5;23;0;0;0;0;0;0;24;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-samoa;AlgosTest;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-local\src\test\java\org\apache\samoa\AlgosTest.java;;104;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-samoa;SimpleComponentFactoryTest;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-local\src\test\java\org\apache\samoa\topology\impl\SimpleComponentFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-local\src\main\java\org\apache\samoa\topology\impl\SimpleComponentFactory.java;103;11;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-incubator-samoa;SimpleEngineTest;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-local\src\test\java\org\apache\samoa\topology\impl\SimpleEngineTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-samoa\samoa-local\src\main\java\org\apache\samoa\topology\impl\SimpleEngine.java;62;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
