App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-skywalking;AtomicRangeIntegerTest;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-datacarrier\src\test\java\org\apache\skywalking\apm\commons\datacarrier\common\AtomicRangeIntegerTest.java;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-datacarrier\src\main\java\org\apache\skywalking\apm\commons\datacarrier\common\AtomicRangeInteger.java;42;1;6;1;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-skywalking;BulkConsumePoolTest;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-datacarrier\src\test\java\org\apache\skywalking\apm\commons\datacarrier\consumer\BulkConsumePoolTest.java;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-datacarrier\src\main\java\org\apache\skywalking\apm\commons\datacarrier\consumer\BulkConsumePool.java;91;1;1;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-skywalking;ConsumeDriverTest;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-datacarrier\src\test\java\org\apache\skywalking\apm\commons\datacarrier\consumer\ConsumeDriverTest.java;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-datacarrier\src\main\java\org\apache\skywalking\apm\commons\datacarrier\consumer\ConsumeDriver.java;60;2;4;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-skywalking;ConsumerTest;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-datacarrier\src\test\java\org\apache\skywalking\apm\commons\datacarrier\consumer\ConsumerTest.java;;137;7;5;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-skywalking;DataCarrierTest;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-datacarrier\src\test\java\org\apache\skywalking\apm\commons\datacarrier\DataCarrierTest.java;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-datacarrier\src\main\java\org\apache\skywalking\apm\commons\datacarrier\DataCarrier.java;167;5;16;3;0;0;0;0;0;9;4;0;0;0;0;1;0;0;0;0;0;0;2
test-smells-skywalking;ProducerThreadPartitionerTest;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-datacarrier\src\test\java\org\apache\skywalking\apm\commons\datacarrier\partition\ProducerThreadPartitionerTest.java;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-datacarrier\src\main\java\org\apache\skywalking\apm\commons\datacarrier\partition\ProducerThreadPartitioner.java;38;1;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0
test-smells-skywalking;SimpleRollingPartitionerTest;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-datacarrier\src\test\java\org\apache\skywalking\apm\commons\datacarrier\partition\SimpleRollingPartitionerTest.java;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-datacarrier\src\main\java\org\apache\skywalking\apm\commons\datacarrier\partition\SimpleRollingPartitioner.java;37;1;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-skywalking;ConfigInitializerTest;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-util\src\test\java\org\apache\skywalking\apm\util\ConfigInitializerTest.java;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-util\src\main\java\org\apache\skywalking\apm\util\ConfigInitializer.java;97;5;6;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4
test-smells-skywalking;MachineInfoTest;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-util\src\test\java\org\apache\skywalking\apm\util\MachineInfoTest.java;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-util\src\main\java\org\apache\skywalking\apm\util\MachineInfo.java;44;1;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-skywalking;RunnableWithExceptionProtectionTest;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-util\src\test\java\org\apache\skywalking\apm\util\RunnableWithExceptionProtectionTest.java;C:\Users\crist\.jnose_projects\test-smells-skywalking\apm-commons\apm-util\src\main\java\org\apache\skywalking\apm\util\RunnableWithExceptionProtection.java;46;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
