App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-incubator-taverna-common-activities;BeanshellActivityFactoryTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-beanshell-activity\src\test\java\org\apache\taverna\activities\beanshell\BeanshellActivityFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-beanshell-activity\src\main\java\org\apache\taverna\activities\beanshell\BeanshellActivityFactory.java;63;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-taverna-common-activities;BeanshellActivityHealthCheckerTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-beanshell-activity\src\test\java\org\apache\taverna\activities\beanshell\BeanshellActivityHealthCheckerTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-beanshell-activity\src\main\java\org\apache\taverna\activities\beanshell\BeanshellActivityHealthChecker.java;172;8;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
test-smells-incubator-taverna-common-activities;BeanshellActivityTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-beanshell-activity\src\test\java\org\apache\taverna\activities\beanshell\BeanshellActivityTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-beanshell-activity\src\main\java\org\apache\taverna\activities\beanshell\BeanshellActivity.java;85;3;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-taverna-common-activities;URISignatureHandlerTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-rest-activity\src\test\java\org\apache\taverna\activities\rest\URISignatureHandlerTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-rest-activity\src\main\java\org\apache\taverna\activities\rest\URISignatureHandler.java;613;83;6;0;0;0;0;0;0;16;0;0;0;0;0;1;0;0;0;0;0;0;4
test-smells-incubator-taverna-common-activities;CSVSpreadsheetReaderTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\test\java\org\apache\taverna\activities\spreadsheet\CSVSpreadsheetReaderTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\main\java\org\apache\taverna\activities\spreadsheet\CSVSpreadsheetReader.java;278;6;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;1
test-smells-incubator-taverna-common-activities;ExcelSpreadsheetReaderTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\test\java\org\apache\taverna\activities\spreadsheet\ExcelSpreadsheetReaderTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\main\java\org\apache\taverna\activities\spreadsheet\ExcelSpreadsheetReader.java;298;9;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;1
test-smells-incubator-taverna-common-activities;ODFSpreadsheetReaderTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\test\java\org\apache\taverna\activities\spreadsheet\ODFSpreadsheetReaderTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\main\java\org\apache\taverna\activities\spreadsheet\ODFSpreadsheetReader.java;292;7;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;1
test-smells-incubator-taverna-common-activities;RangeTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\test\java\org\apache\taverna\activities\spreadsheet\RangeTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\main\java\org\apache\taverna\activities\spreadsheet\Range.java;194;15;23;9;0;0;0;0;0;25;0;0;0;0;0;0;0;0;3;0;0;0;6
test-smells-incubator-taverna-common-activities;SpreadsheetImportActivityFactoryTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\test\java\org\apache\taverna\activities\spreadsheet\SpreadsheetImportActivityFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\main\java\org\apache\taverna\activities\spreadsheet\SpreadsheetImportActivityFactory.java;74;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-taverna-common-activities;SpreadsheetImportActivityTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\test\java\org\apache\taverna\activities\spreadsheet\SpreadsheetImportActivityTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\main\java\org\apache\taverna\activities\spreadsheet\SpreadsheetImportActivity.java;183;9;24;2;0;0;0;0;0;15;7;0;3;0;0;2;0;0;6;0;0;0;2
test-smells-incubator-taverna-common-activities;SpreadsheetImportConfigurationTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\test\java\org\apache\taverna\activities\spreadsheet\SpreadsheetImportConfigurationTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\main\java\org\apache\taverna\activities\spreadsheet\SpreadsheetImportConfiguration.java;264;26;16;14;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;20
test-smells-incubator-taverna-common-activities;SpreadsheetImportHealthCheckerTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\test\java\org\apache\taverna\activities\spreadsheet\SpreadsheetImportHealthCheckerTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\main\java\org\apache\taverna\activities\spreadsheet\SpreadsheetImportHealthChecker.java;90;6;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-taverna-common-activities;SpreadsheetReadExceptionTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\test\java\org\apache\taverna\activities\spreadsheet\SpreadsheetReadExceptionTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\main\java\org\apache\taverna\activities\spreadsheet\SpreadsheetReadException.java;57;4;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-incubator-taverna-common-activities;SpreadsheetUtilsTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\test\java\org\apache\taverna\activities\spreadsheet\SpreadsheetUtilsTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-spreadsheet-import-activity\src\main\java\org\apache\taverna\activities\spreadsheet\SpreadsheetUtils.java;97;5;14;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;1
test-smells-incubator-taverna-common-activities;HTTPSConnectionsTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-wsdl-activity\src\test\java\org\apache\taverna\activities\wsdl\security\HTTPSConnectionsTest.java;;69;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-taverna-common-activities;SecureServicesInvokerTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-wsdl-activity\src\test\java\org\apache\taverna\activities\wsdl\security\SecureServicesInvokerTest.java;;153;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
test-smells-incubator-taverna-common-activities;WSDLActivityFactoryTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-wsdl-activity\src\test\java\org\apache\taverna\activities\wsdl\WSDLActivityFactoryTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-wsdl-activity\src\main\java\org\apache\taverna\activities\wsdl\WSDLActivityFactory.java;63;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-taverna-common-activities;WSDLActivityTest;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-wsdl-activity\src\test\java\org\apache\taverna\activities\wsdl\WSDLActivityTest.java;C:\Users\crist\.jnose_projects\test-smells-incubator-taverna-common-activities\taverna-wsdl-activity\src\main\java\org\apache\taverna\activities\wsdl\WSDLActivity.java;147;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
