App;TestFileName;PathFile;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Dependent Test;Redundant Assertion;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
test-smells-incubator-tez;TezClientForTest;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-api\src\test\java\org\apache\tez\client\TestTezClient.java;;208;5;19;0;0;0;0;2;0;4;4;0;0;0;0;1;0;0;5;0;0;0;0
test-smells-incubator-tez;TestTezClientUtils;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-api\src\test\java\org\apache\tez\client\TestTezClientUtils.java;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-api\src\main\java\org\apache\tez\client\TezClientUtils.java;220;9;11;0;2;0;0;0;0;0;7;0;0;0;0;1;0;2;1;2;0;0;1
test-smells-incubator-tez;TestTokenCache;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-api\src\test\java\org\apache\tez\common\security\TestTokenCache.java;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-api\src\main\java\org\apache\tez\common\security\TokenCache.java;122;6;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0
test-smells-incubator-tez;TestTezCommonUtils;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-api\src\test\java\org\apache\tez\common\TestTezCommonUtils.java;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-api\src\main\java\org\apache\tez\common\TezCommonUtils.java;229;20;3;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3
test-smells-incubator-tez;TestTezJobConfig;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-api\src\test\java\org\apache\tez\common\TestTezJobConfig.java;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-api\src\main\java\org\apache\tez\common\TezJobConfig.java;54;1;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-tez;VertexCounterRequestMatcher;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-api\src\test\java\org\apache\tez\dag\api\client\rpc\TestDAGClient.java;;309;1;3;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-tez;TestDAGPlan;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-api\src\test\java\org\apache\tez\dag\api\TestDAGPlan.java;;310;6;33;0;1;0;0;0;0;5;1;0;0;0;0;5;0;1;0;2;0;0;0
test-smells-incubator-tez;TestDagTypeConverters;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-api\src\test\java\org\apache\tez\dag\api\TestDagTypeConverters.java;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-api\src\main\java\org\apache\tez\dag\api\DagTypeConverters.java;51;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-tez;TestDAGVerify;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-api\src\test\java\org\apache\tez\dag\api\TestDAGVerify.java;;883;31;39;0;0;0;0;0;2;13;0;0;0;0;0;8;0;0;1;9;0;0;0
test-smells-incubator-tez;TestCompositeDataMovementEvent;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-api\src\test\java\org\apache\tez\runtime\api\event\TestCompositeDataMovementEvent.java;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-api\src\main\java\org\apache\tez\runtime\api\events\CompositeDataMovementEvent.java;50;3;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
test-smells-incubator-tez;TestTezUtils;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-common\src\test\java\org\apache\tez\common\TestTezUtils.java;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-common\src\main\java\org\apache\tez\common\TezUtils.java;148;10;15;4;0;0;0;0;0;7;1;0;0;0;0;0;0;0;5;0;0;0;2
test-smells-incubator-tez;TestTezIds;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-common\src\test\java\org\apache\tez\dag\records\TestTezIds.java;;111;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-tez;TestDAGClientHandler;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-dag\src\test\java\org\apache\tez\dag\api\client\TestDAGClientHandler.java;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-dag\src\main\java\org\apache\tez\dag\api\client\DAGClientHandler.java;147;1;12;1;0;0;0;0;0;3;0;0;0;0;0;1;0;0;2;4;0;0;0
test-smells-incubator-tez;TestVertexStatusBuilder;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-dag\src\test\java\org\apache\tez\dag\api\client\TestVertexStatusBuilder.java;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-dag\src\main\java\org\apache\tez\dag\api\client\VertexStatusBuilder.java;45;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
test-smells-incubator-tez;TotalCountingOutputCommitter;C:\Users\crist\.jnose_projects\test-smells-incubator-tez\tez-dag\src\test\java\org\apache\tez\dag\app\dag\impl\TestDAGImpl.java;;1248;3;90;0;0;0;0;0;0;64;33;0;22;0;0;6;0;0;19;0;0;0;0
